iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,823.354,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,811.603,1,5.17308,0.707815,24.1802,6.68018,36.764,1.46202,1.46202,0.979428,0.62,0.285
3,799.723,1,5.75679,0.797798,25.6925,8.45343,44.4615,1.425,1.425,1.161,0.62,0.27075
4,801.475,1,5.37221,0.679244,26.94,7.51315,45.4341,1.38892,1.38892,1.17338,0.62,0.257212
5,781.067,1,5.12297,0.636475,23.7526,7.83963,36.9152,1.35375,1.35375,1.21268,0.62,0.244352
6,774.503,1,5.36932,0.414922,27.3954,8.83957,36.7998,1.31947,1.31947,1.3491,0.62,0.232134
7,761.501,1,5.24723,0.360641,25.2972,8.32484,35.6498,1.28606,1.28606,1.31494,0.62,0.220528
8,742.349,1,5.50541,0.353177,24.7924,8.15173,40.2175,1.2535,1.2535,1.28165,0.62,0.209501
9,738.167,1,5.266,0.410046,24.3532,7.68808,36.9498,1.22176,1.22176,1.2492,0.62,0.199026
10,732.119,1,5.2936,0.689885,20.847,8.72515,31.0032,1.19082,1.19082,1.21756,0.62,0.189075
11,721.344,1,5.26615,0.244789,19.1117,9.72254,34.6848,1.16067,1.16067,1.24653,0.62,0.179621
12,702.678,1,5.13571,0.520846,20.3755,8.81878,32.6796,1.13128,1.13128,1.21497,0.62,0.17064
13,697.722,1,5.15248,0.356508,18.5573,10.0215,33.7008,1.10264,1.10264,1.1842,0.62,0.162108
14,680.28,1,5.11399,-0.150467,18.6779,10.7124,29.4882,1.07472,1.07472,1.15422,0.62,0.154003
15,663.511,1,5.10521,0.130966,16.9363,10.3724,28.3824,1.04751,1.04751,1.12499,0.62,0.146302
16,655.997,1,5.31182,0.587302,17.1431,14.254,27.4511,1.02098,1.02098,1.09651,0.62,0.138987
17,642.183,1,5.16997,0.306527,14.8636,14.8107,25.4352,0.995131,0.995131,1.06874,0.62,0.132038
18,639.738,1,5.26459,0.363759,15.3142,14.71,25.8326,0.969933,0.969933,1.04168,0.62,0.125436
19,622.177,1,5.07391,0.194751,13.4527,16.0579,25.3482,0.945374,0.945374,1.01531,0.62,0.119164
20,616.264,1,5.00101,0.630306,13.9448,13.4794,26.2988,0.921437,0.921437,0.989599,0.62,0.113206
21,603.106,1,5.05578,0.567923,12.6811,12.5347,26.7508,0.898105,0.898105,0.964542,0.62,0.107546
22,585.229,1,5.00096,0.343878,13.1515,12.4181,24.9744,0.875365,0.875365,0.940119,0.62,0.102168
23,580.04,1,5.0771,0.373045,13.908,12.9734,24.6427,0.8532,0.8532,0.937242,0.62,0.0970601
24,566.035,1,5.08252,0.309343,14.8219,11.897,25.0277,0.831597,0.831597,0.913511,0.62,0.0922071
25,551.342,1,5.05528,0.465496,13.9127,11.4397,23.7372,0.81054,0.81054,0.89038,0.62,0.0875967
26,543.497,1,4.95134,0.21477,12.5234,11.7353,24.8499,0.790017,0.790017,0.867835,0.62,0.0832169
27,538.941,1,4.88275,0.290749,12.7236,12.6946,24.4422,0.770013,0.770013,0.854471,0.62,0.079056
28,527.302,1,4.86883,0.249231,12.4841,13.9635,23.8885,0.750516,0.750516,0.853363,0.62,0.0751032
29,511.764,1,4.95633,0.334623,14.5766,12.9667,22.0782,0.731512,0.731512,0.831755,0.62,0.0713481
30,509.999,1,4.91898,0.180908,14.6882,13.3335,21.7504,0.71299,0.71299,0.810695,0.62,0.0677807
31,495.08,1,4.90974,0.240452,14.6018,12.7208,21.9883,0.694937,0.694937,0.855595,0.62,0.0643916
32,487.154,1,4.90569,0.166786,14.7088,12.8231,22.0055,0.677341,0.677341,0.915357,0.62,0.061172
33,477.089,1,4.98703,0.426701,14.9463,11.4691,23.1574,0.66019,0.66019,0.89218,0.62,0.0581134
34,466.669,1,5.00451,0.40904,15.1083,11.0241,22.8317,0.643474,0.643474,0.876974,0.62,0.0552078
35,458.737,1,4.95951,0.322503,15.3085,11.9172,22.1182,0.627181,0.627181,0.854768,0.62,0.0524474
36,455.611,1,4.94214,0.208675,15.4468,12.3115,22.0145,0.6113,0.6113,0.880263,0.62,0.049825
