iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,6.68533,0.0328239,26.7448,0.140605,8.51821,0.419967,31.5726,0.250755,0.268,1.23164e-07
2,6.68484,0.0290836,26.6242,0.124335,8.48934,0.351552,31.5765,0.224094,0.268,1.09214e-07
3,6.69331,0.0284463,26.6782,0.119295,8.50455,0.336905,31.4388,0.205442,0.268,1.031e-07
4,6.68899,0.0267754,26.6107,0.115047,8.6187,0.325982,31.446,0.198007,0.268,1.0216e-07
5,6.6871,0.0267486,26.5743,0.112177,8.62331,0.317465,31.5752,0.201782,0.268,9.97901e-08
6,6.68558,0.0260147,26.5916,0.109008,8.62424,0.305453,31.5978,0.201302,0.268,9.874e-08
7,6.6862,0.025773,26.5944,0.106637,8.58541,0.306936,31.6175,0.199597,0.268,9.85604e-08
8,6.68403,0.0256069,26.6348,0.107635,8.55326,0.306826,31.5815,0.202801,0.268,9.80232e-08
9,6.68092,0.02587,26.7216,0.109434,8.46569,0.314926,31.5387,0.203723,0.268,9.7217e-08
10,6.6804,0.0264251,26.8022,0.110111,8.35641,0.316256,31.5759,0.208096,0.268,9.73387e-08
11,6.68008,0.0269799,26.8758,0.111121,8.30969,0.315233,31.7694,0.211468,0.268,9.75608e-08
12,6.67897,0.0271714,26.9235,0.110697,8.27398,0.315406,31.9314,0.216266,0.268,9.87777e-08
13,6.67741,0.0272504,26.936,0.109992,8.21533,0.316442,32.0134,0.219121,0.268,9.85239e-08
14,6.67734,0.0273398,26.9631,0.109746,8.16706,0.316903,32.0496,0.217443,0.268,9.75625e-08
15,6.6778,0.0275213,26.9518,0.109428,8.16403,0.3188,32.0198,0.217478,0.268,9.88244e-08
16,6.67716,0.0272768,26.9629,0.108622,8.16462,0.318414,32.0117,0.215854,0.268,9.82163e-08
17,6.67602,0.0274366,26.9668,0.110189,8.15654,0.321007,31.975,0.215379,0.268,9.79161e-08
18,6.67547,0.0273918,26.9715,0.110327,8.14832,0.324148,31.8979,0.214728,0.268,9.79004e-08
