time,..2.5.,..50....3,..50....4,..97.5.
72,5.3,16,16,33.4
72.121212,8.5,19.1,19.1,36.5
72.242424,11.2,21.7,21.7,39.4
72.363636,13.3,24.2,24.2,41.8
72.484848,15.2,26.4,26.4,44.3
72.606061,16.8,28.3,28.3,46.8
72.727273,18.2,30.2,30.2,49.2
72.848485,19.6,31.9,31.9,51.5
72.969697,20.8,33.6,33.6,53.3
73.090909,21.9,35.1,35.1,55.1
73.212121,22.9,36.5,36.5,57
73.333333,23.9,37.9,37.9,58.5
73.454545,24.8,39.1,39.1,59.9
73.575758,25.6,40.3,40.3,61.7
73.69697,26.3,41.4,41.4,63.3
73.818182,27.1,42.5,42.5,64.7
73.939394,27.8,43.5,43.5,66.3
74.060606,27.2,42.9,42.9,65.5
74.181818,25.6,41,41,63
74.30303,24.2,39.3,39.3,61
74.424242,23.1,37.6,37.6,59.5
74.545455,22,36.3,36.3,57.8
74.666667,20.7,35.1,35.1,56.6
74.787879,19.7,34,34,55.4
74.909091,18.8,33,33,54.3
75.030303,18.2,32.2,32.2,53.1
75.151515,17.5,31.5,31.5,52
75.272727,16.9,30.8,30.8,51.2
75.393939,16.3,30.2,30.2,50.5
75.515152,15.7,29.6,29.6,49.8
75.636364,15.4,29.1,29.1,49.2
75.757576,15,28.6,28.6,48.6
75.878788,14.6,28.2,28.2,48
76,14.2,27.8,27.8,47.5
76.121212,13.8,27.4,27.4,47.1
76.242424,13.5,27.1,27.1,46.7
76.363636,13.3,26.7,26.7,46.3
76.484848,13,26.4,26.4,46
76.606061,12.8,26.1,26.1,45.7
76.727273,12.5,25.8,25.8,45.3
76.848485,12.3,25.5,25.5,45
76.969697,12.1,25.2,25.2,44.9
77.090909,11.9,25,25,44.6
77.212121,11.6,24.8,24.8,44.3
77.333333,11.4,24.5,24.5,44.1
77.454545,11.2,24.3,24.3,43.9
77.575758,11,24.1,24.1,43.7
77.69697,10.8,23.9,23.9,43.5
77.818182,10.6,23.7,23.7,43.3
77.939394,10.5,23.5,23.5,43
78.060606,10.3,23.3,23.3,42.8
78.181818,10.2,23.1,23.1,42.6
78.30303,10.1,23,23,42.4
78.424242,10,22.8,22.8,42.2
78.545455,9.8,22.6,22.6,42
78.666667,9.7,22.4,22.4,41.8
78.787879,9.6,22.3,22.3,41.6
78.909091,9.4,22.1,22.1,41.4
79.030303,9.3,21.9,21.9,41.2
79.151515,9.2,21.7,21.7,41.1
79.272727,9,21.6,21.6,40.9
79.393939,8.9,21.4,21.4,40.7
79.515152,8.8,21.3,21.3,40.5
79.636364,8.7,21.1,21.1,40.3
79.757576,8.6,20.9,20.9,40.1
79.878788,8.5,20.7,20.7,40
80,8.3,20.6,20.6,39.8
80.121212,8.2,20.4,20.4,39.6
80.242424,8.1,20.3,20.3,39.4
80.363636,8,20.1,20.1,39.3
80.484848,7.9,20,20,39.1
80.606061,7.8,19.8,19.8,38.9
80.727273,7.7,19.7,19.7,38.7
80.848485,7.6,19.5,19.5,38.6
80.969697,7.5,19.4,19.4,38.4
81.090909,7.3,19.3,19.3,38.2
81.212121,7.2,19.1,19.1,38.1
81.333333,7.1,19,19,37.9
81.454545,7,18.9,18.9,37.7
81.575758,6.9,18.8,18.8,37.6
81.69697,6.8,18.6,18.6,37.4
81.818182,6.7,18.5,18.5,37.2
81.939394,6.7,18.4,18.4,37.1
82.060606,6.6,18.2,18.2,36.9
82.181818,6.5,18.1,18.1,36.8
82.30303,6.4,17.9,17.9,36.6
82.424242,6.3,17.8,17.8,36.4
82.545455,6.2,17.7,17.7,36.3
82.666667,6.1,17.6,17.6,36.1
82.787879,6,17.4,17.4,35.9
82.909091,6,17.3,17.3,35.8
83.030303,5.9,17.1,17.1,35.7
83.151515,5.8,17,17,35.5
83.272727,5.7,16.9,16.9,35.4
83.393939,5.7,16.8,16.8,35.3
83.515152,5.6,16.6,16.6,35.2
83.636364,5.5,16.5,16.5,35.1
83.757576,5.4,16.4,16.4,34.9
83.878788,5.4,16.3,16.3,34.8
84,5.3,16.2,16.2,34.7
