time,..2.5.,..50....3,..50....4,..97.5.
72,11.6,26.1,26.1,50.3
72.121212,12.1,26.8,26.8,51.2
72.242424,12.7,27.3,27.3,52.1
72.363636,13.2,28,28,52.9
72.484848,13.8,28.6,28.6,53.8
72.606061,14.1,29.2,29.2,54.6
72.727273,14.5,29.8,29.8,55.5
72.848485,14.9,30.4,30.4,56.6
72.969697,15.3,31,31,57.5
73.090909,15.8,31.6,31.6,58.3
73.212121,16.2,32.1,32.1,59.1
73.333333,16.6,32.9,32.9,60.1
73.454545,17,33.4,33.4,61.3
73.575758,17.3,34,34,62.4
73.69697,17.7,34.5,34.5,63.3
73.818182,18.1,35.1,35.1,64.2
73.939394,18.5,35.6,35.6,65.1
74.060606,18.7,35.9,35.9,65.5
74.181818,18.6,35.8,35.8,65.3
74.30303,18.5,35.6,35.6,65.2
74.424242,18.4,35.5,35.5,65
74.545455,18.3,35.4,35.4,64.9
74.666667,18.2,35.3,35.3,64.7
74.787879,18.1,35.2,35.2,64.6
74.909091,18,35,35,64.4
75.030303,17.9,35,35,64.2
75.151515,17.8,34.9,34.9,64.1
75.272727,17.7,34.8,34.8,63.9
75.393939,17.6,34.7,34.7,63.7
75.515152,17.6,34.6,34.6,63.5
75.636364,17.5,34.5,34.5,63.2
75.757576,17.4,34.4,34.4,63
75.878788,17.4,34.3,34.3,62.7
76,17.3,34.1,34.1,62.5
76.121212,17.2,33.9,33.9,62.3
76.242424,17.1,33.8,33.8,62.2
76.363636,17,33.7,33.7,62.1
76.484848,16.9,33.6,33.6,62
76.606061,16.8,33.5,33.5,61.9
76.727273,16.7,33.4,33.4,61.7
76.848485,16.6,33.3,33.3,61.6
76.969697,16.5,33.2,33.2,61.5
77.090909,16.4,33.1,33.1,61.4
77.212121,16.3,33,33,61.3
77.333333,16.2,32.9,32.9,61.2
77.454545,16.1,32.8,32.8,61
77.575758,16,32.6,32.6,60.8
77.69697,15.9,32.5,32.5,60.5
77.818182,15.9,32.4,32.4,60.3
77.939394,15.8,32.3,32.3,60.1
78.060606,15.7,32.2,32.2,60
78.181818,15.6,32.1,32.1,59.9
78.30303,15.5,32,32,59.7
78.424242,15.5,32,32,59.6
78.545455,15.4,31.9,31.9,59.5
78.666667,15.2,31.8,31.8,59.4
78.787879,15.2,31.7,31.7,59.2
78.909091,15.1,31.6,31.6,59.1
79.030303,15.1,31.5,31.5,59
79.151515,15,31.4,31.4,58.9
79.272727,15,31.3,31.3,58.8
79.393939,14.9,31.2,31.2,58.6
79.515152,14.9,31,31,58.5
79.636364,14.8,30.9,30.9,58.4
79.757576,14.8,30.8,30.8,58.3
79.878788,14.7,30.7,30.7,58.1
80,14.6,30.6,30.6,58
80.121212,14.5,30.5,30.5,57.9
80.242424,14.4,30.4,30.4,57.8
80.363636,14.3,30.3,30.3,57.7
80.484848,14.1,30.2,30.2,57.5
80.606061,14,30,30,57.4
80.727273,13.9,29.9,29.9,57.3
80.848485,13.8,29.9,29.9,57.1
80.969697,13.7,29.8,29.8,57
81.090909,13.6,29.7,29.7,56.9
81.212121,13.6,29.6,29.6,56.7
81.333333,13.4,29.5,29.5,56.6
81.454545,13.3,29.4,29.4,56.5
81.575758,13.2,29.4,29.4,56.3
81.69697,13.1,29.3,29.3,56.2
81.818182,13.1,29.2,29.2,56.1
81.939394,13,29.1,29.1,55.9
82.060606,12.9,29,29,55.8
82.181818,12.9,28.9,28.9,55.7
82.30303,12.8,28.8,28.8,55.5
82.424242,12.7,28.7,28.7,55.4
82.545455,12.6,28.6,28.6,55.3
82.666667,12.5,28.5,28.5,55.1
82.787879,12.4,28.4,28.4,55
82.909091,12.4,28.3,28.3,54.9
83.030303,12.3,28.2,28.2,54.7
83.151515,12.3,28.1,28.1,54.6
83.272727,12.2,28,28,54.5
83.393939,12.1,27.9,27.9,54.3
83.515152,12.1,27.8,27.8,54.2
83.636364,12,27.7,27.7,54.1
83.757576,12,27.6,27.6,53.9
83.878788,11.9,27.5,27.5,53.8
84,11.8,27.4,27.4,53.6
