Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25,Run_26,Run_27,Run_28,Run_29,Run_30,Run_31,Run_32,Run_33,Run_34,Run_35,Run_36,Run_37,Run_38,Run_39,Run_40,Run_41,Run_42,Run_43,Run_44,Run_45,Run_46,Run_47,Run_48,Run_49,Run_50,Run_51,Run_52,Run_53
Cl_pop,10.3509,10.351,10.3624,10.3594,10.3344,10.3599,5.61903,10.377,10.3342,10.3579,0.992191,10.2684,10.3413,10.3449,10.3387,10.3752,10.3411,10.3219,5.1297,5.25075,10.3478,10.3266,9.69343,9.50766,10.3606,10.2451,10.3142,10.3518,5.50994,10.3322,10.3387,10.3219,10.3547,5.24421,10.3174,3.59893,10.3508,4.71766,10.3394,10.3287,9.94911,4.47571,10.3313,4.76543,10.352,5.2453,10.3549,10.3573,10.3529,7.8945,10.3417,10.3508,10.3155
V1_pop,40.9054,41.1473,39.7358,41.0144,40.8369,39.9923,47.2206,38.5517,40.8984,40.5333,47.2599,42.2119,40.6853,40.0074,40.7249,39.4207,41.733,41.4412,47.3162,47.2537,41.1293,41.8542,43.2429,43.6642,40.204,41.9203,41.1859,41.0905,47.4016,40.5366,41.0508,42.3173,40.4315,47.1315,40.9166,47.0748,41.2982,47.2611,40.0035,42.054,43.4158,47.1052,41.1571,47.377,40.8883,47.308,40.0644,40.754,41.4789,46.8602,39.9353,42.5069,41.3973
Q_pop,12.4661,12.2983,13.7248,12.4136,12.23,13.245,11.8488,14.8143,12.1873,12.7431,16.3603,11.1084,12.406,13.0688,12.4642,14.1187,11.598,11.616,12.2771,12.2671,12.4011,11.3938,10.9949,10.6069,12.8976,11.2823,11.7241,12.4248,12.0115,12.2243,12.0863,10.8662,12.8338,12.2982,12.0208,13.9257,11.9895,12.7479,12.8574,11.317,10.5264,13.0497,12.1646,12.6952,12.1941,12.0514,13.4089,12.4884,11.7878,10.0464,13.1485,11.281,12.0293
V2_pop,46.9234,46.7008,44.3756,47.084,48.1531,46.8986,612.928,45.3529,51.6645,45.8317,1506.7,54.2619,48.0129,48.0716,47.7572,44.9467,49.5858,51.9702,670.981,651.921,45.9044,52.2689,79.8199,95.796,50.6984,60.8765,52.186,45.465,618.968,49.9408,47.1713,48.876,47.0042,669.387,52.692,964.836,44.9882,754.729,46.183,47.1338,72.3333,804.813,49.5365,760.136,48.0637,672.019,47.1891,44.7555,47.6119,286.571,51.6668,48.6424,51.7417
omega_Cl,0.251693,0.25235,0.252636,0.252204,0.254028,0.250994,0.229222,0.251406,0.252436,0.252022,0.34781,0.252396,0.25387,0.251159,0.252206,0.249448,0.252909,0.252743,0.32885,0.294625,0.251402,0.253163,0.252168,0.242157,0.253485,0.249778,0.251792,0.25274,0.287875,0.25236,0.252497,0.250755,0.250414,0.217553,0.25056,0.173956,0.251931,0.250771,0.251093,0.251492,0.248604,0.202926,0.250872,0.183479,0.251507,0.282096,0.250835,0.252466,0.251404,0.240059,0.252669,0.253682,0.252832
omega_V1,0.296897,0.263998,0.2727,0.272269,0.262909,0.30514,0.251161,0.28401,0.286317,0.271458,0.252027,0.280506,0.259246,0.275519,0.286754,0.252752,0.263347,0.281767,0.247293,0.246784,0.28165,0.280201,0.292668,0.300742,0.265938,0.294359,0.277486,0.276837,0.245836,0.271997,0.251579,0.284922,0.289906,0.250041,0.284285,0.250179,0.264928,0.248637,0.27501,0.278987,0.286185,0.247866,0.285853,0.249328,0.293015,0.246891,0.305692,0.278623,0.290895,0.249874,0.261253,0.256626,0.288975
omega_Q,0.583319,0.631568,0.673564,0.641989,0.643464,0.626817,0.261542,0.685642,0.656409,0.648442,0.180187,0.574753,0.677952,0.677208,0.636789,0.684471,0.639057,0.6433,0.205664,0.228061,0.593565,0.635288,0.455025,0.431186,0.680856,0.605494,0.641378,0.60437,0.172129,0.671978,0.630001,0.540078,0.635913,0.245369,0.65349,0.205421,0.643923,0.240742,0.631424,0.547372,0.491458,0.221666,0.60458,0.19879,0.644381,0.203723,0.625671,0.618844,0.592491,0.295699,0.727118,0.625384,0.630798
omega_V2,0.383916,0.339977,0.263974,0.328238,0.331983,0.345208,0.621127,0.334941,0.365084,0.318005,0.544373,0.483021,0.301724,0.383863,0.375686,0.30076,0.29301,0.363979,0.596146,0.697742,0.391498,0.345071,0.974338,1.00978,0.271849,0.504086,0.374455,0.357742,0.688098,0.326242,0.328141,0.341073,0.390024,0.643066,0.383724,0.620576,0.295498,0.60111,0.361305,0.366715,0.79095,0.61663,0.405946,0.627131,0.330843,0.570949,0.402936,0.327864,0.335516,0.792397,0.361019,0.305066,0.399549
corr_V2_V1,0.999,0.998851,0.998925,0.998123,0.999,0.998785,0.257787,0.998844,0.99888,0.998981,0.14267,0.810787,0.998898,0.998527,0.999,0.998938,0.997682,0.995019,0.122314,0.0398361,0.999,0.999,0.650647,0.748336,0.998916,0.996007,0.998906,0.998765,0.0436693,0.998202,0.998477,0.999,0.99892,0.216072,0.999,0.223514,0.998719,0.208776,0.998934,0.999,0.751624,0.225147,0.998848,0.22144,0.997276,0.140446,0.998924,0.998937,0.998996,0.223562,0.997702,0.999,0.999
a1,0.303181,0.301778,0.30308,0.302511,0.303554,0.302915,0.302272,0.304265,0.303998,0.302682,0.302676,0.302476,0.304698,0.302921,0.30271,0.301347,0.302782,0.303882,0.300765,0.302108,0.303404,0.304131,0.304253,0.302835,0.303469,0.303476,0.303574,0.303238,0.299681,0.304112,0.301789,0.302294,0.304609,0.301898,0.303591,0.30076,0.302963,0.301943,0.304125,0.302448,0.304203,0.301158,0.30259,0.299439,0.304965,0.301128,0.303195,0.303972,0.302341,0.30132,0.303487,0.301067,0.302668
