simulations,OFV
500,940.763
1000,942.448
1500,941.422
2000,939.259
2500,938.711
3000,939.387
3500,939.022
4000,939.042
4500,939.282
5000,939.488
5500,939.368
6000,939.661
6500,939.149
7000,939.382
7500,939.112
8000,939.279
8500,939.476
9000,939.245
9500,939.095
10000,939.005
10500,938.907
11000,938.869
11500,938.703
12000,938.421
12500,938.602
13000,938.467
13500,938.378
14000,938.28
14500,938.315
15000,938.386
15500,938.255
16000,938.38
16500,938.247
17000,938.362
17500,938.478
18000,938.225
18500,938.298
19000,938.131
19500,938.084
20000,937.983
20500,937.937
21000,937.822
21500,937.91
22000,938.015
22500,938.012
23000,937.818
23500,937.742
24000,937.704
24500,937.721
25000,937.702
25500,937.688
26000,937.65
26500,937.645
27000,937.559
27500,937.571
28000,937.672
28500,937.635
29000,937.741
29500,937.784
30000,937.829
