Cl_abscissa,Cl_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
4.25979,0.00579596,1.24243,0.0405918,56.1775,968.803,All
4.38449,0.00115919,3.45041,0.0500196,56.1775,968.803,All
4.5092,0.0278206,5.65839,0.0423595,56.1775,1937.61,All
4.63391,0.048686,7.86637,0.0420321,56.1775,0,All
4.75861,0.0753474,10.0743,0.0492339,56.1775,3875.21,All
4.88332,0.103168,12.2823,0.0443236,56.1775,4844.02,All
5.00802,0.125193,14.4903,0.0421631,56.1775,5812.82,All
5.13273,0.10085,16.6983,0.0323425,56.1775,5812.82,All
5.25743,0.0510044,18.9063,0.0248134,56.1775,10656.8,All
5.38214,0.0336165,21.1142,0.0173497,56.1775,3875.21,All
5.50685,0.00695515,23.3222,0.012243,56.1775,8719.23,All
5.63155,0,25.5302,0.00851118,56.1775,12594.4,All
5.75626,0,27.7382,0.00733271,56.1775,17438.5,All
5.88096,0,29.9462,0.0049103,56.1775,19376.1,All
6.00567,0.00115919,32.1541,0.00419012,56.1775,33908.1,All
6.13038,0.00115919,34.3621,0.00248788,56.1775,31970.5,All
6.25508,0.00579596,36.5701,0.00307712,56.1775,33908.1,All
6.37979,0.0220246,38.7781,0.00281524,56.1775,42627.3,All
6.50449,0.0463676,40.9861,0.00189865,56.1775,48440.2,All
6.6292,0.0625963,43.194,0.00202959,56.1775,62003.4,All
6.7539,0.10085,45.402,0.00163677,56.1775,83317.1,All
6.87861,0.0718698,47.61,0.002226,56.1775,75566.6,All
7.00332,0.0985312,49.818,0.00170224,56.1775,68785,All
7.12802,0.078825,52.026,0.00176771,56.1775,91067.5,All
7.25273,0.0428901,54.2339,0.00150582,56.1775,91067.5,All
7.37743,0.0231838,56.4419,0.001113,56.1775,110444,All
7.50214,0.0197062,58.6499,0.001113,56.1775,112381,All
7.62684,0.00347757,60.8579,0.00124394,56.1775,139508,All
7.75155,0.00115919,63.0659,0.00104753,56.1775,132726,All
7.87626,0,65.2738,0.001113,56.1775,162759,All
8.00096,0.00231838,67.4818,0.000458294,56.1775,168572,All
8.12567,0,69.6898,0.00117847,56.1775,186979,All
8.25037,0.00463676,71.8978,0.000720177,56.1775,201511,All
8.37508,0.00115919,74.1058,0.001113,56.1775,187948,All
8.49978,0.0150695,76.3137,0.000458294,56.1775,220887,All
8.62449,0.0289798,78.5217,0.000130941,56.1775,226700,All
8.7492,0.0428901,80.7297,0.000261883,56.1775,214105,All
8.8739,0.0765066,82.9377,0.000523765,56.1775,189885,All
8.99861,0.0799842,85.1457,0.000392824,56.1775,196667,All
9.12331,0.107805,87.3536,0.000458294,56.1775,234450,All
9.24802,0.0950537,89.5616,0.000130941,56.1775,236388,All
9.37273,0.132148,91.7696,0.000327353,56.1775,221856,All
9.49743,0.136785,93.9776,0.000327353,56.1775,219918,All
9.62214,0.130989,96.1856,0.000327353,56.1775,220887,All
9.74684,0.181993,98.3935,0.000327353,56.1775,203449,All
9.87155,0.250385,100.602,0.000130941,56.1775,229606,All
9.99625,0.261977,102.809,0.000261883,56.1775,184073,All
10.121,0.264296,105.017,6.54706e-05,56.1775,174385,All
10.2457,0.284002,107.225,0.000261883,56.1775,181166,All
10.3704,0.252704,109.433,6.54706e-05,56.1775,146289,All
10.4951,0.271251,111.641,0,56.1775,150164,All
10.6198,0.253863,113.849,0.000130941,56.1775,131757,All
10.7445,0.17156,116.057,0.000130941,56.1775,160821,All
10.8692,0.183152,118.265,0.000130941,56.1775,117225,All
10.9939,0.14374,120.473,0,56.1775,94942.7,All
11.1186,0.120556,122.681,6.54706e-05,56.1775,88161.1,All
11.2433,0.15765,124.889,0.000130941,56.1775,80410.7,All
11.368,0.148376,127.097,6.54706e-05,56.1775,58128.2,All
11.4927,0.165764,129.305,0.000130941,56.1775,65878.6,All
11.6174,0.20054,131.513,6.54706e-05,56.1775,55221.8,All
11.7421,0.202858,133.721,0,56.1775,47471.3,All
11.8668,0.170401,135.929,0,56.1775,47471.3,All
11.9915,0.188948,138.137,0,56.1775,34876.9,All
12.1163,0.178515,140.345,6.54706e-05,56.1775,37783.3,All
12.241,0.170401,142.553,0,56.1775,23251.3,All
12.3657,0.169242,144.761,0,56.1775,21313.7,All
12.4904,0.180834,146.969,6.54706e-05,56.1775,19376.1,All
12.6151,0.168083,149.177,6.54706e-05,56.1775,19376.1,All
12.7398,0.165764,151.385,0,56.1775,12594.4,All
12.8645,0.173879,153.593,0,56.1775,14532,All
12.9892,0.181993,155.801,0,56.1775,8719.23,All
13.1139,0.170401,158.009,0,56.1775,5812.82,All
13.2386,0.126352,160.217,6.54706e-05,56.1775,5812.82,All
13.3633,0.130989,162.425,0,56.1775,4844.02,All
13.488,0.10085,164.633,0,56.1775,2906.41,All
13.6127,0.0962129,166.841,0,56.1775,4844.02,All
13.7374,0.0637555,169.049,0,56.1775,0,All
13.8621,0.0521636,171.257,0,56.1775,968.803,All
13.9868,0.0417309,173.465,0,56.1775,0,All
14.1115,0.0278206,175.673,0,56.1775,2906.41,All
14.2363,0.0104327,177.881,0,56.1775,0,All
14.361,0.00811434,180.089,0,56.1775,0,All
14.4857,0.00579596,182.297,0,56.1775,0,All
14.6104,0.00347757,184.505,6.54706e-05,56.1775,968.803,All
