Cl_abscissa,Cl_pdf,Cl_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
3.74214,0.000262247,6.30523e-05,0.138439,0.000154918,4.43051e-06,56.1576,2.22045e-16,2.22045e-16,All
3.98474,0.000601301,0.000163077,2.01188,0.0523103,0.0487619,56.158,2.22045e-16,2.22045e-16,All
4.22734,0.00124526,0.000379343,3.88531,0.0666614,0.165569,56.1584,2.22045e-16,2.22045e-16,All
4.46994,0.00236262,0.000805465,5.75875,0.0615791,0.287007,56.1588,2.22045e-16,2.22045e-16,All
4.71254,0.00415496,0.00158022,7.63219,0.0524842,0.39399,56.1592,2.22045e-16,2.22045e-16,All
4.95513,0.00683886,0.00289357,9.50563,0.0436564,0.483882,56.1596,2.22045e-16,2.22045e-16,All
5.19773,0.0106209,0.00498733,11.3791,0.0361071,0.55838,56.16,2.22045e-16,2.22045e-16,All
5.44033,0.0156699,0.00814944,13.2525,0.0299099,0.620019,56.1604,2.22045e-16,2.22045e-16,All
5.68293,0.0220914,0.0127016,15.1259,0.0248892,0.671184,56.1608,2.22045e-16,2.22045e-16,All
5.92553,0.0299082,0.0189812,16.9994,0.0208302,0.713876,56.1612,2.22045e-16,2.22045e-16,All
6.16813,0.0390503,0.0273204,18.8728,0.0175398,0.749711,56.1616,2.22045e-16,2.22045e-16,All
6.41073,0.0493556,0.0380227,20.7462,0.014859,0.779975,56.162,2.22045e-16,2.22045e-16,All
6.65333,0.0605797,0.0513421,22.6197,0.012662,0.805688,56.1624,2.22045e-16,2.22045e-16,All
6.89593,0.0724142,0.0674653,24.4931,0.0108503,0.827659,56.1628,2.22045e-16,2.22045e-16,All
7.13853,0.0845089,0.0864985,26.3666,0.00934681,0.846535,56.1632,2.22045e-16,2.22045e-16,All
7.38113,0.0964971,0.10846,28.24,0.00809162,0.862835,56.1636,2.22045e-16,2.22045e-16,All
7.62373,0.108019,0.133281,30.1134,0.00703757,0.876978,56.164,2.22045e-16,2.22045e-16,All
7.86633,0.118745,0.160807,31.9869,0.00614752,0.889306,56.1644,2.22045e-16,2.22045e-16,All
8.10893,0.128386,0.190808,33.8603,0.005392,0.900096,56.1648,2.22045e-16,2.22045e-16,All
8.35152,0.136714,0.222993,35.7337,0.00474749,0.909578,56.1652,2.22045e-16,2.22045e-16,All
8.59412,0.143561,0.257021,37.6072,0.00419509,0.917942,56.1656,2.22045e-16,2.22045e-16,All
8.83672,0.148823,0.29252,39.4806,0.00371954,0.925345,56.166,2.22045e-16,2.22045e-16,All
9.07932,0.152459,0.329098,41.3541,0.00330845,0.931919,56.1664,2.22045e-16,2.22045e-16,All
9.32192,0.154481,0.366362,43.2275,0.00295168,0.937775,56.1668,2.22045e-16,2.22045e-16,All
9.56452,0.154953,0.403927,45.1009,0.00264088,0.943007,56.1672,2.22045e-16,2.22045e-16,All
9.80712,0.153975,0.441428,46.9744,0.00236919,0.947694,56.1676,2.22045e-16,2.22045e-16,All
10.0497,0.151678,0.478529,48.8478,0.00213089,0.951905,56.168,2.22045e-16,2.22045e-16,All
