Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
3.74214,0,0.138439,0.000142857,56.1576,0,All
4.19744,0.000142857,0.275514,0.000285714,56.1775,0.000142857,All
4.23511,0.000285714,0.302447,0.000428571,56.1775,0.000285714,All
4.24693,0.000428571,0.336975,0.000571429,56.1775,0.000428571,All
4.25033,0.000571429,0.343517,0.000714286,56.1775,0.000571429,All
4.2865,0.000714286,0.364171,0.000857143,56.1775,0.000714286,All
4.32514,0.000857143,0.36568,0.001,56.1775,0.000857143,All
4.4491,0.001,0.36568,0.00114286,56.1775,0.001,All
4.4498,0.00114286,0.387181,0.00128571,56.1775,0.00114286,All
4.45055,0.00128571,0.402644,0.00142857,56.1775,0.00128571,All
4.45171,0.00142857,0.431408,0.00157143,56.1775,0.00142857,All
4.46202,0.00157143,0.438294,0.00171429,56.1775,0.00157143,All
4.46297,0.00171429,0.455039,0.00185714,56.1775,0.00171429,All
4.47006,0.00185714,0.460743,0.002,56.1775,0.00185714,All
4.47656,0.002,0.464748,0.00214286,56.1775,0.002,All
4.49272,0.00214286,0.464906,0.00228571,56.1775,0.00214286,All
4.50164,0.00228571,0.483208,0.00242857,56.1775,0.00228571,All
4.50933,0.00242857,0.483208,0.00257143,56.1775,0.00242857,All
4.51829,0.00257143,0.505495,0.00271429,56.1775,0.00257143,All
4.52344,0.00271429,0.51891,0.00285714,56.1775,0.00271429,All
4.53031,0.00285714,0.543934,0.003,56.1775,0.00285714,All
4.53393,0.003,0.549,0.00314286,56.1775,0.003,All
4.5381,0.00314286,0.563836,0.00328571,56.1775,0.00314286,All
4.54036,0.00328571,0.564565,0.00342857,56.1775,0.00328571,All
4.54199,0.00342857,0.565153,0.00357143,56.1775,0.00342857,All
4.5424,0.00357143,0.592034,0.00371429,56.1775,0.00357143,All
4.54712,0.00371429,0.593518,0.00385714,56.1775,0.00371429,All
4.54712,0.00385714,0.599623,0.004,56.1775,0.00385714,All
4.56282,0.004,0.605029,0.00414286,56.1775,0.004,All
4.5674,0.00414286,0.616635,0.00428571,56.1775,0.00414286,All
4.56835,0.00428571,0.623834,0.00442857,56.1775,0.00428571,All
4.57174,0.00442857,0.630509,0.00457143,56.1775,0.00442857,All
4.58969,0.00457143,0.63315,0.00471429,56.1775,0.00457143,All
4.59514,0.00471429,0.63828,0.00485714,56.1775,0.00471429,All
4.60139,0.00485714,0.639419,0.005,56.1775,0.00485714,All
4.60254,0.005,0.641385,0.00514286,56.1775,0.005,All
4.60539,0.00514286,0.644608,0.00528571,56.1775,0.00514286,All
4.60561,0.00528571,0.644608,0.00542857,56.1775,0.00528571,All
4.60746,0.00542857,0.645546,0.00557143,56.1775,0.00542857,All
4.60965,0.00557143,0.646868,0.00571429,56.1775,0.00557143,All
4.61142,0.00571429,0.650383,0.00585714,56.1775,0.00571429,All
4.61249,0.00585714,0.651319,0.006,56.1775,0.00585714,All
4.61679,0.006,0.655145,0.00614286,56.1775,0.006,All
4.61833,0.00614286,0.655663,0.00628571,56.1775,0.00614286,All
4.62718,0.00628571,0.658443,0.00642857,56.1775,0.00628571,All
4.62777,0.00642857,0.660052,0.00657143,56.1775,0.00642857,All
4.63172,0.00657143,0.66194,0.00671429,56.1775,0.00657143,All
4.63397,0.00671429,0.66433,0.00685714,56.1775,0.00671429,All
4.63478,0.00685714,0.67021,0.007,56.1775,0.00685714,All
4.63555,0.007,0.67021,0.00714286,56.1775,0.007,All
4.64403,0.00714286,0.676498,0.00728571,56.1775,0.00714286,All
4.6452,0.00728571,0.682818,0.00742857,56.1775,0.00728571,All
4.64609,0.00742857,0.68494,0.00757143,56.1775,0.00742857,All
4.65063,0.00757143,0.687931,0.00771429,56.1775,0.00757143,All
4.651,0.00771429,0.689096,0.00785714,56.1775,0.00771429,All
4.65288,0.00785714,0.68952,0.008,56.1775,0.00785714,All
4.6542,0.008,0.693395,0.00814286,56.1775,0.008,All
4.6574,0.00814286,0.697768,0.00828571,56.1775,0.00814286,All
4.65824,0.00828571,0.711674,0.00842857,56.1775,0.00828571,All
4.6598,0.00842857,0.717891,0.00857143,56.1775,0.00842857,All
4.66334,0.00857143,0.720338,0.00871429,56.1775,0.00857143,All
4.66364,0.00871429,0.720835,0.00885714,56.1775,0.00871429,All
4.6662,0.00885714,0.731908,0.009,56.1775,0.00885714,All
4.66837,0.009,0.733861,0.00914286,56.1775,0.009,All
4.66868,0.00914286,0.7501,0.00928571,56.1775,0.00914286,All
4.67723,0.00928571,0.750238,0.00942857,56.1775,0.00928571,All
4.6784,0.00942857,0.750591,0.00957143,56.1775,0.00942857,All
4.68011,0.00957143,0.762798,0.00971429,56.1775,0.00957143,All
4.68175,0.00971429,0.774014,0.00985714,56.1775,0.00971429,All
4.68444,0.00985714,0.775462,0.01,56.1775,0.00985714,All
4.69146,0.01,0.775462,0.0101429,56.1775,0.01,All
4.6922,0.0101429,0.775514,0.0102857,56.1775,0.0101429,All
4.69402,0.0102857,0.775514,0.0104286,56.1775,0.0102857,All
4.69855,0.0104286,0.783536,0.0105714,56.1775,0.0104286,All
4.69932,0.0105714,0.784522,0.0107143,56.1775,0.0105714,All
4.70295,0.0107143,0.793354,0.0108571,56.1775,0.0107143,All
4.70594,0.0108571,0.815916,0.011,56.1775,0.0108571,All
4.70724,0.011,0.81769,0.0111429,56.1775,0.011,All
4.70989,0.0111429,0.81769,0.0112857,56.1775,0.0111429,All
4.71168,0.0112857,0.819069,0.0114286,56.1775,0.0112857,All
4.71519,0.0114286,0.823287,0.0115714,56.1775,0.0114286,All
4.7168,0.0115714,0.83501,0.0117143,56.1775,0.0115714,All
4.71888,0.0117143,0.835262,0.0118571,56.1775,0.0117143,All
4.71928,0.0118571,0.836499,0.012,56.1775,0.0118571,All
4.72748,0.012,0.836499,0.0121429,56.1775,0.012,All
4.73119,0.0121429,0.850271,0.0122857,56.1775,0.0121429,All
4.7333,0.0122857,0.852406,0.0124286,56.1775,0.0122857,All
4.7333,0.0124286,0.858621,0.0125714,56.1775,0.0124286,All
4.73791,0.0125714,0.870362,0.0127143,56.1775,0.0125714,All
4.73791,0.0127143,0.876318,0.0128571,56.1775,0.0127143,All
4.74141,0.0128571,0.878456,0.013,56.1775,0.0128571,All
4.74212,0.013,0.887623,0.0131429,56.1775,0.013,All
4.74313,0.0131429,0.887772,0.0132857,56.1775,0.0131429,All
4.74413,0.0132857,0.890221,0.0134286,56.1775,0.0132857,All
4.75231,0.0134286,0.891411,0.0135714,56.1775,0.0134286,All
4.75257,0.0135714,0.891411,0.0137143,56.1775,0.0135714,All
4.75278,0.0137143,0.891492,0.0138571,56.1775,0.0137143,All
4.75291,0.0138571,0.898873,0.014,56.1775,0.0138571,All
4.75436,0.014,0.905146,0.0141429,56.1775,0.014,All
4.75456,0.0141429,0.906168,0.0142857,56.1775,0.0141429,All
4.75784,0.0142857,0.911686,0.0144286,56.1775,0.0142857,All
4.75853,0.0144286,0.914428,0.0145714,56.1775,0.0144286,All
4.75971,0.0145714,0.916025,0.0147143,56.1775,0.0145714,All
4.76131,0.0147143,0.916682,0.0148571,56.1775,0.0147143,All
4.76179,0.0148571,0.92198,0.015,56.1775,0.0148571,All
4.76329,0.015,0.92204,0.0151429,56.1775,0.015,All
4.76465,0.0151429,0.922172,0.0152857,56.1775,0.0151429,All
4.76544,0.0152857,0.923065,0.0154286,56.1775,0.0152857,All
4.76628,0.0154286,0.926867,0.0155714,56.1775,0.0154286,All
4.76648,0.0155714,0.930462,0.0157143,56.1775,0.0155714,All
4.76988,0.0157143,0.930462,0.0158571,56.1775,0.0157143,All
4.77492,0.0158571,0.931627,0.016,56.1775,0.0158571,All
4.7781,0.016,0.932291,0.0161429,56.1775,0.016,All
4.77842,0.0161429,0.934021,0.0162857,56.1775,0.0161429,All
4.78205,0.0162857,0.934021,0.0164286,56.1775,0.0162857,All
4.78236,0.0164286,0.934021,0.0165714,56.1775,0.0164286,All
4.78349,0.0165714,0.936584,0.0167143,56.1775,0.0165714,All
4.7868,0.0167143,0.946932,0.0168571,56.1775,0.0167143,All
4.78902,0.0168571,0.952999,0.017,56.1775,0.0168571,All
4.79047,0.017,0.956101,0.0171429,56.1775,0.017,All
4.79058,0.0171429,0.957252,0.0172857,56.1775,0.0171429,All
4.79169,0.0172857,0.967976,0.0174286,56.1775,0.0172857,All
4.79293,0.0174286,0.971965,0.0175714,56.1775,0.0174286,All
4.79383,0.0175714,0.973875,0.0177143,56.1775,0.0175714,All
4.79954,0.0177143,0.977485,0.0178571,56.1775,0.0177143,All
4.79954,0.0178571,0.983654,0.018,56.1775,0.0178571,All
4.80046,0.018,0.984218,0.0181429,56.1775,0.018,All
4.80378,0.0181429,0.986513,0.0182857,56.1775,0.0181429,All
4.80457,0.0182857,0.986603,0.0184286,56.1775,0.0182857,All
4.80549,0.0184286,0.990059,0.0185714,56.1775,0.0184286,All
4.8064,0.0185714,0.992643,0.0187143,56.1775,0.0185714,All
4.80662,0.0187143,0.994347,0.0188571,56.1775,0.0187143,All
4.80946,0.0188571,0.997188,0.019,56.1775,0.0188571,All
4.81322,0.019,0.997844,0.0191429,56.1775,0.019,All
4.81322,0.0191429,1.0025,0.0192857,56.1775,0.0191429,All
4.81417,0.0192857,1.00326,0.0194286,56.1775,0.0192857,All
4.81768,0.0194286,1.00391,0.0195714,56.1775,0.0194286,All
4.81832,0.0195714,1.00549,0.0197143,56.1775,0.0195714,All
4.82333,0.0197143,1.00549,0.0198571,56.1775,0.0197143,All
4.82354,0.0198571,1.01615,0.02,56.1775,0.0198571,All
4.82663,0.02,1.0235,0.0201429,56.1775,0.02,All
4.82778,0.0201429,1.02788,0.0202857,56.1775,0.0201429,All
4.82897,0.0202857,1.02962,0.0204286,56.1775,0.0202857,All
4.83028,0.0204286,1.02962,0.0205714,56.1775,0.0204286,All
4.83297,0.0205714,1.03503,0.0207143,56.1775,0.0205714,All
4.84165,0.0207143,1.03581,0.0208571,56.1775,0.0207143,All
4.84291,0.0208571,1.03625,0.021,56.1775,0.0208571,All
4.84474,0.021,1.03662,0.0211429,56.1775,0.021,All
4.84595,0.0211429,1.03668,0.0212857,56.1775,0.0211429,All
4.84633,0.0212857,1.03887,0.0214286,56.1775,0.0212857,All
4.84807,0.0214286,1.03887,0.0215714,56.1775,0.0214286,All
4.84807,0.0215714,1.03887,0.0217143,56.1775,0.0215714,All
4.84807,0.0217143,1.04163,0.0218571,56.1775,0.0217143,All
4.84881,0.0218571,1.04303,0.022,56.1775,0.0218571,All
4.84933,0.022,1.04783,0.0221429,56.1775,0.022,All
4.85114,0.0221429,1.05058,0.0222857,56.1775,0.0221429,All
4.85334,0.0222857,1.05764,0.0224286,56.1775,0.0222857,All
4.85357,0.0224286,1.05863,0.0225714,56.1775,0.0224286,All
4.85357,0.0225714,1.06195,0.0227143,56.1775,0.0225714,All
4.85371,0.0227143,1.06522,0.0228571,56.1775,0.0227143,All
4.85569,0.0228571,1.06929,0.023,56.1775,0.0228571,All
4.85571,0.023,1.06945,0.0231429,56.1775,0.023,All
4.85595,0.0231429,1.0698,0.0232857,56.1775,0.0231429,All
4.8619,0.0232857,1.07234,0.0234286,56.1775,0.0232857,All
4.86314,0.0234286,1.07234,0.0235714,56.1775,0.0234286,All
4.86512,0.0235714,1.07234,0.0237143,56.1775,0.0235714,All
4.8666,0.0237143,1.07244,0.0238571,56.1775,0.0237143,All
4.86677,0.0238571,1.07604,0.024,56.1775,0.0238571,All
4.8682,0.024,1.07901,0.0241429,56.1775,0.024,All
4.869,0.0241429,1.07901,0.0242857,56.1775,0.0241429,All
4.87054,0.0242857,1.08177,0.0244286,56.1775,0.0242857,All
4.87068,0.0244286,1.08871,0.0245714,56.1775,0.0244286,All
4.87376,0.0245714,1.08871,0.0247143,56.1775,0.0245714,All
4.87449,0.0247143,1.09484,0.0248571,56.1775,0.0247143,All
4.87631,0.0248571,1.09844,0.025,56.1775,0.0248571,All
4.87639,0.025,1.10113,0.0251429,56.1775,0.025,All
4.87658,0.0251429,1.10946,0.0252857,56.1775,0.0251429,All
4.87739,0.0252857,1.11049,0.0254286,56.1775,0.0252857,All
4.87779,0.0254286,1.12205,0.0255714,56.1775,0.0254286,All
4.87972,0.0255714,1.12516,0.0257143,56.1775,0.0255714,All
4.88121,0.0257143,1.12516,0.0258571,56.1775,0.0257143,All
4.88273,0.0258571,1.12616,0.026,56.1775,0.0258571,All
4.88377,0.026,1.12921,0.0261429,56.1775,0.026,All
4.88645,0.0261429,1.13351,0.0262857,56.1775,0.0261429,All
4.88789,0.0262857,1.13388,0.0264286,56.1775,0.0262857,All
4.88805,0.0264286,1.13658,0.0265714,56.1775,0.0264286,All
