iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a
1,1194.69,1,5.1,26.36,4.15,16.39,4.2,16.62,1.5,1.5,1,1.5,1,1,3.3422
2,1164.64,1,3.18553,32.5315,3.59376,24.9209,3.70325,17.4249,1.34164,1.37751,0.943316,1.34164,1.13502,1.04672,2.98935
3,1139.38,1,3.34932,32.4267,3.65586,22.2781,4.06629,18.044,1.2,1.26526,1.07314,1.31191,1.11015,0.936219,2.67376
4,1113.62,1,3.57496,32.3269,4.56366,27.7544,3.98578,15.8354,1.07331,1.18359,1.08976,1.34832,1.0252,0.90746,2.39148
5,1086.31,1,3.80871,34.7696,4.17051,33.0842,4.05964,19.294,0.96,1.06638,1.11578,1.32433,0.952738,0.9667,2.13901
6,1056.5,1,3.55161,35.6706,4.41926,36.9074,3.67235,16.3465,0.85865,1.0307,1.28166,1.18452,0.859845,1.08415,1.91319
7,1030.06,1,4.0013,45.6208,5.2548,43.7457,2.95875,15.5118,0.768,0.964372,1.18749,1.19415,0.780924,1.05145,1.7112
8,1000.98,1,3.99493,49.8807,4.86746,47.3101,3.31776,12.9266,0.68692,0.886839,1.06213,1.27431,0.73702,0.940441,1.53055
9,972.248,1,4.45799,45.5895,6.33967,48.6426,2.91008,15.4807,0.6144,0.834905,1.19931,1.16552,0.671946,0.865209,1.36896
10,942.82,1,4.69862,50.0948,4.7003,43.9049,2.81693,14.6668,0.549536,0.746762,1.11796,1.30496,0.643695,0.849734,1.22444
11,922.065,1,4.82715,49.2706,5.43867,37.4075,2.2874,14.1828,0.49152,0.714309,1.13585,1.26248,0.622046,0.897436,1.09517
12,892.276,1,4.90691,39.6525,6.08428,37.073,2.63686,14.2177,0.439629,0.648259,1.12969,1.38194,0.587214,0.893542,0.979551
13,865.731,1,4.68023,33.1424,6.69647,57.1632,2.9734,16.4318,0.393216,0.579821,1.06409,1.3499,0.603714,1.01119,0.876137
14,842.488,1,4.89953,31.8678,5.54869,39.267,2.79549,20.8144,0.351703,0.532508,0.951754,1.325,0.539979,1.2006,0.783641
15,809.418,1,5.03745,31.3519,4.54865,49.078,2.53614,18.2353,0.314573,0.541884,0.928965,1.2745,0.500365,1.14614,0.70091
16,777.458,1,5.03634,26.1668,4.8679,55.379,2.5568,18.8726,0.281362,0.484676,1.01446,1.13995,0.448879,1.02514,0.626913
17,756.384,1,4.9263,25.485,5.20925,48.8209,2.75523,18.1976,0.263918,0.479031,1.0208,1.16102,0.40149,0.937158,0.560728
18,732.727,1,4.91671,26.6127,6.15023,46.6791,3.06838,19.3005,0.262722,0.428458,0.963477,1.32752,0.413584,0.868371,0.50153
19,701.163,1,4.94854,26.0141,5.20875,35.1089,2.96298,18.3324,0.246018,0.383225,0.86176,1.26557,0.369921,0.894828,0.448582
20,674.174,1,5.10197,26.4984,5.38624,34.2949,3.15041,15.5268,0.254654,0.342767,0.770781,1.19932,0.330867,0.876484,0.401224
21,667.803,1,5.26747,25.6322,4.95233,38.2345,3.05974,15.469,0.235126,0.30658,0.728711,1.29554,0.360862,1.03854,0.358866
22,646.721,1,5.18511,26.9076,4.35527,34.5028,2.93905,13.9208,0.235605,0.276195,0.707554,1.34168,0.379401,1.05308,0.320979
23,633.031,1,5.0949,27.5675,4.27685,40.2603,2.79214,15.5045,0.258677,0.263897,0.650521,1.4637,0.391701,1.04288,0.287093
24,609.164,1,5.04118,27.4638,4.38768,40.713,2.46419,14.5884,0.247738,0.255419,0.608358,1.49053,0.350348,1.15163,0.256783
25,582.89,1,5.01613,27.5231,4.18299,47.369,2.42365,14.0037,0.260054,0.24053,0.658782,1.46813,0.313361,1.03204,0.229674
26,578.188,1,5.00898,27.8045,3.85174,34.6166,2.59427,15.1297,0.252589,0.238249,0.647486,1.70698,0.280279,1.02766,0.205427
27,554.406,1,4.98051,27.8834,3.57123,47.6998,2.56164,13.9755,0.269688,0.232256,0.633421,1.62115,0.287722,0.952444,0.183739
28,537.765,1,5.01441,27.2356,3.28874,50.3386,2.6257,13.1826,0.241851,0.21706,0.621088,1.66425,0.295775,1.0184,0.164341
29,536.311,1,4.83204,26.3879,3.6203,49.8647,2.5044,12.679,0.250317,0.21757,0.64215,1.62816,0.288196,1.11998,0.146991
30,520.084,1,4.82598,26.8129,3.73566,50.2907,2.47845,12.3606,0.244088,0.223958,0.608602,1.59982,0.315269,1.03739,0.134397
31,516.632,1,4.9299,27.3634,3.65098,42.1151,2.48798,11.2015,0.232086,0.214585,0.597891,1.80033,0.346045,1.00469,0.130695
32,517.574,1,4.93208,26.8638,3.6418,33.3181,2.43518,13.3954,0.235706,0.206527,0.59538,1.80961,0.375547,1.03837,0.12957
33,508.525,1,4.88373,27.0995,3.69427,30.5816,2.4402,12.1287,0.23682,0.209485,0.611331,2.00139,0.3359,1.03124,0.123409
34,508.62,1,4.8944,26.6574,3.15746,33.9114,2.44167,11.7048,0.234859,0.196372,0.615664,1.83063,0.335511,1.06788,0.125367
35,500.07,1,4.95295,27.2873,3.16955,38.7659,2.4495,11.6653,0.224254,0.214481,0.691725,1.63737,0.325348,1.01737,0.121521
36,509.726,1,4.90967,26.8874,3.29285,38.979,2.60662,12.2049,0.233891,0.237474,0.618698,1.6545,0.344821,1.10396,0.123763
37,505.132,1,4.79763,26.7573,3.26319,37.3334,2.52925,11.7229,0.237751,0.238301,0.559969,1.92241,0.328117,1.00724,0.121698
38,493.144,1,4.86795,26.4238,2.95536,44.2009,2.53585,12.8495,0.243264,0.218597,0.575425,1.76932,0.340788,0.981024,0.11614
39,497.47,1,4.86046,26.7383,2.98236,48.7286,2.51625,12.2829,0.253719,0.244731,0.656235,1.63147,0.32943,1.03865,0.114894
40,495.988,1,4.91249,26.4527,3.06537,46.3485,2.65605,11.7215,0.236568,0.256148,0.705794,1.84068,0.31244,0.945969,0.113634
41,492.457,1,4.99106,27.2456,2.70641,40.7245,2.58465,13.0362,0.237641,0.258998,0.688435,1.8456,0.279455,0.894622,0.115776
42,495.863,1,4.93006,27.7895,3.04532,40.5059,2.62665,12.0746,0.221519,0.260734,0.7261,1.84295,0.249952,0.947017,0.117881
43,488.422,1,4.9958,27.2366,3.01241,47.3507,2.3316,13.6303,0.222115,0.254965,0.649444,1.68983,0.270341,0.934823,0.115698
44,486.784,1,4.96324,26.7304,2.95648,40.3065,2.34628,15.1226,0.228619,0.245643,0.669176,1.74768,0.24266,0.911781,0.116012
45,484.823,1,5.01474,26.4078,3.04759,35.2356,2.44397,14.5559,0.23072,0.246401,0.65825,1.78844,0.217042,0.98274,0.118532
46,483.045,1,4.98337,27.4423,2.97883,38.5431,2.50566,15.2713,0.237859,0.255978,0.61279,1.68936,0.194128,1.02123,0.116838
47,479.994,1,5.03621,26.5943,2.99892,34.3498,2.51977,12.7824,0.229202,0.247512,0.622827,1.61274,0.18101,1.08549,0.116322
48,477.657,1,5.11247,25.9659,3.37614,32.6707,2.57615,9.78805,0.236892,0.238457,0.628529,1.58295,0.169195,1.03812,0.117044
49,466.618,1,5.13026,26.2317,3.3709,31.6497,2.5034,8.3319,0.221158,0.228413,0.748523,1.4159,0.157084,1.04128,0.112452
50,464.323,1,5.09126,26.6182,3.18623,40.9823,2.63532,8.93276,0.219438,0.248951,0.726933,1.26642,0.155943,1.03858,0.112622
51,464.752,1,5.13018,26.1004,3.49605,45.0769,2.61141,8.60052,0.230031,0.241276,0.760872,1.23971,0.1553,0.970228,0.113075
52,473.059,1,5.1091,26.3364,3.3218,42.0243,2.68652,11.2958,0.230808,0.256172,0.78591,1.36043,0.175905,0.867799,0.114925
53,474.103,1,5.06073,27.4851,2.9646,43.0343,2.64518,11.7857,0.239855,0.262896,0.774468,1.31768,0.171804,0.878659,0.115167
54,477.451,1,5.08049,27.9789,2.77502,52.0793,2.5623,11.4959,0.245042,0.237094,0.835417,1.28302,0.153666,0.8127,0.121137
55,480.716,1,5.02538,28.2926,3.48808,54.7699,2.56924,11.4568,0.251009,0.261369,0.755408,1.31372,0.171259,0.802943,0.12063
56,477.346,1,4.99335,27.855,3.15585,49.69,2.62151,11.3007,0.25517,0.24002,0.727146,1.19748,0.153179,0.834133,0.123634
57,468.079,1,5.03288,27.3288,2.86462,47.2957,2.66978,11.078,0.25827,0.236319,0.651977,1.34654,0.156073,0.746071,0.119396
58,475.4,1,4.982,27.333,2.63378,47.0753,2.68884,9.376,0.267455,0.261347,0.648461,1.28985,0.152813,0.794983,0.121365
59,471.349,1,5.04937,26.8692,3.02351,45.1477,2.61708,8.63564,0.270922,0.23579,0.698376,1.23979,0.159797,0.77474,0.119467
60,471.649,1,5.05969,26.4549,3.20612,45.9276,2.71997,9.89329,0.26988,0.222731,0.716147,1.3414,0.147347,0.750984,0.120867
61,465.829,1,5.0433,26.8473,3.10936,49.7216,2.66914,7.55539,0.266996,0.240036,0.640542,1.4368,0.132797,0.734288,0.120551
