iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a
1,740.686,1,52.1651,10.3504,0.181093,0.259226,3.3422
2,570.868,1,36.7373,5.40386,0.210803,0.291295,4.69918
3,556.4,1,35.104,5.03266,0.188548,0.277181,4.48733
4,549.01,1,32.6915,5.09617,0.17493,0.28172,4.33023
5,528.486,1,29.9785,5.0727,0.1915,0.263856,3.87708
6,516.424,1,27.761,5.12471,0.207027,0.269305,3.58912
7,509.431,1,26.9269,5.09325,0.22653,0.256234,3.44048
8,504.354,1,25.7551,5.09527,0.248563,0.268464,3.28325
9,501.72,1,24.646,5.1892,0.251281,0.283545,3.20771
10,502.775,1,25.4933,5.26584,0.246738,0.264448,3.26703
11,505.677,1,25.6486,5.2133,0.239487,0.249228,3.36018
12,505.291,1,25.218,5.17114,0.256667,0.25849,3.30208
13,498.367,1,24.9955,5.22367,0.250199,0.268261,3.17975
14,496.807,1,24.2713,5.23196,0.223785,0.25223,3.25806
15,502.302,1,24.5477,5.21055,0.240574,0.257859,3.2831
16,496.247,1,24.7056,5.2471,0.229987,0.266625,3.18655
17,496.497,1,24.2494,5.17622,0.238446,0.255899,3.193
18,501.843,1,25.0164,5.15055,0.251916,0.258964,3.25129
19,507.169,1,25.0044,5.23499,0.274714,0.256681,3.30505
20,505.249,1,25.0165,5.3223,0.274994,0.272684,3.24294
21,507.597,1,25.0075,5.27113,0.306511,0.251572,3.26952
22,504.692,1,24.7525,5.20482,0.274151,0.256981,3.26503
23,495.812,1,24.8249,5.28465,0.265348,0.264984,3.11652
24,497.193,1,24.736,5.21343,0.237335,0.265907,3.22606
25,495.158,1,24.9691,5.2041,0.213436,0.25409,3.2258
26,495.517,1,25.2685,5.24657,0.205892,0.25718,3.24312
27,493.273,1,25.0721,5.16121,0.221123,0.245394,3.19403
28,499.845,1,25.1933,5.20215,0.222753,0.256289,3.28085
29,494.318,1,24.6772,5.15532,0.224041,0.244975,3.20612
30,497.136,1,24.9278,5.20421,0.244886,0.246512,3.20865
31,496.888,1,25.1234,5.17497,0.249979,0.25757,3.17453
32,494.664,1,24.7941,5.17134,0.266154,0.260399,3.10447
33,501.252,1,24.6333,5.22545,0.257013,0.257642,3.23426
34,499.492,1,25.0824,5.2251,0.267887,0.27205,3.16026
35,500.073,1,25.1762,5.14449,0.277761,0.257541,3.17846
36,502.089,1,24.8719,5.11307,0.290587,0.255432,3.19476
37,496.802,1,24.7798,5.1833,0.274867,0.259314,3.12641
38,498.46,1,25.112,5.23858,0.245848,0.246811,3.23292
39,493.625,1,24.6029,5.22554,0.221826,0.25426,3.18189
40,493.081,1,24.4851,5.17052,0.219168,0.249196,3.18782
41,495.845,1,24.6776,5.17581,0.225179,0.258245,3.20459
42,499.795,1,25.3823,5.18567,0.24513,0.257312,3.23266
43,502.256,1,25.3763,5.14693,0.267894,0.26307,3.22181
44,496.464,1,24.762,5.24132,0.239612,0.260931,3.1978
45,496.415,1,24.5638,5.20105,0.242125,0.255546,3.18516
46,503.563,1,24.7285,5.16333,0.231454,0.254552,3.32968
47,503.405,1,25.2528,5.1442,0.257184,0.254304,3.27665
48,505.13,1,25.2738,5.21888,0.230033,0.25936,3.39028
49,500.148,1,24.5517,5.16463,0.219684,0.248276,3.30798
50,504.284,1,25.5921,5.11333,0.205711,0.259416,3.3908
51,498.655,1,24.9468,5.13031,0.226424,0.244489,3.27527
52,501.907,1,24.8575,5.11334,0.223882,0.262306,3.30265
53,503.009,1,24.6334,5.10468,0.216359,0.25541,3.35124
54,498.747,1,24.4253,5.22933,0.222519,0.272412,3.23374
55,498.938,1,24.9,5.19305,0.221532,0.276684,3.23173
56,497.176,1,24.3236,5.19205,0.224713,0.276708,3.19552
57,500.65,1,24.7892,5.12575,0.217981,0.276467,3.26874
58,497.149,1,25.4471,5.17164,0.226366,0.265058,3.21173
59,496.233,1,25.4402,5.20181,0.218045,0.264955,3.21414
60,494.149,1,25.8601,5.20082,0.20859,0.265205,3.19963
61,496.17,1,26.1742,5.23642,0.222218,0.27062,3.19434
