rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
0,1,-0.545577,-0.68097,-0.0220596,-0.444554,-0.183725,All,#4682B4,0
1,1,-0.589293,-0.611262,-0.0622876,-1.09584,0.176077,All,#4682B4,0
2,1,-0.597973,-0.773846,0.0214392,0.383483,0.0415703,All,#4682B4,0
3,1,-0.777384,-0.773932,0.0121141,-0.24353,-0.143334,All,#4682B4,0
4,1,-0.583326,-0.719761,0.0167339,-0.439218,0.0584609,All,#4682B4,0
5,1,-0.660568,-0.724506,0.0138381,-0.00670193,-0.0983225,All,#4682B4,0
6,1,-0.619631,-0.741826,-0.0571618,-0.111187,0.214157,All,#4682B4,0
7,1,-0.655594,-0.680869,-0.0246974,-0.0231596,0.129642,All,#4682B4,0
8,1,-0.596035,-0.724733,0.0100226,-0.226028,0.0648724,All,#4682B4,0
9,1,-0.575804,-0.697417,-0.0524248,-0.104537,-0.0602644,All,#4682B4,0
0,2,0.0829813,0.192148,0.0163871,-0.357015,-0.00871882,All,#4682B4,0
1,2,0.00617236,0.237656,0.0534327,-0.00889106,-0.0459945,All,#4682B4,0
2,2,0.128924,0.282241,0.0502782,0.338268,-0.0964789,All,#4682B4,0
3,2,0.119182,0.250181,0.0514137,0.162705,-0.100586,All,#4682B4,0
4,2,0.123252,0.270425,0.0152389,0.167024,-0.0165543,All,#4682B4,0
5,2,0.0279528,0.268766,-0.0231696,0.526128,-0.103566,All,#4682B4,0
6,2,0.184048,0.31887,0.019395,0.317406,0.225264,All,#4682B4,0
7,2,0.0407894,0.290556,-0.000207408,0.503759,0.0838409,All,#4682B4,0
8,2,-0.0572754,0.222143,-0.0244499,0.149144,-0.198464,All,#4682B4,0
9,2,0.0643344,0.253182,0.000533974,0.320496,-0.149055,All,#4682B4,0
0,3,-0.115919,0.0764872,-0.0103453,-0.237344,-0.028054,All,#4682B4,0
1,3,-0.0645467,0.200117,0.066591,0.0357799,-0.00677364,All,#4682B4,0
2,3,-0.0323686,0.199799,0.0134443,0.233591,0.0815813,All,#4682B4,0
