Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_fi_abscissa,Q_vs_fi_spline,Q_vs_fi_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_fi_abscissa,V1_vs_fi_spline,V1_vs_fi_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_fi_abscissa,V2_vs_fi_spline,V2_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_Q_abscissa,fi_vs_Q_spline,fi_vs_Q_regression,fi_vs_V1_abscissa,fi_vs_V1_spline,fi_vs_V1_regression,fi_vs_V2_abscissa,fi_vs_V2_spline,fi_vs_V2_regression
-3.62555,-0.0499112,-0.096784,-0.0924886,-0.011497,-0.0889808,-0.487969,-0.000599629,0.0716388,-0.777384,-0.579308,-0.367506,-0.773932,-0.0866484,-0.349559,-0.0924886,0.344255,-0.0910746,-0.487969,-0.701707,-0.561389,-0.777384,-0.449888,-0.933641,-0.773932,0.00397739,-0.024184,-3.62555,-0.021586,-0.0121587,-0.487969,-0.0145453,-0.011384,-0.777384,0.00135831,-0.0131286,-0.773932,-0.00973579,0.0309802,-3.62555,-0.258919,-0.100858,-0.0924886,-0.0620024,-0.0204681,-0.777384,-0.0803406,-0.00305752,-0.773932,-0.518031,-0.356373,-3.62555,-0.238274,-0.256182,-0.0924886,0.0390869,-0.0233387,-0.487969,0.140251,0.0158487
-3.56018,-0.0389828,-0.0951066,-0.0907431,-0.0168688,-0.0872155,-0.47896,0.0195442,0.0701951,-0.763953,-0.583739,-0.361228,-0.762894,-0.122843,-0.34497,-0.0907431,0.288476,-0.0897909,-0.47896,-0.842801,-0.551308,-0.763953,-0.445618,-0.918008,-0.762894,-0.00125473,-0.0239657,-3.56018,-0.0199183,-0.0121007,-0.47896,-0.0162024,-0.0113382,-0.763953,4.2178e-06,-0.0130566,-0.762894,-0.00173885,0.0303526,-3.56018,-0.237205,-0.0992569,-0.0907431,-0.0468627,-0.020307,-0.763953,-0.0697058,-0.00322533,-0.762894,-0.522456,-0.351271,-3.56018,-0.232921,-0.251538,-0.0907431,0.0342532,-0.0228657,-0.47896,0.109318,0.0155349
-3.49481,-0.0280543,-0.0934292,-0.0889977,-0.0222407,-0.0854502,-0.469951,0.039688,0.0687515,-0.750521,-0.58817,-0.354951,-0.751856,-0.159007,-0.34038,-0.0889977,0.232698,-0.0885072,-0.469951,-0.983896,-0.541228,-0.750521,-0.441349,-0.902375,-0.751856,-0.00648186,-0.0237474,-3.49481,-0.0182507,-0.0120426,-0.469951,-0.0178596,-0.0112924,-0.750521,-0.00134987,-0.0129846,-0.751856,0.00625018,0.0297251,-3.49481,-0.215492,-0.0976555,-0.0889977,-0.0317229,-0.020146,-0.750521,-0.059071,-0.00339314,-0.751856,-0.526844,-0.346168,-3.49481,-0.227567,-0.246894,-0.0889977,0.0294194,-0.0223927,-0.469951,0.0783839,0.0152211
-3.42944,-0.0171258,-0.0917519,-0.0872522,-0.0276126,-0.0836849,-0.460943,0.0598318,0.0673079,-0.73709,-0.592601,-0.348674,-0.740817,-0.194662,-0.335791,-0.0872522,0.17692,-0.0872235,-0.460943,-1.12499,-0.531148,-0.73709,-0.437079,-0.886741,-0.740817,-0.011624,-0.0235291,-3.42944,-0.016583,-0.0119846,-0.460943,-0.0195167,-0.0112466,-0.73709,-0.00270396,-0.0129127,-0.740817,0.0141051,0.0290976,-3.42944,-0.193778,-0.096054,-0.0872522,-0.0165831,-0.0199849,-0.73709,-0.0484362,-0.00356095,-0.740817,-0.530641,-0.341065,-3.42944,-0.222213,-0.24225,-0.0872522,0.0245857,-0.0219196,-0.460943,0.0474502,0.0149073
-3.36407,-0.00619735,-0.0900745,-0.0855067,-0.0329845,-0.0819196,-0.451934,0.0799756,0.0658643,-0.723658,-0.597032,-0.342396,-0.729779,-0.225246,-0.331201,-0.0855067,0.121142,-0.0859398,-0.451934,-1.26608,-0.521067,-0.723658,-0.43281,-0.871108,-0.729779,-0.0159205,-0.0233108,-3.36407,-0.0149154,-0.0119266,-0.451934,-0.0211738,-0.0112007,-0.723658,-0.00405805,-0.0128407,-0.729779,0.0206268,0.02847,-3.36407,-0.172064,-0.0944525,-0.0855067,-0.00144335,-0.0198238,-0.723658,-0.0378014,-0.00372876,-0.729779,-0.528547,-0.335963,-3.36407,-0.216859,-0.237605,-0.0855067,0.019752,-0.0214466,-0.451934,0.0165165,0.0145935
-3.29871,0.00473112,-0.0883971,-0.0837612,-0.0383564,-0.0801543,-0.442925,0.100119,0.0644206,-0.710227,-0.601463,-0.336119,-0.71874,-0.254262,-0.326612,-0.0837612,0.0653634,-0.0846561,-0.442925,-1.40718,-0.510987,-0.710227,-0.42854,-0.855475,-0.71874,-0.0199587,-0.0230925,-3.29871,-0.0132478,-0.0118686,-0.442925,-0.022831,-0.0111549,-0.710227,-0.00541214,-0.0127687,-0.71874,0.0267431,0.0278425,-3.29871,-0.150351,-0.0928511,-0.0837612,0.0136964,-0.0196628,-0.710227,-0.0271666,-0.00389658,-0.71874,-0.524738,-0.33086,-3.29871,-0.211506,-0.232961,-0.0837612,0.0149182,-0.0209736,-0.442925,-0.0144171,0.0142797
-3.23334,0.0156596,-0.0867198,-0.0820157,-0.0437283,-0.0783891,-0.433916,0.111753,0.062977,-0.696795,-0.605894,-0.329841,-0.707702,-0.279579,-0.322022,-0.0820157,0.00958508,-0.0833724,-0.433916,-1.47459,-0.500906,-0.696795,-0.424271,-0.839842,-0.707702,-0.023391,-0.0228742,-3.23334,-0.0115801,-0.0118105,-0.433916,-0.0238219,-0.0111091,-0.696795,-0.00676623,-0.0126968,-0.707702,0.0319109,0.027215,-3.23334,-0.128637,-0.0912496,-0.0820157,0.0288362,-0.0195017,-0.696795,-0.0165318,-0.00406439,-0.707702,-0.516988,-0.325758,-3.23334,-0.206152,-0.228317,-0.0820157,0.0100845,-0.0205005,-0.433916,-0.0336061,0.0139659
-3.16797,0.0228287,-0.0850424,-0.0802702,-0.0500591,-0.0766238,-0.424908,0.111527,0.0615334,-0.683364,-0.610325,-0.323564,-0.696663,-0.30463,-0.317432,-0.0802702,-0.0277077,-0.0820887,-0.424908,-1.43932,-0.490826,-0.683364,-0.420001,-0.824209,-0.696663,-0.02678,-0.0226558,-3.16797,-0.0102856,-0.0117525,-0.424908,-0.0238844,-0.0110633,-0.683364,-0.00812032,-0.0126248,-0.696663,0.0370114,0.0265874,-3.16797,-0.111662,-0.0896481,-0.0802702,0.0391166,-0.0193407,-0.683364,-0.00589695,-0.0042322,-0.696663,-0.508972,-0.320655,-3.16797,-0.201257,-0.223673,-0.0802702,0.00482386,-0.0200275,-0.424908,-0.0364284,0.0136521
-3.1026,0.0234592,-0.083365,-0.0785248,-0.0575749,-0.0748585,-0.415899,0.111302,0.0600898,-0.669932,-0.614756,-0.317286,-0.685625,-0.326029,-0.312843,-0.0785248,-0.0417246,-0.080805,-0.415899,-1.40405,-0.480745,-0.669932,-0.415732,-0.808575,-0.685625,-0.0295788,-0.0224375,-3.1026,-0.00964017,-0.0116945,-0.415899,-0.023947,-0.0110175,-0.669932,-0.00947441,-0.0125528,-0.685625,0.0411931,0.0259599,-3.1026,-0.102927,-0.0880466,-0.0785248,0.0432613,-0.0191796,-0.669932,0.00473785,-0.00440001,-0.685625,-0.497325,-0.315553,-3.1026,-0.197159,-0.219029,-0.0785248,-0.000962524,-0.0195544,-0.415899,-0.0392506,0.0133383
-3.03723,0.0240898,-0.0816877,-0.0767793,-0.0651799,-0.0730932,-0.40689,0.111076,0.0586461,-0.656501,-0.614218,-0.311009,-0.674587,-0.342927,-0.308253,-0.0767793,-0.0468494,-0.0795213,-0.40689,-1.36878,-0.470665,-0.656501,-0.413649,-0.792942,-0.674587,-0.0316716,-0.0222192,-3.03723,-0.00899471,-0.0116365,-0.40689,-0.0240095,-0.0109716,-0.656501,-0.0107796,-0.0124809,-0.674587,0.0442898,0.0253324,-3.03723,-0.0941928,-0.0864452,-0.0767793,0.0447833,-0.0190185,-0.656501,0.0138401,-0.00456782,-0.674587,-0.481914,-0.31045,-3.03723,-0.193061,-0.214384,-0.0767793,-0.00675683,-0.0190814,-0.40689,-0.0420729,0.0130245
