Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
1.87314,0,7.54312,0,1.18072,0,7.79355,0,4.88533e-21,0.00714286,1.61438e-13,0.00714286,All
2.28531,0.00714286,8.44607,0.00714286,1.27883,0.00714286,11.4259,0.00714286,3.74972e-19,0.0142857,8.75109e-11,0.0142857,All
2.32778,0.0142857,11.1177,0.0142857,1.35501,0.0142857,11.8065,0.0142857,1.3134e-18,0.0214286,2.93023e-10,0.0214286,All
2.36471,0.0214286,11.7718,0.0214286,1.65317,0.0214286,12.1798,0.0214286,1.48996e-18,0.0285714,8.76792e-10,0.0285714,All
2.4342,0.0285714,11.8322,0.0285714,1.69068,0.0285714,12.1813,0.0285714,3.53868e-18,0.0357143,1.78857e-09,0.0357143,All
2.44918,0.0357143,11.8583,0.0357143,1.7853,0.0357143,13.0927,0.0357143,8.06246e-18,0.0428571,1.0349e-08,0.0428571,All
2.45097,0.0428571,12.0435,0.0428571,1.81957,0.0428571,13.4831,0.0428571,1.0342e-17,0.05,4.10593e-08,0.05,All
2.46784,0.05,12.2454,0.05,1.83217,0.05,14.3934,0.05,2.98927e-17,0.0571429,7.80767e-08,0.0571429,All
2.55015,0.0571429,13.2581,0.0571429,1.97415,0.0571429,14.4901,0.0571429,8.2329e-17,0.0642857,9.94787e-08,0.0642857,All
2.55682,0.0642857,13.327,0.0642857,1.9866,0.0642857,15.2133,0.0642857,8.91475e-17,0.0714286,1.9703e-07,0.0714286,All
2.59079,0.0714286,13.584,0.0714286,2.01802,0.0714286,15.4712,0.0714286,1.067e-16,0.0785714,2.05543e-07,0.0785714,All
3.30965,0.0785714,13.618,0.0785714,2.05227,0.0785714,15.7358,0.0785714,1.30694e-16,0.0857143,2.16066e-07,0.0857143,All
3.33374,0.0857143,13.6899,0.0857143,2.09837,0.0857143,16.1131,0.0857143,1.3528e-16,0.0928571,2.91011e-07,0.0928571,All
3.33454,0.0928571,13.8082,0.0928571,2.28669,0.0928571,17.1983,0.0928571,1.41694e-16,0.1,6.2992e-07,0.1,All
3.35608,0.1,13.875,0.1,2.31141,0.1,17.8831,0.1,1.56292e-16,0.107143,1.08326e-06,0.107143,All
3.39093,0.107143,13.8875,0.107143,2.39512,0.107143,17.9357,0.107143,1.8253e-16,0.114286,1.36328e-06,0.114286,All
3.43268,0.114286,14.1037,0.114286,2.40276,0.114286,18.2594,0.114286,2.08037e-16,0.121429,1.41897e-06,0.121429,All
3.48279,0.121429,14.3769,0.121429,2.45158,0.121429,18.322,0.121429,4.25715e-16,0.128571,1.49905e-06,0.128571,All
3.50329,0.128571,14.4879,0.128571,2.50685,0.128571,18.3235,0.128571,4.31017e-16,0.135714,1.5435e-06,0.135714,All
3.512,0.135714,14.6213,0.135714,2.50823,0.135714,18.7621,0.135714,4.53004e-16,0.142857,1.67214e-06,0.142857,All
3.57279,0.142857,14.9553,0.142857,2.53575,0.142857,18.8338,0.142857,5.21989e-16,0.15,1.71649e-06,0.15,All
4.46636,0.15,15.0502,0.15,2.58159,0.15,18.8555,0.15,6.22894e-16,0.157143,3.36433e-06,0.157143,All
4.47515,0.157143,15.485,0.157143,2.59979,0.157143,19.2915,0.157143,8.36571e-16,0.164286,3.37715e-06,0.164286,All
4.49283,0.164286,15.6316,0.164286,2.7225,0.164286,19.3696,0.164286,9.63848e-16,0.171429,3.97756e-06,0.171429,All
4.49876,0.171429,15.8102,0.171429,2.83363,0.171429,19.4934,0.171429,1.44241e-15,0.178571,4.20449e-06,0.178571,All
4.52074,0.178571,15.9105,0.178571,2.8502,0.178571,19.6006,0.178571,1.47044e-15,0.185714,4.23841e-06,0.185714,All
4.58726,0.185714,16.0127,0.185714,2.9069,0.185714,19.7481,0.185714,2.05653e-15,0.192857,4.3233e-06,0.192857,All
4.62901,0.192857,16.1057,0.192857,2.94486,0.192857,19.859,0.192857,3.43031e-15,0.2,4.98739e-06,0.2,All
4.64996,0.2,16.2193,0.2,3.00202,0.2,20.0878,0.2,4.92061e-15,0.207143,5.75518e-06,0.207143,All
4.65817,0.207143,16.5694,0.207143,3.03,0.207143,20.2075,0.207143,5.55581e-15,0.214286,7.50196e-06,0.214286,All
4.76813,0.214286,16.6546,0.214286,3.03496,0.214286,20.2217,0.214286,6.57112e-15,0.221429,7.80883e-06,0.221429,All
4.78763,0.221429,16.7918,0.221429,3.11252,0.221429,20.3384,0.221429,7.2623e-15,0.228571,9.26614e-06,0.228571,All
4.81618,0.228571,16.9139,0.228571,3.24965,0.228571,20.3457,0.228571,7.33585e-15,0.235714,1.41567e-05,0.235714,All
4.82919,0.235714,17.1274,0.235714,3.26363,0.235714,20.7499,0.235714,7.35411e-15,0.242857,1.45122e-05,0.242857,All
4.85452,0.242857,17.2712,0.242857,3.67938,0.242857,20.9325,0.242857,7.75659e-15,0.25,1.50566e-05,0.25,All
4.86062,0.25,17.3175,0.25,3.71431,0.25,20.9689,0.25,9.58255e-15,0.257143,1.90731e-05,0.257143,All
4.8726,0.257143,17.3231,0.257143,3.74689,0.257143,21.2498,0.257143,1.08707e-14,0.264286,2.18492e-05,0.264286,All
4.93229,0.264286,17.3878,0.264286,3.89258,0.264286,21.4051,0.264286,1.11718e-14,0.271429,2.78308e-05,0.271429,All
4.93639,0.271429,17.4161,0.271429,4.00215,0.271429,21.5031,0.271429,1.39428e-14,0.278571,3.05361e-05,0.278571,All
4.96361,0.278571,17.6109,0.278571,4.05893,0.278571,21.5181,0.278571,2.71809e-14,0.285714,3.51595e-05,0.285714,All
4.97708,0.285714,17.792,0.285714,4.14563,0.285714,21.5384,0.285714,3.61174e-14,0.292857,3.90967e-05,0.292857,All
4.99829,0.292857,17.8005,0.292857,4.17922,0.292857,21.8019,0.292857,3.65758e-14,0.3,4.14198e-05,0.3,All
4.99836,0.3,17.8607,0.3,4.36035,0.3,21.8592,0.3,4.53764e-14,0.307143,4.15984e-05,0.307143,All
5.01883,0.307143,17.8709,0.307143,4.4031,0.307143,21.9041,0.307143,5.04286e-14,0.314286,5.70326e-05,0.314286,All
5.02418,0.314286,18.0319,0.314286,4.62803,0.314286,21.951,0.314286,5.26738e-14,0.321429,9.91711e-05,0.321429,All
5.02522,0.321429,18.0488,0.321429,4.66783,0.321429,22.0741,0.321429,5.6184e-14,0.328571,9.932e-05,0.328571,All
5.04662,0.328571,18.2153,0.328571,4.73963,0.328571,22.0949,0.328571,6.63243e-14,0.335714,0.000103236,0.335714,All
5.07523,0.335714,18.453,0.335714,4.87242,0.335714,22.2314,0.335714,6.82417e-14,0.342857,0.000107804,0.342857,All
5.10232,0.342857,18.4876,0.342857,4.98141,0.342857,22.5163,0.342857,7.07601e-14,0.35,0.000110198,0.35,All
5.11278,0.35,18.512,0.35,5.01108,0.35,22.9151,0.35,7.56183e-14,0.357143,0.000155979,0.357143,All
5.11738,0.357143,18.5378,0.357143,5.03382,0.357143,23.1018,0.357143,8.03557e-14,0.364286,0.000169938,0.364286,All
5.13086,0.364286,18.5751,0.364286,5.11642,0.364286,23.3507,0.364286,8.10189e-14,0.371429,0.000171927,0.371429,All
