Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
1.87314,0.000569711,6.98968e-05,7.54312,0.000114004,5.36306e-05,1.18072,0.0299573,0.00898294,7.79355,0.000622776,0.000479551,4.88533e-21,6.119e+18,0.116522,1.61438e-13,4.0406e+08,0.000109247,All
1.99646,0.00129895,0.00018001,8.02067,0.000263712,0.000139649,1.52997,0.0526196,0.0233717,8.52116,0.00127352,0.00114847,2.19464e-05,78.487,0.99621,152841,1.41742e-08,0.995068,All
2.11979,0.0026737,0.000416697,8.49822,0.00055135,0.000327344,1.87921,0.0743335,0.0456175,9.24877,0.00232093,0.00242916,4.38928e-05,29.4237,0.997248,305681,5.37356e-09,0.996381,All
2.24311,0.00504089,0.000880178,8.97577,0.00105641,0.000700755,2.22845,0.092469,0.0748694,9.97638,0.0038519,0.00464351,6.58392e-05,16.4889,0.997729,458522,3.03131e-09,0.996994,All
2.36643,0.00880888,0.00171756,9.45332,0.00187631,0.00138638,2.5777,0.106108,0.109679,10.704,0.00591824,0.00816475,8.77856e-05,10.9078,0.998022,611362,2.01478e-09,0.997371,All
2.48976,0.0144082,0.00312818,9.93087,0.00311867,0.00256007,2.92694,0.115322,0.148467,11.4316,0.00852648,0.0133877,0.000109732,7.9062,0.998226,764203,1.46573e-09,0.997633,All
2.61308,0.0222395,0.00536316,10.4084,0.00488981,0.00444927,3.27618,0.120649,0.189776,12.1592,0.0116358,0.0206945,0.000131678,6.07286,0.998378,917043,1.12925e-09,0.99783,All
2.7364,0.0326183,0.00871838,10.886,0.00728124,0.00732922,3.62543,0.122785,0.232367,12.8868,0.0151629,0.0304219,0.000153625,4.85578,0.998497,1.06988e+06,9.05244e-10,0.997984,All
2.85973,0.045725,0.0135207,11.3635,0.0103564,0.0115126,3.97467,0.122423,0.275249,13.6144,0.0189929,0.0428336,0.000175571,3.99874,0.998593,1.22272e+06,7.47127e-10,0.99811,All
2.98305,0.0615703,0.0201091,11.8411,0.0141397,0.0173336,4.32391,0.120183,0.31766,14.342,0.0229909,0.0581016,0.000197518,3.3681,0.998674,1.37557e+06,6.30533e-10,0.998214,All
