Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q2_abscissa,Q2_pdf,V2_abscissa,V2_pdf,Q3_abscissa,Q3_pdf,V3_abscissa,V3_pdf,split
2.49015,0.188886,9.62115,0.00329259,2.71537,0.107732,13.4456,0.0172409,9.05289e-05,5940.61,630467,8.46877e-07,All
2.89982,0,11.9713,0.0197556,5.58845,0.0942658,17.485,0.0287349,0.000271587,0,1.8914e+06,0,All
3.30949,0.169997,14.3214,0.0493889,8.46153,0.0619461,21.5244,0.0574698,0.000452645,0,3.15234e+06,0,All
3.71916,0.0188886,16.6716,0.0625593,11.3346,0.0403996,25.5638,0.0459758,0.000633703,0,4.41327e+06,6.13679e-09,All
4.12883,0,19.0217,0.0921927,14.2077,0.0323197,29.6032,0.0478915,0.000814761,0,5.67421e+06,0,All
4.5385,0.169997,21.3719,0.0526815,17.0808,0.0161599,33.6426,0.0478915,0.000995818,0,6.93514e+06,0,All
4.94817,0.453326,23.7221,0.0954853,19.9539,0.00807993,37.682,0.00574698,0.00117688,0,8.19608e+06,0,All
5.35784,0.339995,26.0722,0.0559741,22.8269,0.00807993,41.7214,0.00766264,0.00135793,0,9.45701e+06,0,All
5.76751,0.339995,28.4224,0.0197556,25.7,0.00538662,45.7608,0,0.00153899,0,1.07179e+07,0,All
6.17718,0.509992,30.7725,0.00329259,28.5731,0,49.8001,0.00574698,0.00172005,0,1.19789e+07,0,All
6.58685,0.434438,33.1227,0.00329259,31.4462,0,53.8395,0.00191566,0.00190111,0,1.32398e+07,0,All
6.99652,0.0188886,35.4728,0.00329259,34.3193,0.00269331,57.8789,0.00191566,0.00208217,42.7382,1.45007e+07,6.13679e-09,All
