iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1575,1,10.2275,43.2233,11.1604,60.344,1,1,1,1,1,1
2,1557.08,1,5.28361,31.2142,13.0086,54.6105,0.974679,0.974679,0.974679,1.05071,0.974679,0.974679
3,1532.27,1,5.2199,31.8675,13.0767,60.5369,0.95,0.95,0.95,1.02411,0.95,0.95
4,1521.43,1,4.99216,32.1657,14.4382,71.1761,0.925945,0.925945,0.925945,0.998178,0.925945,0.925945
5,1513.49,1,5.00002,35.5825,14.0198,74.5014,0.9025,0.9025,0.9025,0.972904,0.9025,0.9025
6,1499.88,1,5.25604,31.2877,10.7814,77.4423,0.879648,0.879648,0.952824,1.0065,0.879648,0.879648
7,1494.19,1,5.0815,30.1464,10.1248,80.297,0.857375,0.857375,0.956418,0.981016,0.857375,0.857375
8,1472.77,1,4.83795,27.8884,10.7506,73.954,0.835666,0.835666,0.932201,1.02558,0.835666,0.835666
9,1481.34,1,4.83555,28.2603,9.52802,84.6432,0.814506,0.814506,1.05341,0.999612,0.814506,0.814506
10,1466.33,1,4.29227,26.9778,9.09631,99.3644,0.793882,0.793882,1.02674,0.974302,0.793882,0.793882
11,1446.34,1,4.45211,27.6749,8.31577,113.616,0.773781,0.773781,1.01161,0.949632,0.773781,0.773781
12,1430.96,1,4.28268,28.6269,7.35922,122.885,0.754188,0.754188,0.986,0.925587,0.754188,0.754188
13,1429.66,1,4.10483,25.0802,7.40172,140.878,0.735092,0.735092,1.13617,0.90215,0.735092,0.735092
14,1425.24,1,4.14422,26.2186,6.73426,132.259,0.716479,0.716479,1.23742,0.879307,0.716479,0.716479
15,1404.86,1,4.39829,25.4246,6.36927,124.233,0.698337,0.698337,1.20609,0.857043,0.698337,0.698337
16,1407.05,1,4.66849,27.0925,6.39762,104.134,0.680655,0.680655,1.20543,0.837336,0.680655,0.680655
17,1382.81,1,4.61282,24.0931,5.99722,112.297,0.66342,0.66342,1.18038,0.816134,0.66342,0.66342
18,1378.59,1,4.68919,23.0229,6.98758,103.796,0.646622,0.646622,1.15049,0.804783,0.646622,0.646622
19,1364.03,1,4.56698,23.3824,5.94217,110.507,0.630249,0.630249,1.12136,0.784406,0.630249,0.630249
20,1341.73,1,4.49974,26.0538,5.21622,114.295,0.614291,0.614291,1.09297,0.781858,0.614291,0.614291
21,1328.57,1,4.75853,27.6671,7.18455,105.094,0.598737,0.598737,1.06529,0.76206,0.598737,0.598737
22,1319.75,1,4.65894,26.7042,6.92058,125.092,0.583577,0.583577,1.03832,0.790176,0.583577,0.583577
23,1310.29,1,4.83641,25.5052,7.04015,114.758,0.5688,0.5688,1.01203,0.874269,0.5688,0.5688
24,1300.96,1,4.58494,27.5227,5.62828,127.765,0.554398,0.554398,0.986403,0.868669,0.554398,0.554398
25,1292.84,1,4.46202,27.5538,4.98781,133.604,0.54036,0.54036,0.961426,0.846674,0.54036,0.54036
26,1276.7,1,4.41912,29.1958,5.36985,148.614,0.526678,0.526678,0.944693,0.825236,0.526678,0.526678
27,1272.16,1,4.44468,28.2188,5.65522,144.363,0.513342,0.513342,0.920772,0.80434,0.513342,0.513342
28,1251.28,1,4.40272,29.9169,5.15712,135.08,0.500344,0.500344,0.897458,0.849388,0.500344,0.500344
29,1242.44,1,4.52916,27.5193,4.94015,137.239,0.487675,0.487675,0.874734,0.827881,0.487675,0.487675
30,1224.78,1,4.41335,28.5758,5.07137,142.378,0.475327,0.475327,0.852585,0.806919,0.475327,0.475327
31,1223.24,1,4.46637,28.1253,5.23421,131.605,0.463291,0.463291,0.830997,0.826369,0.463291,0.463291
