iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1501.65,1,7.8892,3.05437,30.7597,32.5461,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1494.32,1,5.03961,4.48997,31.4521,33.2993,0.974679,0.974679,0.742806,0.998761,1.46202,1.48259,1.46202,1.16962
3,1478.01,1,5.02494,4.77606,29.3181,32.0977,0.95,0.95,0.8553,0.998761,1.425,1.44505,1.425,1.14
4,1466.19,1,4.67882,5.95028,27.9661,30.9086,0.925945,0.925945,0.676697,0.998761,1.38892,1.40846,1.38892,1.11113
5,1455.32,1,4.37106,4.60667,34.6439,36.5563,0.9025,0.9025,0.968528,0.998761,1.35375,1.3728,1.35375,1.083
6,1453.29,1,4.22475,5.19308,39.633,40.8233,0.879648,0.879648,1.08072,0.998761,1.31947,1.47928,1.31947,1.05558
7,1445.61,1,4.22527,6.16009,40.9868,41.6054,0.857375,0.857375,1.03598,0.998761,1.28606,1.50543,1.28606,1.02885
8,1423.58,1,4.81493,5.42568,36.7491,37.7733,0.835666,0.835666,0.604234,0.998761,1.2535,1.50193,1.2535,1.0028
9,1415.31,1,4.92759,4.76786,42.3164,42.4734,0.814506,0.814506,0.599491,0.998761,1.22176,1.4639,1.22176,0.977407
10,1395.96,1,5.48105,4.35278,34.3768,36.1175,0.793882,0.793882,0.41119,0.998761,1.19082,1.42683,1.19082,0.952659
11,1397.29,1,5.11002,4.60379,41.4359,41.7076,0.773781,0.773781,0.715445,0.998761,1.16067,1.3907,1.16067,0.928537
12,1375.33,1,5.07068,4.24406,37.7653,38.6858,0.754188,0.754188,0.628425,0.998761,1.13128,1.35549,1.13128,0.905026
13,1364.44,1,5.11223,6.54193,33.5993,34.9355,0.735092,0.735092,0.631913,0.998761,1.10264,1.32792,1.10264,0.88211
14,1352.15,1,4.87106,5.41225,29.8771,31.741,0.716479,0.716479,0.436154,0.998761,1.07472,1.35918,1.07472,0.859775
15,1342.66,1,5.02025,6.41517,28.7205,30.7183,0.698337,0.698337,0.702438,0.998761,1.04751,1.40978,1.04751,0.838005
16,1341.05,1,4.87967,7.60513,27.1008,29.2729,0.680655,0.680655,0.699325,0.998761,1.02098,1.44818,1.02098,0.816786
17,1326.9,1,5.01605,8.15924,25.7517,28.282,0.66342,0.66342,0.56776,0.998761,0.995131,1.41151,0.995131,0.796105
18,1316.09,1,5.24232,9.88307,27.6509,29.731,0.646622,0.646622,0.437962,0.998761,0.969933,1.37577,0.969933,0.775947
19,1297.37,1,4.95658,11.8781,26.7805,28.8773,0.630249,0.630249,0.682076,0.998761,0.945374,1.34093,0.945374,0.756299
20,1288.31,1,5.20581,10.812,25.4128,27.7717,0.614291,0.614291,0.597074,0.998761,0.921437,1.30698,0.921437,0.737149
21,1274.8,1,5.33121,13.0452,23.0154,25.9298,0.598737,0.598737,0.347838,0.998761,0.898105,1.27389,0.898105,0.718484
22,1264.84,1,5.13276,9.53398,24.6897,27.4193,0.583577,0.583577,0.18679,0.998761,0.875365,1.24163,0.875365,0.700292
23,1251.19,1,5.09524,8.72245,25.2022,28.1799,0.5688,0.5688,0.535522,0.998761,0.8532,1.21019,0.8532,0.68256
24,1230.92,1,5.48441,7.87542,25.2075,28.1028,0.554398,0.554398,0.613591,0.998761,0.831597,1.17955,0.831597,0.665277
25,1228.38,1,5.34465,7.03335,24.9094,27.6832,0.54036,0.54036,0.536889,0.998761,0.81054,1.14968,0.81054,0.648432
26,1215.45,1,5.40576,6.68481,27.3084,29.971,0.526678,0.526678,0.389126,0.998761,0.790017,1.12057,0.790017,0.632013
27,1212.41,1,5.43432,7.28115,29.4455,31.7114,0.513342,0.513342,0.41919,0.998761,0.770013,1.0922,0.770013,0.61601
28,1191.65,1,5.42922,7.03318,27.6209,29.732,0.500344,0.500344,0.488865,0.998761,0.750516,1.06822,0.750516,0.600413
29,1181.81,1,5.49403,7.29157,26.6355,28.6633,0.487675,0.487675,0.423146,0.998761,0.731512,1.04117,0.731512,0.58521
30,1167.89,1,5.48078,7.62242,24.6981,26.8076,0.475327,0.475327,0.453942,0.998761,0.71299,1.01481,0.71299,0.570392
31,1161.11,1,5.46622,7.39841,25.4413,27.3221,0.463291,0.463291,0.396518,0.998761,0.694937,0.989113,0.694937,0.555949
32,1148.13,1,5.40616,6.62112,24.7158,26.6666,0.45156,0.45156,0.539901,0.998761,0.677341,0.964068,0.677341,0.541873
33,1138.85,1,5.23872,6.12962,24.1504,26.0471,0.440127,0.440127,0.565363,0.998761,0.66019,0.939658,0.66019,0.528152
34,1125.4,1,5.167,5.83889,23.4602,25.3933,0.428982,0.428982,0.623927,0.998761,0.643474,0.991905,0.643474,0.514779
35,1121.17,1,5.25567,5.13764,24.2676,26.1882,0.41812,0.41812,0.508363,0.998761,0.627181,1.08381,0.627181,0.501744
36,1098.3,1,5.30146,6.38808,24.0541,26.0178,0.407533,0.407533,0.549782,0.998761,0.6113,1.05636,0.6113,0.48904
37,1102.49,1,5.36756,6.22637,24.0623,25.9505,0.397214,0.397214,0.522172,0.998761,0.595821,1.02962,0.595821,0.476657
38,1082,1,5.39313,5.47404,25.9121,27.5043,0.387157,0.387157,0.500612,0.998761,0.580735,1.00355,0.580735,0.464588
39,1066.32,1,5.41253,6.33613,26.7472,28.3417,0.377354,0.377354,0.618512,0.998761,0.56603,0.978136,0.56603,0.452824
40,1065.95,1,5.44016,5.95175,26.7951,28.4193,0.367799,0.367799,0.41123,0.998761,0.551698,1.03351,0.551698,0.441359
41,1055.4,1,5.49729,5.56789,26.1752,27.9125,0.358486,0.358486,0.406074,0.998761,0.537729,1.00734,0.537729,0.430183
42,1047.93,1,5.38348,5.14136,26.2165,28.0711,0.349409,0.349409,0.518211,0.998761,0.524113,0.98183,0.524113,0.419291
43,1038.09,1,5.41448,6.89805,26.2945,28.0944,0.340562,0.340562,0.462378,0.998761,0.510842,0.99176,0.510842,0.408674
44,1025.64,1,5.54336,7.66497,24.9379,27.0493,0.331938,0.331938,0.433885,0.998761,0.497908,0.966648,0.497908,0.398326
45,1020.75,1,5.4583,7.24477,23.5782,25.7423,0.323534,0.323534,0.391931,0.998761,0.4853,0.942172,0.4853,0.38824
46,1005.24,1,5.36154,6.20906,23.9928,26.1638,0.315341,0.315341,0.498844,0.998761,0.473012,0.918315,0.473012,0.37841
47,993.933,1,5.46001,6.30455,23.9995,26.2165,0.307357,0.307357,0.47556,0.998761,0.461035,0.895063,0.461035,0.368828
48,989.858,1,5.43276,5.5455,24.4713,26.6057,0.299574,0.299574,0.521871,0.998761,0.449362,0.8724,0.449362,0.359489
49,984.751,1,5.33304,5.31185,24.1216,26.3428,0.291989,0.291989,0.552149,0.998761,0.437984,0.85031,0.437984,0.350387
50,975.467,1,5.4302,5.29606,23.6822,26.0462,0.284596,0.284596,0.533094,0.998761,0.426894,0.82878,0.426894,0.341515
51,975.84,1,5.37202,4.52401,23.4483,25.7526,0.27739,0.27739,0.47591,0.998761,0.416084,0.807794,0.416084,0.332867
52,953.699,1,5.3149,4.96294,24.066,26.28,0.270366,0.270366,0.494145,0.998761,0.405549,0.787341,0.405549,0.324439
53,949.133,1,5.27927,5.32447,24.0885,26.3439,0.26352,0.26352,0.529141,0.998761,0.39528,0.767405,0.39528,0.316224
54,941.728,1,5.38489,5.36063,23.3966,25.7879,0.256848,0.256848,0.509482,0.998761,0.385271,0.747974,0.385271,0.308217
55,928.126,1,5.4122,5.20739,24.4562,26.7483,0.250344,0.250344,0.501489,0.998761,0.375516,0.729034,0.375516,0.300413
56,928.374,1,5.43047,5.67069,24.1616,26.4778,0.244005,0.244005,0.473513,0.998761,0.366008,0.710575,0.366008,0.292806
57,922.876,1,5.40961,4.95695,24.5444,26.8875,0.237827,0.237827,0.410913,0.998761,0.35674,0.692583,0.35674,0.285392
58,916.658,1,5.4046,4.87317,25.0611,27.3011,0.231805,0.231805,0.440617,0.998761,0.347707,0.675046,0.347707,0.278166
59,908.259,1,5.34507,5.31809,25.0126,27.2879,0.225936,0.225936,0.439302,0.998761,0.338903,0.657954,0.338903,0.271123
60,896.967,1,5.36495,5.29015,24.3582,26.6895,0.220215,0.220215,0.447362,0.998761,0.330322,0.641294,0.330322,0.264258
61,885.74,1,5.35767,5.35073,24.3172,26.7555,0.214639,0.214639,0.423224,0.998761,0.321958,0.625056,0.321958,0.257567
62,878.687,1,5.35994,5.51639,24.0853,26.5255,0.209204,0.209204,0.436328,0.998761,0.313806,0.609229,0.313806,0.251045
63,889.842,1,5.39592,4.97259,23.7604,26.2182,0.203907,0.203907,0.485602,0.998761,0.30586,0.593803,0.30586,0.244688
64,879.174,1,5.28221,5.08602,23.5529,25.9617,0.205942,0.198744,0.477419,0.998761,0.298116,0.582034,0.298116,0.238493
65,870.868,1,5.35426,5.24014,23.6104,26.0105,0.207327,0.193711,0.479232,0.998761,0.290567,0.567297,0.290567,0.232454
