trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
97.5,1.16897,1.44968,52,1.47585,1.52972,-0.389961,1.15488,1.41444,-0.175891,1.47169,1.51932,0.677083,1.16897,1.44968,97.5,1.88852,1.73107,52,1.55414,1.6517,-0.389961,1.89624,1.75035,-0.175891,1.55078,1.64331,0.677083,1.88852,1.73107,97.5,2.85719,3.05322,52,2.98532,3.00348,-0.389961,2.85202,3.04032,-0.175891,2.98313,2.99802,0.677083,2.85719,3.05322,97.5,3.19546,3.37545,52,3.31084,3.32896,-0.389961,3.19074,3.36365,-0.175891,3.30878,3.32381,0.677083,3.19546,3.37545,All
98.5172,1.27261,1.45382,52.3232,1.50713,1.53321,-0.382795,1.22784,1.41887,-0.171046,1.49659,1.5228,0.684147,1.27261,1.45382,98.5172,1.89052,1.72961,52.3232,1.68969,1.6521,-0.382795,1.89736,1.74865,-0.171046,1.65755,1.64392,0.684147,1.89052,1.72961,98.5172,2.94129,3.05324,52.3232,3.02086,3.0051,-0.382795,2.91084,3.04059,-0.171046,3.01124,2.99965,0.684147,2.94129,3.05324,98.5172,3.27266,3.37546,52.3232,3.34409,3.33047,-0.382795,3.24473,3.3639,-0.171046,3.33508,3.32534,0.684147,3.27266,3.37546,All
99.5343,1.37624,1.45795,52.6465,1.5384,1.5367,-0.375629,1.3008,1.42329,-0.166202,1.52149,1.52628,0.691211,1.37624,1.45795,99.5343,1.89251,1.72814,52.6465,1.82525,1.6525,-0.375629,1.89848,1.74695,-0.166202,1.76432,1.64453,0.691211,1.89251,1.72814,99.5343,3.02539,3.05326,52.6465,3.0564,3.00672,-0.375629,2.96965,3.04086,-0.166202,3.03935,3.00129,0.691211,3.02539,3.05326,99.5343,3.34987,3.37548,52.6465,3.37734,3.33198,-0.375629,3.29872,3.36414,-0.166202,3.36137,3.32686,0.691211,3.34987,3.37548,All
100.552,1.47987,1.46209,52.9697,1.56968,1.54019,-0.368463,1.37376,1.42771,-0.161358,1.5464,1.52976,0.698274,1.47987,1.46209,100.552,1.8945,1.72668,52.9697,1.96081,1.6529,-0.368463,1.8996,1.74525,-0.161358,1.8711,1.64514,0.698274,1.8945,1.72668,100.552,3.1095,3.05328,52.9697,3.09194,3.00835,-0.368463,3.02847,3.04113,-0.161358,3.06745,3.00292,0.698274,3.1095,3.05328,100.552,3.42708,3.37549,52.9697,3.41059,3.33349,-0.368463,3.35271,3.36439,-0.161358,3.38767,3.32839,0.698274,3.42708,3.37549,All
101.569,1.50255,1.46622,53.2929,1.59638,1.54367,-0.361297,1.44672,1.43213,-0.156514,1.57106,1.53323,0.705338,1.50255,1.46622,101.569,1.91045,1.72521,53.2929,1.91996,1.6533,-0.361297,1.90072,1.74355,-0.156514,1.96739,1.64575,0.705338,1.91045,1.72521,101.569,3.10736,3.05329,53.2929,3.1066,3.00997,-0.361297,3.08729,3.0414,-0.156514,3.09435,3.00456,0.705338,3.10736,3.05329,101.569,3.42536,3.3755,53.2929,3.42421,3.335,-0.361297,3.4067,3.36463,-0.156514,3.41283,3.32991,0.705338,3.42536,3.3755,All
102.586,1.51139,1.47036,53.6162,1.6226,1.54716,-0.354131,1.48715,1.43656,-0.15167,1.59254,1.53671,0.712402,1.51139,1.47036,102.586,1.92879,1.72375,53.6162,1.86087,1.65371,-0.354131,1.90781,1.74185,-0.15167,1.91969,1.64636,0.712402,1.92879,1.72375,102.586,3.09047,3.05331,53.6162,3.11909,3.01159,-0.354131,3.11101,3.04167,-0.15167,3.10459,3.0062,0.712402,3.09047,3.05331,102.586,3.41014,3.37551,53.6162,3.43579,3.33651,-0.354131,3.42858,3.36487,-0.15167,3.42232,3.33143,0.712402,3.41014,3.37551,All
103.603,1.52023,1.47449,53.9394,1.64882,1.55065,-0.346966,1.4942,1.44098,-0.146826,1.61402,1.54019,0.719465,1.52023,1.47449,103.603,1.94712,1.72228,53.9394,1.80177,1.65411,-0.346966,1.92102,1.74015,-0.146826,1.87198,1.64697,0.719465,1.94712,1.72228,103.603,3.07359,3.05333,53.9394,3.13158,3.01321,-0.346966,3.09871,3.04194,-0.146826,3.11483,3.00783,0.719465,3.07359,3.05333,103.603,3.39493,3.37552,53.9394,3.44737,3.33802,-0.346966,3.41751,3.36512,-0.146826,3.43181,3.33296,0.719465,3.39493,3.37552,All
104.62,1.52907,1.47863,54.2626,1.67504,1.55414,-0.3398,1.50124,1.4454,-0.141981,1.6355,1.54366,0.726529,1.52907,1.47863,104.62,1.96546,1.72082,54.2626,1.74268,1.65451,-0.3398,1.93424,1.73845,-0.141981,1.82428,1.64758,0.726529,1.96546,1.72082,104.62,3.05671,3.05335,54.2626,3.14407,3.01483,-0.3398,3.08642,3.04221,-0.141981,3.12506,3.00947,0.726529,3.05671,3.05335,104.62,3.37972,3.37554,54.2626,3.45895,3.33953,-0.3398,3.40643,3.36536,-0.141981,3.4413,3.33448,0.726529,3.37972,3.37554,All
105.637,1.53791,1.48277,54.5859,1.70126,1.55762,-0.332634,1.50829,1.44983,-0.137137,1.65698,1.54714,0.733593,1.53791,1.48277,105.637,1.98379,1.71935,54.5859,1.68358,1.65491,-0.332634,1.94746,1.73675,-0.137137,1.77657,1.64819,0.733593,1.98379,1.71935,105.637,3.03983,3.05336,54.5859,3.15657,3.01646,-0.332634,3.07412,3.04248,-0.137137,3.1353,3.0111,0.733593,3.03983,3.05336,105.637,3.36451,3.37555,54.5859,3.47053,3.34104,-0.332634,3.39535,3.3656,-0.137137,3.45079,3.33601,0.733593,3.36451,3.37555,All
106.655,1.54675,1.4869,54.9091,1.72748,1.56111,-0.325468,1.51534,1.45425,-0.132293,1.67846,1.55062,0.740657,1.54675,1.4869,106.655,2.00213,1.71789,54.9091,1.62449,1.65531,-0.325468,1.96067,1.73504,-0.132293,1.72887,1.6488,0.740657,2.00213,1.71789,106.655,3.02294,3.05338,54.9091,3.16906,3.01808,-0.325468,3.06182,3.04275,-0.132293,3.14554,3.01274,0.740657,3.02294,3.05338,106.655,3.3493,3.37556,54.9091,3.48211,3.34255,-0.325468,3.38427,3.36585,-0.132293,3.46029,3.33753,0.740657,3.3493,3.37556,All
