standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.39169,0.0569803,-2.51774,0.0357801,-2.85604,0.0147728,-2.46328,0.0069804,-3.2042,0.0122804,All
-2.2357,0.180438,-2.31072,0.014312,-2.65548,0.0147728,-2.25104,0.0069804,-2.96292,0,All
-2.0797,0.161444,-2.10369,0.0930282,-2.45491,0.0517047,-2.03881,0.069804,-2.72164,0.0184205,All
-1.9237,0.104464,-1.89667,0.100184,-2.25434,0.0886367,-1.82657,0.146589,-2.48037,0.0122804,All
-1.7677,0.151948,-1.68964,0.186056,-2.05377,0.110796,-1.61434,0.17451,-2.23909,0.0614018,All
-1.6117,0.227921,-1.48261,0.14312,-1.8532,0.0960231,-1.4021,0.216393,-1.99782,0.0552616,All
-1.4557,0.066477,-1.27559,0.164588,-1.65263,0.132955,-1.18987,0.195451,-1.75654,0.135084,All
-1.2997,0,-1.06856,0.186056,-1.45206,0.140341,-0.977636,0.146589,-1.51526,0.0859625,All
-1.1437,0,-0.861536,0.1789,-1.25149,0.118182,-0.765402,0.125647,-1.27399,0.184205,All
-0.987702,0.066477,-0.65451,0.135964,-1.05092,0.236365,-0.553167,0.286197,-1.03271,0.147364,All
-0.831702,0.256411,-0.447484,0.157432,-0.850354,0.162501,-0.340933,0.356001,-0.791433,0.288589,All
-0.675703,0.370372,-0.240458,0.379269,-0.649785,0.206819,-0.128699,0.328079,-0.550156,0.356131,All
-0.519704,0.265908,-0.0334322,0.479453,-0.449215,0.295456,0.0835356,0.544472,-0.30888,0.485074,All
-0.363704,0.294398,0.173594,0.415049,-0.248646,0.376706,0.29577,0.52353,-0.0676033,0.423673,All
-0.207705,0.199431,0.38062,0.500921,-0.0480773,0.413638,0.508004,0.425805,0.173673,0.374551,All
-0.051706,0.322889,0.587646,0.579637,0.152492,0.487502,0.720239,0.390903,0.41495,0.380691,All
0.104293,0.702757,0.794672,0.593949,0.353061,0.361933,0.932473,0.34902,0.656226,0.34999,All
0.260293,0.5793,1.0017,0.257617,0.55363,0.443183,1.14471,0.139608,0.897503,0.307009,All
0.416292,0.398862,1.20872,0.0787162,0.754199,0.494888,1.35694,0.139608,1.13878,0.208766,All
0.572291,0.484333,1.41575,0.0787162,0.954768,0.288069,1.56918,0.132628,1.38006,0.135084,All
0.72829,0.379869,1.62278,0.0429361,1.15534,0.221592,1.78141,0.0488628,1.62133,0.0859625,All
0.88429,0.265908,1.8298,0.0787162,1.35591,0.221592,1.99364,0.0488628,1.86261,0.104383,All
1.04029,0.208928,2.03683,0.0572481,1.55648,0.0886367,2.20588,0.0279216,2.10389,0.0491215,All
1.19629,0.265908,2.24385,0.0357801,1.75704,0.0443183,2.41811,0.0209412,2.34516,0.00614018,All
1.35229,0.360875,2.45088,0.00715602,1.95761,0.0517047,2.63035,0.0069804,2.58644,0.00614018,All
1.50829,0.208928,2.65791,0.0214681,2.15818,0,2.84258,0,2.82771,0.0122804,All
1.66429,0.066477,2.86493,0.00715602,2.35875,0.00738639,3.05482,0.0279216,3.06899,0.0122804,All
