standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.46969,0.00142857,-2.62126,0.00142857,-2.95633,0.00142857,-2.56939,0.00142857,-3.32484,0.00142857,All
-2.46032,0.00285714,-2.59337,0.00285714,-2.90366,0.00285714,-2.2856,0.00285714,-3.19976,0.00285714,All
-2.40282,0.00428571,-2.50508,0.00428571,-2.73704,0.00428571,-2.12656,0.00428571,-2.76281,0.00428571,All
-2.3627,0.00571429,-2.48336,0.00571429,-2.62968,0.00571429,-2.08793,0.00571429,-2.6467,0.00571429,All
-2.34299,0.00714286,-2.42493,0.00714286,-2.53428,0.00714286,-2.08292,0.00714286,-2.64542,0.00714286,All
-2.31425,0.00857143,-2.26959,0.00857143,-2.49826,0.00857143,-2.08063,0.00857143,-2.56295,0.00857143,All
-2.2906,0.01,-2.2247,0.01,-2.47185,0.01,-2.05017,0.01,-2.40231,0.01,All
-2.28806,0.0114286,-2.18435,0.0114286,-2.44712,0.0114286,-2.03847,0.0114286,-2.31164,0.0114286,All
-2.28413,0.0128571,-2.1612,0.0128571,-2.43133,0.0128571,-1.99894,0.0128571,-2.28208,0.0128571,All
-2.27108,0.0142857,-2.15543,0.0142857,-2.42395,0.0142857,-1.9755,0.0142857,-2.27969,0.0142857,All
-2.26712,0.0157143,-2.145,0.0157143,-2.41764,0.0157143,-1.97365,0.0157143,-2.25194,0.0157143,All
-2.25469,0.0171429,-2.13824,0.0171429,-2.34827,0.0171429,-1.94577,0.0171429,-2.24289,0.0171429,All
-2.24964,0.0185714,-2.11426,0.0185714,-2.33846,0.0185714,-1.92094,0.0185714,-2.23757,0.0185714,All
-2.24753,0.02,-2.06714,0.02,-2.31235,0.02,-1.91404,0.02,-2.21156,0.02,All
-2.24081,0.0214286,-2.04963,0.0214286,-2.30356,0.0214286,-1.91377,0.0214286,-2.17593,0.0214286,All
-2.23429,0.0228571,-2.03761,0.0228571,-2.21887,0.0228571,-1.9053,0.0228571,-2.17077,0.0228571,All
-2.22401,0.0242857,-2.02214,0.0242857,-2.19495,0.0242857,-1.90396,0.0242857,-2.15887,0.0242857,All
-2.21885,0.0257143,-2.01533,0.0257143,-2.19177,0.0257143,-1.88506,0.0257143,-2.11691,0.0257143,All
-2.21368,0.0271429,-2.01319,0.0271429,-2.18688,0.0271429,-1.87387,0.0271429,-2.109,0.0271429,All
-2.20837,0.0285714,-2.00662,0.0285714,-2.17542,0.0285714,-1.86198,0.0285714,-2.10074,0.0285714,All
-2.19268,0.03,-1.99945,0.03,-2.17418,0.03,-1.84996,0.03,-2.05486,0.03,All
-2.1863,0.0314286,-1.99438,0.0314286,-2.1691,0.0314286,-1.84783,0.0314286,-2.02806,0.0314286,All
-2.18152,0.0328571,-1.97315,0.0328571,-2.16615,0.0328571,-1.84745,0.0328571,-1.99279,0.0328571,All
-2.17507,0.0342857,-1.95128,0.0342857,-2.14806,0.0342857,-1.81951,0.0342857,-1.98304,0.0342857,All
-2.17279,0.0357143,-1.94018,0.0357143,-2.09414,0.0357143,-1.81624,0.0357143,-1.9758,0.0357143,All
