standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-2.95948,0.0107143,-2.62573,0.0108571,-2.19874,0.0107143,All
-2.95705,0.0108571,-2.59654,0.011,-2.1974,0.0108571,All
-2.95599,0.011,-2.59428,0.0111429,-2.1974,0.011,All
-2.95383,0.0111429,-2.59428,0.0112857,-2.18457,0.0111429,All
-2.95238,0.0112857,-2.59253,0.0114286,-2.17877,0.0112857,All
-2.94953,0.0114286,-2.58718,0.0115714,-2.17471,0.0114286,All
-2.94822,0.0115714,-2.57246,0.0117143,-2.1703,0.0115714,All
-2.94654,0.0117143,-2.57215,0.0118571,-2.16357,0.0117143,All
-2.94621,0.0118571,-2.5706,0.012,-2.15804,0.0118571,All
-2.93957,0.012,-2.5706,0.0121429,-2.15548,0.012,All
-2.93657,0.0121429,-2.5536,0.0122857,-2.15432,0.0121429,All
-2.93486,0.0122857,-2.55099,0.0124286,-2.15247,0.0122857,All
-2.93486,0.0124286,-2.54343,0.0125714,-2.15247,0.0124286,All
-2.93114,0.0125714,-2.52929,0.0127143,-2.14098,0.0125714,All
-2.93114,0.0127143,-2.52219,0.0128571,-2.11462,0.0127143,All
-2.92831,0.0128571,-2.51965,0.013,-2.11384,0.0128571,All
-2.92774,0.013,-2.50885,0.0131429,-2.11181,0.013,All
-2.92692,0.0131429,-2.50867,0.0132857,-2.10982,0.0131429,All
-2.92612,0.0132857,-2.50581,0.0134286,-2.10871,0.0132857,All
-2.91953,0.0134286,-2.50441,0.0135714,-2.10761,0.0134286,All
-2.91932,0.0135714,-2.50441,0.0137143,-2.10705,0.0135714,All
-2.91915,0.0137143,-2.50432,0.0138571,-2.10705,0.0137143,All
-2.91905,0.0138571,-2.49574,0.014,-2.10565,0.0138571,All
-2.91787,0.014,-2.4885,0.0141429,-2.09631,0.014,All
-2.91771,0.0141429,-2.48732,0.0142857,-2.09053,0.0141429,All
-2.91508,0.0142857,-2.481,0.0144286,-2.09049,0.0142857,All
-2.91452,0.0144286,-2.47787,0.0145714,-2.08838,0.0144286,All
-2.91357,0.0145714,-2.47606,0.0147143,-2.08775,0.0145714,All
-2.91228,0.0147143,-2.47531,0.0148571,-2.08087,0.0147143,All
-2.9119,0.0148571,-2.46931,0.015,-2.07638,0.0148571,All
-2.9107,0.015,-2.46924,0.0151429,-2.07637,0.015,All
-2.9096,0.0151429,-2.4691,0.0152857,-2.07228,0.0151429,All
-2.90897,0.0152857,-2.46809,0.0154286,-2.06584,0.0152857,All
-2.90829,0.0154286,-2.46381,0.0155714,-2.0652,0.0154286,All
-2.90813,0.0155714,-2.45978,0.0157143,-2.06281,0.0155714,All
-2.90541,0.0157143,-2.45978,0.0158571,-2.06136,0.0157143,All
-2.90136,0.0158571,-2.45848,0.016,-2.06077,0.0158571,All
-2.89882,0.016,-2.45773,0.0161429,-2.05956,0.016,All
-2.89856,0.0161429,-2.4558,0.0162857,-2.05775,0.0161429,All
-2.89565,0.0162857,-2.4558,0.0164286,-2.056,0.0162857,All
-2.89541,0.0164286,-2.4558,0.0165714,-2.05355,0.0164286,All
-2.8945,0.0165714,-2.45295,0.0167143,-2.05328,0.0165714,All
-2.89185,0.0167143,-2.44151,0.0168571,-2.05047,0.0167143,All
-2.89008,0.0168571,-2.43486,0.017,-2.04965,0.0168571,All
-2.88892,0.017,-2.43148,0.0171429,-2.04381,0.017,All
-2.88883,0.0171429,-2.43023,0.0172857,-2.04352,0.0171429,All
-2.88795,0.0172857,-2.41863,0.0174286,-2.04181,0.0172857,All
-2.88696,0.0174286,-2.41435,0.0175714,-2.03778,0.0174286,All
-2.88624,0.0175714,-2.4123,0.0177143,-2.03403,0.0175714,All
-2.88169,0.0177143,-2.40845,0.0178571,-2.02871,0.0177143,All
-2.88169,0.0178571,-2.4019,0.018,-2.02841,0.0178571,All
-2.88095,0.018,-2.40131,0.0181429,-2.02581,0.018,All
-2.8783,0.0181429,-2.39888,0.0182857,-2.02219,0.0181429,All
-2.87767,0.0182857,-2.39879,0.0184286,-2.02065,0.0182857,All
-2.87694,0.0184286,-2.39515,0.0185714,-2.01948,0.0184286,All
-2.87622,0.0185714,-2.39243,0.0187143,-2.01792,0.0185714,All
-2.87604,0.0187143,-2.39065,0.0188571,-2.01696,0.0187143,All
-2.87378,0.0188571,-2.38768,0.019,-2.01211,0.0188571,All
-2.8708,0.019,-2.38699,0.0191429,-2.01211,0.019,All
-2.8708,0.0191429,-2.38215,0.0192857,-2.01071,0.0191429,All
-2.87003,0.0192857,-2.38136,0.0194286,-2.00823,0.0192857,All
-2.86725,0.0194286,-2.38068,0.0195714,-2.00695,0.0194286,All
-2.86674,0.0195714,-2.37905,0.0197143,-2.00672,0.0195714,All
-2.86276,0.0197143,-2.37905,0.0198571,-2.0048,0.0197143,All
-2.8626,0.0198571,-2.36807,0.02,-2.0048,0.0198571,All
-2.86014,0.02,-2.36056,0.0201429,-1.99933,0.02,All
-2.85924,0.0201429,-2.35612,0.0202857,-1.99689,0.0201429,All
-2.85829,0.0202857,-2.35436,0.0204286,-1.99438,0.0202857,All
-2.85726,0.0204286,-2.35436,0.0205714,-1.99235,0.0204286,All
-2.85512,0.0205714,-2.3489,0.0207143,-1.99052,0.0205714,All
-2.84826,0.0207143,-2.34811,0.0208571,-1.98341,0.0207143,All
-2.84726,0.0208571,-2.34768,0.021,-1.98227,0.0208571,All
