iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a,b
1,794.493,1,10.2275,43.2233,11.1604,60.344,1.5,1.5,1.5,1.5,3,0.3
2,789.406,1,8.99103,40.1507,15.4051,80.1009,1.46202,1.46202,1.52946,1.49996,2.85,0.285
3,758.947,1,9.34257,40.9911,18.3063,106.519,1.425,1.425,1.49073,1.5667,2.7075,0.27075
4,756.471,1,9.08194,33.7209,23.3037,113.329,1.38892,1.38892,1.54573,1.52703,2.57212,0.257212
5,746.869,1,8.29177,38.4009,21.224,136.574,1.35375,1.35375,1.50659,1.48836,2.44352,0.244352
6,734.336,1,8.39242,36.154,15.6725,137.906,1.31947,1.31947,1.46844,1.45068,2.32134,0.232134
7,725.995,1,8.78218,37.8799,16.2387,106.673,1.28606,1.28606,1.43126,1.41395,2.20528,0.220528
8,703.993,1,8.55602,37.4076,20.0783,95.7412,1.2535,1.2535,1.39502,1.55843,2.09501,0.209501
9,700.589,1,8.22249,33.9269,15.0229,83.2127,1.22176,1.22176,1.3597,1.67195,1.99026,0.199026
10,698.565,1,8.17933,32.9776,14.8111,102.652,1.19082,1.19082,1.44284,1.62962,1.89075,0.189075
11,689.559,1,8.35814,35.1708,13.6683,98.4204,1.16067,1.16067,1.42888,1.63719,1.79621,0.179621
12,668.47,1,8.62655,39.6028,16.5139,74.026,1.13128,1.13128,1.3927,1.59701,1.7064,0.17064
13,655.083,1,9.16722,33.6913,20.4308,84.7124,1.10264,1.10264,1.35744,1.55657,1.62108,0.162108
14,650.447,1,8.93649,30.6873,20.6952,82.7737,1.07472,1.07472,1.32307,1.51716,1.54003,0.154003
15,633.52,1,8.93237,30.3181,24.1773,82.9103,1.04751,1.04751,1.38568,1.47874,1.46302,0.146302
16,629.146,1,8.5543,34.2276,26.1316,73.0976,1.02098,1.02098,1.3506,1.4413,1.38987,0.138987
17,614.763,1,8.48947,31.6393,24.0749,91.9402,0.995131,0.995131,1.3164,1.40481,1.32038,0.132038
18,611.908,1,8.82704,32.6266,22.5185,81.3695,0.969933,0.969933,1.28307,1.47533,1.25436,0.125436
19,602.261,1,8.73034,32.4461,22.5016,80.3472,0.945374,0.945374,1.25058,1.43797,1.19164,0.119164
20,590.204,1,8.58084,33.5022,22.464,84.011,0.921437,0.921437,1.21892,1.4494,1.13206,0.113206
21,571.445,1,9.10685,31.1307,24.5311,82.053,0.898105,0.898105,1.18805,1.4127,1.07546,0.107546
22,553.609,1,9.33221,32.0575,18.4111,83.5482,0.875365,0.875365,1.15797,1.37693,1.02168,0.102168
23,548.039,1,9.20531,31.9955,17.7315,84.3949,0.8532,0.8532,1.12865,1.34206,0.970601,0.0970601
24,538.212,1,9.04804,31.6105,19.0005,84.9037,0.831597,0.831597,1.10007,1.30808,0.922071,0.0922071
25,532.333,1,9.42534,32.753,19.0514,80.014,0.81054,0.81054,1.0757,1.27496,0.875967,0.0875967
26,522.977,1,9.33662,32.3256,18.0986,85.3084,0.790017,0.790017,1.09541,1.24268,0.832169,0.0832169
27,511.556,1,9.27504,31.259,19.881,92.973,0.770013,0.770013,1.06768,1.21121,0.79056,0.079056
28,491.831,1,9.4515,33.1576,18.5914,84.5016,0.750516,0.750516,1.04064,1.18054,0.751032,0.0751032
29,483.369,1,9.49584,35.0839,19.0785,88.9875,0.731512,0.731512,1.01429,1.15065,0.713481,0.0713481
30,462.99,1,9.46568,34.9554,17.2831,77.09,0.71299,0.71299,0.988612,1.12152,0.677807,0.0677807
31,447.334,1,9.55223,36.2125,15.7159,80.3958,0.694937,0.694937,0.963579,1.09312,0.643916,0.0643916
32,441.813,1,9.59633,34.9189,15.9449,77.4567,0.677341,0.677341,0.939181,1.0715,0.61172,0.061172
33,438.207,1,9.57613,35.3389,16.247,75.1809,0.66019,0.66019,0.9154,1.04437,0.581134,0.0581134
34,435.332,1,9.49104,36.9684,15.8822,78.4338,0.643474,0.643474,0.91483,1.08114,0.552078,0.0552078
35,428.896,1,9.50116,36.6338,16.9195,77.3736,0.627181,0.627181,0.891666,1.1231,0.524474,0.0524474
36,417.613,1,9.53632,35.5833,18.2721,74.0085,0.6113,0.6113,0.869088,1.09467,0.49825,0.049825
37,409.457,1,9.63915,35.3385,16.5125,79.6686,0.595821,0.595821,0.875314,1.06695,0.473338,0.0473338
38,398.128,1,9.71542,35.2934,16.97,78.9073,0.580735,0.580735,0.860476,1.03993,0.449671,0.0449671
39,390.995,1,9.72946,35.728,15.8016,75.2358,0.56603,0.56603,0.886224,1.0136,0.215823,0.055262
40,383.114,1,9.73391,34.6256,16.2818,79.9867,0.551698,0.551698,0.947359,0.987936,0.196404,0.0532145
41,379.732,1,9.7396,35.4495,16.7189,80.5239,0.537729,0.537729,0.939608,0.962921,0.207379,0.0522901
42,372.203,1,9.69343,36.6673,15.9831,75.1018,0.524113,0.524113,0.915816,0.938539,0.189582,0.0522412
43,366.791,1,9.71903,37.1744,15.5844,80.0339,0.510842,0.510842,0.892627,0.914775,0.0997175,0.0586825
44,367.631,1,9.67326,37.2127,15.0161,75.8457,0.497908,0.497908,0.870025,0.922209,0.0840921,0.0603499
45,372.014,1,9.73087,36.6165,15.215,72.043,0.4853,0.4853,0.847996,0.898858,0.131553,0.0582908
46,357.716,1,9.76839,36.9761,14.8897,68.0018,0.473012,0.473012,0.826524,0.892905,0.0906,0.0573581
47,362.362,1,9.78189,37.0386,14.8043,67.1136,0.461035,0.461035,0.824638,0.899635,0.0288981,0.0643101
48,355.966,1,9.75253,38.2328,14.554,71.3907,0.449362,0.449362,0.805833,0.877169,0.0283592,0.0627195
49,344.548,1,9.71623,38.4198,14.5431,76.0354,0.437984,0.437984,0.785429,0.870405,0.0034539,0.0619302
50,339.801,1,9.69279,38.8347,14.4253,74.0691,0.426894,0.426894,0.765541,0.892349,2.22045e-16,0.0610224
51,334.6,1,9.74775,39.1144,13.4132,71.6171,0.416084,0.416084,0.746157,0.889428,2.22045e-16,0.0599208
52,330.78,1,9.78186,39.4664,13.7522,67.7358,0.405549,0.405549,0.727264,0.867348,2.22045e-16,0.0595308
53,335.773,1,9.77145,38.5936,14.1424,71.1571,0.39528,0.39528,0.70885,0.84673,0.0155228,0.0603505
54,331.151,1,9.76137,38.467,13.9009,70.4325,0.385271,0.385271,0.709675,0.84301,0.00352883,0.0596551
55,331.423,1,9.78965,39.4966,13.9226,69.0672,0.375516,0.375516,0.759263,0.851374,2.22045e-16,0.0596742
56,332.151,1,9.7949,39.6715,13.4036,64.4,0.366008,0.366008,0.740038,0.863144,2.22045e-16,0.0603118
57,334.193,1,9.81262,39.1817,13.4298,65.8853,0.35674,0.35674,0.745004,0.841288,2.22045e-16,0.061229
58,335.095,1,9.7233,39.2616,13.1873,67.5207,0.347707,0.347707,0.74387,0.828282,2.22045e-16,0.0609358
