standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.79609,0.00714286,-1.85086,0.00714286,-3.07702,0.00714286,-3.24049,0.00714286,All
-2.77562,0.0142857,-1.83224,0.0142857,-2.96271,0.0142857,-2.22837,0.0142857,All
-2.70776,0.0214286,-1.79543,0.0214286,-2.68776,0.0214286,-2.13417,0.0214286,All
-2.6686,0.0285714,-1.68807,0.0285714,-2.36962,0.0285714,-2.08588,0.0285714,All
-2.65214,0.0357143,-1.63664,0.0357143,-2.22328,0.0357143,-2.00482,0.0357143,All
-2.6214,0.0428571,-1.62943,0.0428571,-2.14396,0.0428571,-1.93501,0.0428571,All
-2.6057,0.05,-1.59361,0.05,-2.0334,0.05,-1.91417,0.05,All
-2.57756,0.0571429,-1.55175,0.0571429,-1.84548,0.0571429,-1.90286,0.0571429,All
-2.57653,0.0642857,-1.52504,0.0642857,-1.58878,0.0642857,-1.79468,0.0642857,All
-2.47564,0.0714286,-1.48977,0.0714286,-1.58484,0.0714286,-1.74926,0.0714286,All
-1.79641,0.0785714,-1.48476,0.0785714,-1.4297,0.0785714,-1.6393,0.0785714,All
-1.68849,0.0857143,-1.39919,0.0857143,-1.36611,0.0857143,-1.51129,0.0857143,All
-1.6562,0.0928571,-1.34619,0.0928571,-1.34524,0.0928571,-1.50792,0.0928571,All
-1.61922,0.1,-1.34142,0.1,-1.30042,0.1,-1.4579,0.1,All
-1.61609,0.107143,-1.28273,0.107143,-1.283,0.107143,-1.43521,0.107143,All
-1.60707,0.114286,-1.24705,0.114286,-1.26819,0.114286,-1.43265,0.114286,All
-1.59764,0.121429,-1.1944,0.121429,-1.23479,0.121429,-1.4286,0.121429,All
-1.59614,0.128571,-1.18411,0.128571,-1.22919,0.128571,-1.39062,0.128571,All
-1.59226,0.135714,-1.16712,0.135714,-1.22335,0.135714,-1.38641,0.135714,All
-1.57781,0.142857,-1.16142,0.142857,-1.1982,0.142857,-1.29504,0.142857,All
-0.622022,0.15,-1.10978,0.15,-1.19307,0.15,-1.28311,0.15,All
-0.583889,0.157143,-1.08024,0.157143,-1.16569,0.157143,-1.27904,0.157143,All
-0.570144,0.164286,-1.07862,0.164286,-1.1277,0.164286,-1.2705,0.164286,All
-0.553611,0.171429,-1.03153,0.171429,-1.12098,0.171429,-1.2179,0.171429,All
-0.535299,0.178571,-0.998824,0.178571,-1.09725,0.178571,-1.19231,0.178571,All
-0.482636,0.185714,-0.880206,0.185714,-1.09514,0.185714,-1.14491,0.185714,All
-0.450612,0.192857,-0.868636,0.192857,-1.07248,0.192857,-1.06518,0.192857,All
-0.436731,0.2,-0.850915,0.2,-1.06646,0.2,-1.05195,0.2,All
-0.377051,0.207143,-0.839158,0.207143,-1.00309,0.207143,-1.04372,0.207143,All
-0.33261,0.214286,-0.814554,0.214286,-0.980085,0.214286,-1.02553,0.214286,All
