rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
0,1,-0.549625,-0.70105,-0.362588,0.0566839,-0.044088,All,#4682B4,0
1,1,-0.583907,-0.621094,-0.589071,0.120461,0.0435621,All,#4682B4,0
2,1,-0.659231,-0.689876,-0.236206,-0.140389,0.358288,All,#4682B4,0
3,1,-0.720448,-0.718148,-0.362003,0.00847418,0.254858,All,#4682B4,0
4,1,-0.618891,-0.658453,-0.506043,0.0535502,0.266216,All,#4682B4,0
5,1,-0.719887,-0.664454,-0.525123,0.327354,0.0259049,All,#4682B4,0
6,1,-0.544374,-0.775653,-0.365264,-0.0680174,0.626041,All,#4682B4,0
7,1,-0.571324,-0.695328,-0.352122,0.0301943,0.421908,All,#4682B4,0
8,1,-0.510785,-0.708425,-0.208818,-0.201061,0.160679,All,#4682B4,0
9,1,-0.558187,-0.666044,-0.333069,-0.129954,0.414822,All,#4682B4,0
0,2,0.0277991,0.208479,0.116184,-0.501309,-0.398692,All,#4682B4,0
1,2,-0.0145601,0.252933,0.124824,-0.49417,0.611357,All,#4682B4,0
2,2,0.0739345,0.266988,-0.102487,-0.029917,-0.66869,All,#4682B4,0
3,2,0.0454123,0.207908,0.193125,-0.0495882,-0.5419,All,#4682B4,0
4,2,0.00579726,0.201863,0.101315,-0.574278,0.817859,All,#4682B4,0
5,2,-0.0245868,0.23798,-0.0873878,0.30693,-0.302695,All,#4682B4,0
6,2,0.0578879,0.288385,0.16412,-0.0227738,0.901109,All,#4682B4,0
7,2,-0.118841,0.212004,0.0104818,-0.21209,-0.505233,All,#4682B4,0
8,2,-0.0812604,0.149197,-0.060838,-0.29584,-0.367931,All,#4682B4,0
9,2,-0.0306058,0.1457,-0.112881,0.386233,-0.464667,All,#4682B4,0
0,3,0.00704823,0.150532,0.0159324,-0.492179,0.518867,All,#4682B4,0
1,3,0.100131,0.235817,0.104464,-0.342469,0.0103038,All,#4682B4,0
2,3,-0.0603798,0.229437,0.0658732,-0.221103,-0.280187,All,#4682B4,0
3,3,0.00609138,0.284813,0.00815897,-0.243105,0.752788,All,#4682B4,0
4,3,0.0854597,0.253489,-0.011055,0.261458,0.0614193,All,#4682B4,0
5,3,0.0915495,0.274343,0.0768535,0.0475148,0.522448,All,#4682B4,0
6,3,0.0053216,0.215988,-0.0394478,0.0921601,0.59062,All,#4682B4,0
7,3,-0.0349089,0.178741,-0.121891,0.111303,-0.41689,All,#4682B4,0
8,3,-0.0091223,0.201374,0.201688,-0.279208,0.448185,All,#4682B4,0
9,3,-0.031522,0.192425,0.137402,0.0375002,-0.378491,All,#4682B4,0
0,4,0.201714,-0.00155515,-0.0808986,0.329619,0.375196,All,#4682B4,0
1,4,0.15667,-0.0575353,-0.069466,0.0535828,0.93246,All,#4682B4,0
2,4,0.159649,-0.0354534,-0.0794055,-0.372726,0.434086,All,#4682B4,0
3,4,0.253955,0.00519096,-0.0465283,-0.121195,0.17045,All,#4682B4,0
4,4,0.140782,-0.00909458,-0.193961,0.264706,-0.0630826,All,#4682B4,0
5,4,0.0387607,-0.0710393,-0.143731,-0.25504,0.124338,All,#4682B4,0
6,4,0.17319,0.00633907,-0.38873,-0.00592796,-0.405031,All,#4682B4,0
7,4,0.211331,0.0249043,-0.323896,0.218219,-0.246816,All,#4682B4,0
8,4,0.203973,0.0160573,-0.0124962,-0.279979,0.81021,All,#4682B4,0
9,4,0.27441,0.0344395,-0.130992,-0.266564,-0.883285,All,#4682B4,0
0,5,-0.067716,-0.132854,0.104715,0.05748,0.0458091,All,#4682B4,0
1,5,-0.0364383,-0.276905,0.168065,-0.417957,1.2897,All,#4682B4,0
2,5,-0.0629632,-0.0839128,-0.00128003,0.0983048,-0.147766,All,#4682B4,0
3,5,0.025394,-0.0747903,-0.103438,0.575418,0.173639,All,#4682B4,0
4,5,0.0102709,0.00283005,-0.0878389,0.0251408,0.495424,All,#4682B4,0
5,5,-0.0624559,-0.101704,-0.0307918,-0.0172798,0.000630122,All,#4682B4,0
6,5,-0.0965418,-0.077244,-0.149733,0.249918,0.324625,All,#4682B4,0
7,5,-0.0480881,-0.0433757,-0.032901,-0.323381,-0.435088,All,#4682B4,0
8,5,-0.187057,-0.133012,-0.0233679,-0.170197,-0.526031,All,#4682B4,0
9,5,-0.0329774,-0.0882687,0.008032,-0.080777,0.783208,All,#4682B4,0
0,6,-0.182302,0.148089,0.414545,-0.441761,-0.799233,All,#4682B4,0
1,6,-0.0108868,0.1515,0.343142,0.816879,-0.0527706,All,#4682B4,0
2,6,0.0553426,0.169159,0.358892,0.490845,0.472172,All,#4682B4,0
3,6,0.0225086,0.151495,0.418531,0.35384,0.057971,All,#4682B4,0
4,6,-0.082416,0.206853,0.408722,0.00334917,0.593474,All,#4682B4,0
5,6,0.045286,0.174795,0.162084,0.506702,-0.399196,All,#4682B4,0
6,6,-0.0257914,0.194089,0.488296,-0.508605,0.871409,All,#4682B4,0
7,6,-0.103161,0.220544,0.470917,0.41328,-0.442359,All,#4682B4,0
8,6,0.109745,0.190014,0.494011,0.0158981,-0.11597,All,#4682B4,0
9,6,0.0177218,0.144447,0.193185,0.494374,0.122831,All,#4682B4,0
0,7,-0.135068,0.0394363,0.213801,0.077295,-1.98745,All,#4682B4,0
1,7,-0.0314865,0.11768,0.159122,-0.195261,-1.64898,All,#4682B4,0
2,7,-0.183547,0.0698417,0.0267988,0.367175,-2.07329,All,#4682B4,0
3,7,-0.0351893,0.12931,0.108177,0.292979,-2.28955,All,#4682B4,0
4,7,-0.0657728,0.13291,0.125393,0.0539021,-2.11372,All,#4682B4,0
5,7,-0.103003,0.131946,0.0440112,-0.185596,-2.08876,All,#4682B4,0
6,7,-0.223142,0.0765267,0.173688,0.177308,-1.73799,All,#4682B4,0
7,7,-0.0670966,0.136647,0.0861545,0.393896,-0.976393,All,#4682B4,0
8,7,-0.116128,0.137944,0.0634583,0.702206,-2.12639,All,#4682B4,0
9,7,-0.220385,0.0900645,0.0789448,-0.142409,-2.1027,All,#4682B4,0
0,8,0.00666649,0.352657,-0.209029,0.244932,0.0367038,All,#4682B4,0
1,8,-0.154366,0.180237,-0.0018059,-0.38415,0.314351,All,#4682B4,0
2,8,-0.14478,0.236609,-0.0731324,-0.430645,-0.0253421,All,#4682B4,0
3,8,-0.0237923,0.310173,-0.00425427,-0.859587,0.315136,All,#4682B4,0
4,8,-0.176123,0.246992,-0.157836,-0.153021,0.363768,All,#4682B4,0
5,8,-0.0942544,0.332087,-0.156286,-0.331706,-0.860229,All,#4682B4,0
6,8,-0.169777,0.329249,-0.133027,-0.0369286,0.0278175,All,#4682B4,0
7,8,-0.257816,0.172479,-0.0365189,-0.391925,0.609671,All,#4682B4,0
8,8,-0.0382161,0.246954,-0.124475,-0.0309148,-0.688275,All,#4682B4,0
9,8,-0.163519,0.190158,-0.177534,-0.381696,0.239019,All,#4682B4,0
0,9,-0.0670222,-0.101558,-0.168928,0.303299,0.742283,All,#4682B4,0
1,9,0.12116,-0.0418261,-0.034042,-0.111997,0.880444,All,#4682B4,0
2,9,-0.0473003,-0.0845537,-0.27707,0.646739,0.20911,All,#4682B4,0
3,9,0.129076,-0.0414682,-0.0776186,0.236764,0.276367,All,#4682B4,0
4,9,0.0663213,-0.0100762,-0.26889,0.216309,0.109524,All,#4682B4,0
5,9,-0.00761898,-0.0801867,0.134943,0.141761,0.603722,All,#4682B4,0
6,9,0.109985,-0.0552069,0.168251,-0.023074,0.676366,All,#4682B4,0
7,9,0.0440827,-0.00567629,0.00191196,0.331871,0.418174,All,#4682B4,0
8,9,0.0424097,-0.0404928,0.0236677,-0.0622174,0.517082,All,#4682B4,0
9,9,0.0652033,-0.0277778,0.00857577,0.163331,0.571221,All,#4682B4,0
0,10,0.033609,-0.434313,-0.295314,-0.226745,0.598261,All,#4682B4,0
1,10,0.0246656,-0.375686,-0.184507,-0.182323,-0.0889437,All,#4682B4,0
2,10,0.0330539,-0.426399,-0.141792,-0.0539645,-0.0964721,All,#4682B4,0
3,10,0.0192727,-0.422461,-0.284203,-0.827282,-0.168131,All,#4682B4,0
4,10,-0.14284,-0.46364,-0.364299,-0.035239,-0.436636,All,#4682B4,0
5,10,-0.0159958,-0.424427,-0.172506,-0.484876,-0.553347,All,#4682B4,0
6,10,0.0550008,-0.460502,-0.141804,-0.491297,0.376471,All,#4682B4,0
7,10,0.0734101,-0.419394,-0.178515,-0.265864,-0.251537,All,#4682B4,0
8,10,0.00677022,-0.43936,-0.146706,-0.617247,0.579354,All,#4682B4,0
9,10,-0.0156787,-0.450352,-0.0604454,-0.510644,0.338221,All,#4682B4,0
0,11,0.16512,0.165428,0.298091,-0.215713,-0.188386,All,#4682B4,0
1,11,0.181098,0.165182,0.159545,-0.476533,-0.330189,All,#4682B4,0
2,11,0.197225,0.220054,0.0388679,0.25246,-0.278975,All,#4682B4,0
3,11,0.182673,0.196207,0.043519,0.226522,-0.27518,All,#4682B4,0
4,11,0.203767,0.187833,0.0489407,0.708259,0.105684,All,#4682B4,0
5,11,0.257788,0.259778,0.187924,0.0277686,-0.37143,All,#4682B4,0
6,11,0.159662,0.138198,0.0493002,0.281628,-0.550233,All,#4682B4,0
7,11,0.399518,0.252349,0.197418,0.576503,-0.306488,All,#4682B4,0
8,11,0.18176,0.264609,0.0775605,0.436197,-0.0217647,All,#4682B4,0
9,11,0.241473,0.240028,0.151892,-0.0960379,0.26858,All,#4682B4,0
0,12,0.137067,-0.0485638,0.0367945,-0.0668899,0.281515,All,#4682B4,0
1,12,0.165837,0.0224703,0.024995,0.270652,-0.349411,All,#4682B4,0
2,12,0.143911,0.0374766,0.0741891,-0.17156,-0.153132,All,#4682B4,0
3,12,0.223356,-0.0804862,0.124735,0.348406,0.67979,All,#4682B4,0
4,12,0.242674,0.0040149,0.0569568,0.72351,0.0288256,All,#4682B4,0
5,12,0.195424,-0.0483497,-0.0190145,0.246353,0.221543,All,#4682B4,0
6,12,0.183461,0.00977854,-0.175256,0.511453,-0.074576,All,#4682B4,0
7,12,0.19047,-0.0172428,0.0725589,0.39272,-0.395956,All,#4682B4,0
8,12,0.141771,-0.0556963,0.0947965,0.331712,0.254379,All,#4682B4,0
9,12,0.20737,-0.0221476,0.160149,0.128965,-0.149645,All,#4682B4,0
0,13,0.286167,0.0279971,0.0431227,0.312165,0.725461,All,#4682B4,0
