pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.45807,0.0515993,-2.77425,0.0129072,-1.78818,0.0234714,All
-0.791878,0.653592,-2.52433,0.0258144,-1.3,0.140828,All
-0.125687,0.515993,-2.27441,0.021512,-0.811814,0.586785,All
0.540503,0.223597,-2.02448,0.0301168,-0.323631,0.492899,All
1.20669,0.0515993,-1.77456,0.0903503,0.164552,0.492899,All
1.87288,0.0515993,-1.52464,0.116165,0.652736,0.211242,All
2.53908,0.0343996,-1.27472,0.193608,1.14092,0.0938855,All
3.20527,0.0343996,-1.02479,0.219422,1.6291,0.0704141,All
3.87146,0.0171998,-0.774869,0.361401,2.11729,0.0469428,All
4.53765,0.0171998,-0.524945,0.365704,2.60547,0.0938855,All
,,-0.275022,0.443147,,,All
,,-0.0250988,0.477566,,,All
,,0.224824,0.464659,,,All
,,0.474748,0.387216,,,All
,,0.724671,0.283958,,,All
,,0.974594,0.21512,,,All
,,1.22452,0.10756,,,All
,,1.47444,0.0989551,,,All
,,1.72436,0.0817455,,,All
,,1.97429,0.0559312,,,All
,,2.22421,0.021512,,,All
,,2.47413,0.00860479,,,All
,,2.72406,0.0043024,,,All
,,2.97398,0.00860479,,,All
,,3.2239,0.0043024,,,All
,,3.47383,0.00860479,,,All
,,3.72375,0.0043024,,,All
,,3.97367,0,,,All
,,4.2236,0.0043024,,,All
,,4.47352,0.0043024,,,All
,,4.72344,0.00860479,,,All
