popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
5.54713,7.18471,5.54713,0.425138,10.6691,2.64737,3.20048,2.64737,-2.47462,7.76936,All
5.74222,7.22663,5.74222,0.620228,10.8642,2.79479,3.37199,2.79479,-2.3272,7.91678,All
5.94417,7.29441,5.94417,0.822179,11.0662,2.95041,3.55305,2.95041,-2.17158,8.0724,All
6.06089,7.3824,6.06089,0.938896,11.1829,3.1147,3.7442,3.1147,-2.00729,8.23669,All
6.15322,7.49154,6.15322,1.03123,11.2752,3.28814,3.94599,3.28814,-1.83385,8.41013,All
6.36963,7.76047,6.36963,1.24764,11.4916,3.38974,4.06419,3.38974,-1.73225,8.51173,All
6.57464,8.01525,6.57464,1.45265,11.6966,3.47124,4.15647,3.47124,-1.65075,8.59323,All
6.59365,8.03886,6.59365,1.47166,11.7156,3.66453,4.37017,3.66453,-1.45746,8.78652,All
6.82554,8.37413,6.82554,1.70355,11.9475,3.86858,4.59213,3.86858,-1.25341,8.99057,All
7.06559,8.73788,7.06559,1.9436,12.1876,4.084,4.81629,4.084,-1.03799,9.20599,All
7.0884,8.77111,7.0884,1.96641,12.2104,4.13211,4.86634,4.13211,-0.989885,9.25409,All
7.31408,9.08964,7.31408,2.19209,12.4361,4.31142,5.05293,4.31142,-0.810574,9.43341,All
7.57132,9.39059,7.57132,2.44933,12.6933,4.55149,5.30275,4.55149,-0.570498,9.67348,All
7.60216,9.42668,7.60216,2.48017,12.7241,4.80494,5.56502,4.80494,-0.317054,9.92693,All
7.8376,9.70213,7.8376,2.71561,12.9596,4.87447,5.63452,4.87447,-0.247518,9.99646,All
8.11324,9.88091,8.11324,2.99125,13.2352,5.07249,5.8304,5.07249,-0.0494966,10.1945,All
8.11592,9.88252,8.11592,2.99393,13.2379,5.35495,6.10613,5.35495,0.232959,10.4769,All
8.39858,10.0519,8.39858,3.27659,13.5206,5.61684,6.3574,5.61684,0.494848,10.7388,All
8.62968,10.1904,8.62968,3.50769,13.7517,5.65313,6.39223,5.65313,0.531143,10.7751,All
8.69395,10.2289,8.69395,3.57196,13.8159,5.96792,6.69022,5.96792,0.845931,11.0899,All
8.99972,10.4122,8.99972,3.87773,14.1217,6.30024,6.99978,6.30024,1.17825,11.4222,All
9.14343,10.4983,9.14343,4.02144,14.2654,6.3592,7.05471,6.3592,1.23721,11.4812,All
9.31623,10.6019,9.31623,4.19424,14.4382,6.65106,7.32286,6.65106,1.52907,11.773,All
9.64388,10.7982,9.64388,4.52189,14.7659,7.02142,7.66156,7.02142,1.89943,12.1434,All
9.65719,10.8062,9.65719,4.5352,14.7792,7.10157,7.73486,7.10157,1.97958,12.2236,All
9.98305,11.0015,9.98305,4.86106,15.105,7.4124,8.01728,7.4124,2.29041,12.5344,All
10.1709,11.0997,10.1709,5.04896,15.2929,7.82515,8.39148,7.82515,2.70316,12.9471,All
10.3341,11.1821,10.3341,5.21216,15.4561,7.84394,8.40851,7.84394,2.72195,12.9659,All
10.6847,11.3889,10.6847,5.56272,15.8067,8.26088,8.78772,8.26088,3.13889,13.3829,All
10.6976,11.3973,10.6976,5.57561,15.8196,8.5863,9.08488,8.5863,3.46431,13.7083,All
11.0738,11.6438,11.0738,5.95183,16.1958,8.72088,9.20777,8.72088,3.59889,13.8429,All
11.1985,11.7255,11.1985,6.07647,16.3205,9.20649,9.65293,9.20649,4.0845,14.3285,All
11.4633,11.9546,11.4633,6.3413,16.5853,9.32867,9.76548,9.32867,4.20668,14.4507,All
11.7122,12.2089,11.7122,6.59023,16.8342,9.71914,10.1267,9.71914,4.59715,14.8411,All
11.8664,12.3664,11.8664,6.74445,16.9884,10.071,10.4539,10.071,4.94905,15.193,All
12.226,12.7337,12.226,7.10399,17.348,10.2603,10.6299,10.2603,5.13835,15.3823,All
12.2838,12.7927,12.2838,7.16179,17.4058,10.8134,11.1478,10.8134,5.69141,15.9354,All
12.7158,13.234,12.7158,7.59381,17.8378,10.8317,11.165,10.8317,5.70969,15.9537,All
12.7397,13.2584,12.7397,7.61775,17.8617,11.4348,11.7348,11.4348,6.31284,16.5568,All
13.163,13.6908,13.163,8.04101,18.285,11.5558,11.8496,11.5558,6.43378,16.6778,All
13.2535,13.7832,13.2535,8.13151,18.3755,12.0716,12.3425,12.0716,6.94957,17.1936,All
13.6259,14.1637,13.6259,8.50395,18.7479,12.2981,12.5596,12.2981,7.17615,17.4201,All
