iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,a,b
1,952.261,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,0,1,0.3
2,942.039,1,4.19867,1.07236,36.3136,6.24041,141.048,1.46202,1.48783,0.99576,0,0.95,0.285
3,919.988,1,4.19972,1.18465,57.1041,6.25859,202.757,1.425,1.45016,0.970547,0,0.9025,0.27075
4,910.534,1,4.15716,0.305888,52.1949,6.38731,266.752,1.38892,1.41344,0.945972,0,0.857375,0.257212
5,903.505,1,3.54689,0.36205,54.2876,7.93353,313.433,1.35375,1.37765,1.01756,0,0.814506,0.244352
6,895.987,1,3.00203,0.243245,68.1588,7.82524,360.448,1.31947,1.34276,1.06173,0,0.773781,0.232134
7,887.044,1,2.54526,0.348271,60.3601,8.29903,410.01,1.28606,1.30877,1.18882,0,0.735092,0.220528
8,874.857,1,2.28507,0.972682,53.1662,8.00881,475.355,1.2535,1.27563,1.15872,0,0.698337,0.209501
9,868.196,1,1.91376,1.02901,56.6895,7.73708,500.608,1.22176,1.24333,1.12938,0,0.66342,0.199026
10,862.738,1,1.65017,0.592768,57.2246,7.39714,539.718,1.19082,1.21185,1.10078,0,0.630249,0.189075
11,842.931,1,1.13053,1.74936,50.6012,7.86886,598.75,1.16067,1.18116,1.07291,0,0.598737,0.179621
12,835.986,1,1.19779,0.639012,46.9796,9.75491,565.07,1.13128,1.15125,1.04575,0,0.5688,0.17064
13,821.402,1,1.1095,0.618265,40.6529,11.854,549.178,1.10264,1.1221,1.01927,0,0.54036,0.162108
14,808.739,1,1.07661,0.131151,34.3138,12.6889,561.191,1.07472,1.09369,0.993458,0,0.513342,0.154003
15,797.842,1,0.942764,-0.230244,36.6673,12.3278,582.235,1.04751,1.066,0.968303,0,0.487675,0.146302
16,793.406,1,1.07224,-0.761602,31.7706,10.1733,582.235,1.02098,1.03901,0.943785,0,0.463291,0.138987
17,781.376,1,0.950258,-0.0669223,28.724,11.0471,548.575,0.995131,1.0127,0.919888,0,0.440127,0.132038
18,766.745,1,0.862875,0.382818,26.8443,12.7949,561.004,0.969933,0.987056,0.896596,0,0.41812,0.125436
19,759.529,1,0.756966,1.52765,23.4653,10.2141,600.449,0.945374,0.962063,0.873894,0,0.397214,0.119164
20,742.012,1,0.789604,1.95462,26.5838,9.60231,578.871,0.921437,0.937703,0.851766,0,0.377354,0.113206
21,729.663,1,0.78089,2.1459,26.9041,9.86112,580.679,0.898105,0.91396,0.830199,0,0.358486,0.107546
22,719.371,1,0.962693,1.85415,24.1284,8.97693,579.772,0.875365,0.890818,0.809178,0,0.340562,0.102168
23,709.996,1,0.975499,1.8482,23.1632,7.24871,594.266,0.8532,0.868262,0.788689,0,0.323534,0.0970601
24,703.621,1,1.06442,1.58463,26.3151,7.8703,575.696,0.831597,0.846277,0.768719,0,0.307357,0.0922071
25,693.958,1,0.951787,1.87745,28.1494,9.19397,564.901,0.811677,0.824849,0.749255,0,0.291989,0.0875967
26,682.984,1,0.930651,2.0082,26.0447,9.52127,548.572,0.791125,0.803963,0.730283,0,0.27739,0.0832169
27,672.394,1,0.959522,2.30001,28.4187,8.7628,576.858,0.771093,0.783606,0.711792,0,0.26352,0.079056
28,656.455,1,0.952702,2.03058,29.1442,9.51963,571.45,0.751569,0.763765,0.693769,0,0.250344,0.0751032
29,647.507,1,0.958101,1.76498,27.8337,9.02205,589.754,0.732538,0.744426,0.676202,0,0.237827,0.0713481
30,637.366,1,1.08629,1.94218,27.1821,7.35221,590.676,0.71399,0.725577,0.659081,0,0.225936,0.0677807
31,622.356,1,1.11102,1.81069,24.6263,7.31147,598.521,0.695911,0.707205,0.642392,0,0.214639,0.0643916
32,609.845,1,1.15102,1.73309,25.2262,7.28231,591.039,0.678291,0.689298,0.626127,0,0.203907,0.061172
33,604.401,1,1.06702,1.68132,25.0671,7.34563,600.967,0.661116,0.671844,0.610273,0,0.193711,0.0581134
34,588.849,1,1.25109,1.58729,25.1358,6.80426,582.656,0.644376,0.654833,0.59482,0,0.184026,0.0552078
35,573.463,1,1.20801,2.07093,26.0887,7.04415,593.808,0.62806,0.638252,0.579759,0,0.174825,0.0524474
36,570.466,1,1.3023,1.87062,25.1537,6.62353,581.747,0.612157,0.622091,0.565079,0,0.166083,0.049825
37,560.517,1,1.25045,1.98275,24.9102,6.36374,570.839,0.597529,0.606339,0.550771,0,0.157779,0.0473338
38,554.482,1,1.28714,1.5168,25.456,6.35188,583.772,0.603557,0.590987,0.536825,0,0.14989,0.0449671
39,538.711,1,1.40263,1.39724,25.3724,5.90332,604.295,0.601911,0.576022,0.523233,0,0.142396,0.0427187
40,530.61,1,1.44095,1.37936,24.8725,5.85617,590.132,0.58667,0.561437,0.509984,0,0.135276,0.0405828
41,505.655,1,1.37509,1.58963,25.0836,5.9542,607.19,0.571816,0.547221,0.497071,0,0.128512,0.0385536
42,498.822,1,1.28661,1.9038,25.6007,5.93143,627.114,0.557337,0.533365,0.484485,0,0.122087,0.036626
43,493.767,1,1.3393,1.75807,25.7869,6.01428,612.416,0.543225,0.51986,0.472217,0,0.115982,0.0347947
44,485.174,1,1.23728,1.6119,25.2508,6.19128,627.726,0.592233,0.506697,0.460261,0,0.110183,0.0330549
45,479.262,1,1.3553,1.46307,25.343,6.20569,600.754,0.577238,0.493867,0.448606,0,0.104674,0.0314022
46,464.124,1,1.3858,1.49157,25.0917,6.25328,588.786,0.562622,0.481362,0.437248,0,0.0994403,0.0298321
47,450.069,1,1.42662,1.28169,23.8272,5.96059,586.831,0.548376,0.469174,0.426176,0,0.0944682,0.0283405
48,448.813,1,1.33896,1.5914,24.4808,5.94412,589.581,0.597565,0.457294,0.415385,0,0.0897448,0.0269234
49,431.732,1,1.30068,1.83747,24.5487,5.98115,594.533,0.618197,0.445715,0.404867,0,0.0852576,0.0255773
50,426.512,1,1.33371,1.7812,23.4484,5.50826,588.495,0.683231,0.434429,0.394616,0,0.0809947,0.0242984
51,422.188,1,1.23994,2.05791,23.0501,5.84389,581.943,0.700642,0.423429,0.384624,0,0.076945,0.0230835
52,409.49,1,1.25043,1.83984,23.3056,6.15312,581.488,0.682902,0.412708,0.374885,0,0.0730977,0.0219293
53,404.464,1,1.26907,1.961,23.451,6.02627,574.901,0.66561,0.402258,0.365393,0,0.0694428,0.0208329
54,397.955,1,1.25026,1.97357,24.5292,6.13696,580.516,0.663919,0.392073,0.356141,0,0.0659707,0.0197912
55,380.073,1,1.25065,2.11339,24.3271,6.10608,575.64,0.717033,0.382145,0.347123,0,0.0626722,0.0188016
56,378.637,1,1.26147,2.13287,24.3265,6.12791,570.918,0.698877,0.372469,0.353338,0,0.0595386,0.0178616
57,379.077,1,1.25977,2.2995,23.8912,6.10326,559.544,0.701808,0.363038,0.35978,0,0.0565616,0.0169685
58,375.66,1,1.31999,2.13935,23.5428,5.99066,555.61,0.684038,0.353846,0.356469,0,0.0537335,0.0161201
59,372.94,1,1.26641,2.19838,23.4875,5.96316,562.989,0.675283,0.344886,0.348073,0,0.0510469,0.0153141
60,367.467,1,1.281,2.03283,23.793,6.06124,559.8,0.70415,0.336153,0.345622,0,0.0393008,0.0183735
61,356.896,1,1.27688,2.02802,23.3668,6.07563,563.19,0.68632,0.327642,0.351289,0,0.0314977,0.0199813
62,355.735,1,1.25287,1.9616,23.4751,6.28611,566.71,0.668942,0.319346,0.350485,0,0.0217952,0.0234963
63,347.288,1,1.25776,2.02051,24.0387,6.16878,569.256,0.659734,0.31126,0.341611,0,0.00198719,0.0300628
64,336.483,1,1.2466,2.19852,24.4966,6.13377,571.368,0.651108,0.303378,0.352989,0,0.00188783,0.0285597
65,337.509,1,1.2595,2.07332,24.5566,6.19455,570.085,0.63893,0.295697,0.346364,0,2.22045e-16,0.0295652
66,343.349,1,1.24984,2.0016,24.1805,6.08318,577.6,0.659158,0.288209,0.337594,0,2.22045e-16,0.0304896
67,344.759,1,1.26169,1.96202,24.2953,6.12101,574.667,0.653665,0.280912,0.329046,0,2.22045e-16,0.0309062
68,349.128,1,1.22069,2.12216,23.6692,6.04103,575.902,0.702207,0.273799,0.342709,0,2.22045e-16,0.0312059
69,346.568,1,1.16198,2.188,23.9735,6.18963,573.202,0.73537,0.266866,0.339644,0,0.00443867,0.0289536
70,341.878,1,1.13773,2.30311,23.4189,6.31859,568.724,0.7551,0.260109,0.345453,0,0.000914311,0.0292985
71,342.811,1,1.11379,2.47108,22.9033,6.23452,566.614,0.765406,0.253523,0.355085,0,0.00940138,0.0259291
72,338.788,1,1.13462,2.23212,23.1083,6.30872,572.368,0.746025,0.247104,0.346094,0,0.00169445,0.0289919
73,337.759,1,1.17935,2.19023,23.8899,6.25021,571.865,0.727136,0.259526,0.337331,0,2.22045e-16,0.0294291
74,339.023,1,1.08153,2.37644,23.3748,6.32352,572.759,0.789079,0.252955,0.347367,0,2.22045e-16,0.0290417
75,333.532,1,1.04708,2.29035,23.2352,6.43199,575.891,0.812172,0.24655,0.346493,0,2.22045e-16,0.0283284
76,334.917,1,1.02223,2.51928,23.1194,6.42124,569.367,0.835569,0.243428,0.354836,0,0.00189762,0.0274036
77,335.173,1,1.0053,2.68751,23.6492,6.41115,573.704,0.870759,0.242633,0.35469,0,0.000176911,0.0279916
78,336.723,1,1.00963,2.75932,23.8566,6.36823,575.273,0.866923,0.236489,0.355208,0.108818,2.22045e-16,0.0286058
79,333.502,1,1.1175,2.39543,23.9393,6.17652,574.15,0.844972,0.241899,0.346214,0.118656,2.22045e-16,0.0284145
80,343.67,1,1.11065,2.51076,24.1689,6.16378,569.832,0.894342,0.254699,0.343563,0.226526,2.22045e-16,0.0292597
81,342.251,1,1.07701,2.5977,23.8771,6.24341,569.498,0.882622,0.24825,0.334864,0.27891,2.22045e-16,0.0294777
82,340.12,1,1.01191,2.78949,23.6906,6.41468,569.554,0.860274,0.241964,0.354032,0.153311,0.000690877,0.0287401
83,339.301,1,1.04931,2.54247,23.4755,6.38616,567.885,0.838491,0.235837,0.359713,0.187969,2.22045e-16,0.0292541
84,338.521,1,1.09695,2.33316,23.8946,6.33645,571.046,0.81726,0.231414,0.381805,0.159823,2.22045e-16,0.0287687
85,342.183,1,1.13397,2.30058,23.9851,6.16345,575.954,0.809833,0.232045,0.372138,0.173852,2.22045e-16,0.0294837
86,344.44,1,1.12408,2.27892,23.6988,6.22296,570.836,0.827069,0.234918,0.371343,0.139951,0.00244481,0.0286816
87,347.746,1,1.12477,2.20463,23.4777,6.1916,568.829,0.822035,0.22897,0.391871,0.154096,0.000646385,0.0297921
88,349.185,1,1.03163,2.55333,23.2951,6.27315,565.94,0.890377,0.223172,0.387647,0.133818,2.22045e-16,0.0302857
89,341.784,1,0.997922,2.77844,23.3757,6.24155,569.256,0.882573,0.217521,0.38727,-0.0370521,2.22045e-16,0.0291388
90,344.268,1,1.04083,2.40999,23.3015,6.08694,570.702,0.888967,0.212014,0.40038,-0.0432926,2.22045e-16,0.0293441
91,342.854,1,1.0334,2.31945,23.3445,6.09546,573.711,0.914781,0.223566,0.398198,-0.022051,2.22045e-16,0.0287883
92,342.166,1,0.999592,2.42349,23.5073,6.11527,584.244,0.952141,0.217905,0.388115,-0.0213539,2.22045e-16,0.0287947
93,340.176,1,1.04576,2.35254,24.0668,6.27767,578.139,0.928032,0.23852,0.378288,-0.00136577,2.22045e-16,0.0287514
94,337.006,1,1.04379,2.41069,23.8241,6.29147,579.043,0.904534,0.232993,0.387801,0.0495332,0.000100667,0.0282204
95,336.3,1,1.04553,2.46505,23.6939,6.24005,580.626,0.881631,0.239098,0.383664,0.0371988,2.22045e-16,0.0281382
96,334.908,1,1.05061,2.46791,23.5548,6.31091,581.306,0.859307,0.233044,0.378605,0.0429075,2.22045e-16,0.0283956
97,338.697,1,1.02346,2.60798,23.4504,6.20554,583.918,0.846575,0.228105,0.376613,0.0785602,2.22045e-16,0.0286621
98,347.83,1,0.99089,2.7451,23.553,6.17868,586.769,0.916118,0.222329,0.367077,0.0228065,2.22045e-16,0.0303223
99,342.48,1,0.982091,2.89884,23.8755,6.3503,583.56,0.892921,0.216699,0.369302,-0.027104,2.22045e-16,0.0294796
100,340.041,1,1.02043,2.65492,23.65,6.18504,590.968,0.870312,0.225298,0.359951,0.00587937,2.22045e-16,0.0291364
101,337.574,1,1.08839,2.30619,24.0517,6.17343,592.757,0.848275,0.229881,0.350837,0.0725478,2.22045e-16,0.0290888
102,341.253,1,1.0575,2.3945,23.7987,6.20953,587.605,0.830668,0.227442,0.341954,0.0468308,2.22045e-16,0.0295886
103,343.907,1,1.08737,2.27533,23.5471,6.14606,585.654,0.811495,0.221683,0.350599,0.130021,2.22045e-16,0.0303982
104,337.407,1,1.04532,2.5669,23.5528,6.26599,579.249,0.843692,0.216069,0.341722,0.119642,2.22045e-16,0.0295543
105,332.347,1,1.09954,2.25441,23.4562,6.21335,578.683,0.822329,0.210598,0.336271,0.0911586,2.22045e-16,0.0290403
106,342.959,1,1.07078,2.15733,23.2498,6.18194,578.118,0.850128,0.229403,0.361088,0.0211281,2.22045e-16,0.0294046
107,339.141,1,1.06289,2.2462,23.1527,6.21627,576.707,0.833949,0.232523,0.351945,0.0920216,2.22045e-16,0.0290924
108,341.656,1,1.04346,2.4058,22.6291,6.2248,569.16,0.830603,0.230995,0.343033,0.133411,0.00209431,0.0289016
109,339.916,1,1.01499,2.61635,23.4473,6.34197,569.605,0.880613,0.235282,0.334347,0.144285,0.00284922,0.0280668
110,342.346,1,0.959096,3.06358,23.3884,6.49863,567.936,0.921691,0.229325,0.325881,0.25958,0.00674494,0.0272999
111,335.198,1,1.00211,3.04864,23.4537,6.32431,572.151,0.898353,0.223518,0.31763,0.255807,0.00198439,0.0288051
112,338.655,1,1.05281,2.86438,23.5649,6.3127,566.172,0.884063,0.228882,0.309587,0.260269,0.0119077,0.0248467
113,334.799,1,1.06519,2.85007,23.2326,6.20186,567.61,0.861919,0.223087,0.301927,0.234098,2.22045e-16,0.0291593
114,344.358,1,1.06679,2.7379,23.683,6.21267,571.213,0.846671,0.241625,0.330116,0.183439,0.00359728,0.02851
115,340.562,1,1.07774,2.75731,24.0709,6.20701,569.539,0.871546,0.235507,0.325643,0.165612,0.0013538,0.0290011
116,346.476,1,1.04543,2.70834,23.8919,6.3068,572.432,0.860698,0.229544,0.3543,0.179501,2.22045e-16,0.0303376
117,354.017,1,1.07323,2.44123,23.495,6.1758,573.997,0.866701,0.231633,0.360841,0.24867,0.00147451,0.0306049
118,344.315,1,1.02039,2.60594,23.5772,6.48405,574.894,0.861871,0.225768,0.351705,0.177778,0.00516521,0.0281442
119,344.895,1,0.985542,2.50265,23.336,6.54663,581.294,0.851017,0.220051,0.364032,0.0694597,0.0175583,0.0230811
120,353.409,1,0.991806,2.45691,23.2441,6.37142,584.246,0.875947,0.225739,0.364133,0.076015,0.0178535,0.0240248
121,360.069,1,1.01315,2.33063,23.3878,6.26306,587.498,0.878756,0.250075,0.370551,-0.0437584,0.0152479,0.0255411
122,347.594,1,0.961195,2.59962,23.4981,6.25054,597.022,0.890062,0.243743,0.361169,0.0301078,0.0144855,0.024264
123,350.269,1,0.979275,2.67771,23.3098,6.23237,593.057,0.867526,0.240498,0.352024,-0.0352624,0.0158798,0.0244774
124,339.306,1,0.999798,2.74901,23.5938,6.1986,595.606,0.845559,0.253396,0.34311,0.0403301,0.00473299,0.0270942
125,345.68,1,0.989514,2.83457,23.4848,6.24342,591.999,0.887656,0.263519,0.334423,0.123148,0.0127277,0.0248257
126,345.636,1,1.05442,2.81004,23.5927,6.13456,587.085,0.86518,0.256846,0.325955,0.158825,0.0020851,0.0296086
127,356.246,1,1.06391,2.8238,24.0215,6.23672,580.32,0.843273,0.258999,0.317701,0.171525,2.22045e-16,0.0321823
128,336.121,1,1.03783,2.71732,23.6667,6.27933,581,0.837608,0.252441,0.316652,0.230016,2.10942e-16,0.0305732
129,339.507,1,1.02164,2.69179,23.4993,6.3564,581.114,0.839075,0.249232,0.308634,0.177757,2.22045e-16,0.0294205
130,341.132,1,1.00932,2.78165,24.2738,6.40736,581.341,0.883006,0.243026,0.317653,0.11295,0.00025445,0.0292794
131,342.568,1,0.97877,2.6919,23.8272,6.46259,582.817,0.890327,0.237167,0.318208,0.235292,2.22045e-16,0.02976
132,345.734,1,0.966,2.69631,23.5653,6.46254,579.174,0.939324,0.231162,0.314089,0.233394,0.00610757,0.0278134
