iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,10.5778,0.0336164,42.5662,0.124055,13.512,0.429934,53.312,0.165025
2,10.5836,0.0312371,42.5336,0.107703,13.7815,0.390779,53.3416,0.143741
3,10.5859,0.0295043,42.5324,0.101202,13.8701,0.375795,53.3742,0.135052
4,10.5871,0.0293466,42.451,0.0992703,13.9248,0.364807,53.2271,0.132224
5,10.587,0.029132,42.346,0.0980345,13.9689,0.351265,53.0453,0.130865
6,10.5914,0.0287706,42.2649,0.0973087,13.9464,0.338206,52.8869,0.129682
7,10.5869,0.0281413,42.1945,0.0966501,13.9827,0.330186,52.77,0.12891
8,10.5908,0.0281798,42.1778,0.0964542,14.0095,0.327209,52.7237,0.128306
9,10.5954,0.028003,42.1665,0.0960792,14.0265,0.319925,52.6792,0.128107
10,10.5989,0.0278786,42.1707,0.0955467,14.0628,0.31688,52.6866,0.127602
11,10.5978,0.0279922,42.1691,0.0957886,14.0645,0.313568,52.6906,0.127635
12,10.5931,0.0283717,42.1769,0.0956939,13.9928,0.315008,52.703,0.127392
13,10.5961,0.0283027,42.1341,0.0958132,14.0448,0.314401,52.6283,0.12758
14,10.596,0.0281117,42.1269,0.0958489,14.0414,0.312081,52.6217,0.127643
15,10.5957,0.0278215,42.1257,0.0955952,14.0472,0.31093,52.6195,0.127301
16,10.5952,0.0275991,42.1366,0.0950747,14.0839,0.310667,52.6372,0.126729
17,10.5949,0.0274581,42.1383,0.0949326,14.0702,0.309477,52.6496,0.126612
18,10.5984,0.0272998,42.131,0.094855,14.126,0.308303,52.6402,0.126533
19,10.5971,0.0270218,42.1277,0.0955944,14.1781,0.308924,52.636,0.127752
20,10.6003,0.026945,42.1441,0.0962867,14.2191,0.30946,52.6717,0.128922
21,10.6016,0.026872,42.1708,0.0968598,14.2305,0.310521,52.7232,0.129786
22,10.6048,0.0268836,42.199,0.097375,14.2755,0.312713,52.7717,0.130456
23,10.6083,0.0269603,42.2258,0.0979149,14.3239,0.314758,52.8144,0.131157
24,10.6109,0.0268723,42.2516,0.0984452,14.3573,0.315758,52.8581,0.131859
25,10.6122,0.0270312,42.2675,0.0988732,14.3658,0.318403,52.8815,0.132329
26,10.6142,0.027017,42.2885,0.099011,14.3568,0.321012,52.9153,0.132591
27,10.6152,0.0270274,42.3082,0.0993781,14.3559,0.322424,52.9458,0.132958
28,10.617,0.0269627,42.3342,0.0997283,14.354,0.323141,52.9826,0.133349
29,10.6194,0.0270103,42.358,0.100137,14.3698,0.324726,53.0239,0.133829
30,10.6208,0.027141,42.3694,0.100451,14.3699,0.325537,53.0411,0.134196
31,10.6218,0.0272105,42.383,0.100775,14.3746,0.325054,53.0567,0.134518
32,10.6216,0.0273391,42.3807,0.10113,14.3652,0.326187,53.0573,0.134875
33,10.622,0.027434,42.3781,0.101195,14.3631,0.326688,53.0547,0.134998
34,10.6216,0.0274338,42.3708,0.101239,14.3288,0.327152,53.045,0.134898
35,10.6209,0.0274529,42.378,0.101307,14.2966,0.327755,53.0478,0.135
36,10.6211,0.0274263,42.3865,0.101429,14.2816,0.327545,53.0558,0.135174
37,10.6205,0.0273495,42.3875,0.101631,14.2834,0.327905,53.0556,0.135457
38,10.6205,0.0273343,42.385,0.101982,14.2899,0.328403,53.0521,0.135947
39,10.6203,0.0273287,42.3777,0.102297,14.2946,0.329171,53.0354,0.136391
40,10.6203,0.0273405,42.3756,0.102553,14.3093,0.330254,53.0317,0.136745
41,10.6207,0.0273409,42.3722,0.102799,14.315,0.331177,53.0217,0.137046
42,10.6222,0.0273244,42.3742,0.102942,14.3183,0.331021,53.0179,0.137232
43,10.6237,0.0273415,42.3794,0.10309,14.3199,0.33078,53.0276,0.137428
44,10.6243,0.0272828,42.3818,0.103242,14.3163,0.33046,53.0338,0.137597
45,10.6254,0.027198,42.386,0.103376,14.3291,0.331684,53.0357,0.137691
46,10.6243,0.0271693,42.3918,0.103504,14.308,0.331941,53.0468,0.13786
47,10.6235,0.0271316,42.3988,0.10382,14.2972,0.332395,53.0577,0.138286
48,10.624,0.0271128,42.4011,0.104192,14.2904,0.332939,53.0582,0.138804
49,10.6246,0.0271313,42.4061,0.104696,14.2913,0.333323,53.0573,0.139451
50,10.6246,0.0272098,42.4097,0.105253,14.3024,0.335533,53.059,0.140067
51,10.6245,0.0273163,42.4116,0.105718,14.3148,0.337783,53.0582,0.140723
52,10.6243,0.0273011,42.4152,0.106079,14.306,0.338198,53.06,0.141309
53,10.6245,0.0273273,42.4132,0.106468,14.306,0.338612,53.0576,0.141897
54,10.6238,0.0272925,42.4119,0.106813,14.3042,0.339058,53.052,0.142356
55,10.6242,0.0272639,42.412,0.107117,14.3031,0.339007,53.0503,0.142762
56,10.6247,0.0272608,42.4106,0.107378,14.3012,0.339049,53.0463,0.143152
57,10.6247,0.0272472,42.4112,0.107638,14.302,0.339533,53.0449,0.143422
58,10.6259,0.0272818,42.4103,0.107905,14.3123,0.33987,53.044,0.143734
59,10.6269,0.0273379,42.4065,0.108144,14.3314,0.340203,53.0359,0.144049
60,10.6269,0.0273407,42.4005,0.108451,14.3509,0.34089,53.0261,0.144423
61,10.6282,0.0273462,42.3964,0.108712,14.3666,0.341752,53.0181,0.144805
62,10.6284,0.0272783,42.3889,0.108968,14.3779,0.342048,53.0086,0.145108
63,10.6285,0.0272134,42.3805,0.109146,14.3927,0.342519,52.9936,0.145341
64,10.6297,0.0272137,42.3693,0.109301,14.4143,0.342817,52.976,0.145536
65,10.631,0.027252,42.3582,0.109418,14.439,0.343533,52.956,0.145641
66,10.6326,0.0272388,42.3482,0.109541,14.4646,0.34362,52.9374,0.145791
67,10.6342,0.0272428,42.3426,0.109678,14.48,0.343749,52.9286,0.145969
68,10.6352,0.0272381,42.3349,0.109792,14.5067,0.344072,52.9127,0.146095
69,10.636,0.0272249,42.327,0.109871,14.5261,0.344155,52.8976,0.146149
70,10.6367,0.0272098,42.3163,0.109833,14.5522,0.34396,52.8803,0.146084
71,10.6375,0.0272027,42.308,0.10981,14.5694,0.343909,52.863,0.14607
72,10.6378,0.0271386,42.302,0.1099,14.5765,0.343809,52.8545,0.146192
73,10.6386,0.0271494,42.298,0.109916,14.5982,0.344112,52.8471,0.146244
74,10.6389,0.0271766,42.2945,0.109939,14.6167,0.34421,52.8361,0.146244
75,10.6393,0.0272115,42.2884,0.109986,14.6338,0.345073,52.8231,0.146283
76,10.64,0.0272595,42.2848,0.110094,14.6389,0.344784,52.8141,0.146424
77,10.6403,0.027227,42.2801,0.110143,14.6409,0.344665,52.8038,0.146444
78,10.6407,0.0272059,42.2788,0.110196,14.6416,0.344669,52.7984,0.146526
79,10.641,0.0271769,42.2783,0.110277,14.6367,0.344365,52.795,0.146677
80,10.6405,0.0271562,42.2755,0.110363,14.6297,0.344346,52.7896,0.146803
81,10.6402,0.0271733,42.2717,0.110551,14.6259,0.344304,52.7823,0.147003
82,10.6403,0.0272142,42.2737,0.11068,14.6281,0.34476,52.7839,0.147159
83,10.6408,0.0272056,42.2766,0.110797,14.6306,0.344973,52.7862,0.147335
84,10.6409,0.027165,42.2785,0.110953,14.6276,0.344974,52.7897,0.147541
85,10.6407,0.0271188,42.2846,0.111164,14.6121,0.344765,52.8005,0.147772
86,10.64,0.0271149,42.2934,0.111301,14.5983,0.345105,52.8149,0.147949
87,10.6391,0.0270738,42.3041,0.111415,14.5861,0.345422,52.8313,0.148106
88,10.6387,0.0270399,42.3126,0.111529,14.58,0.34527,52.8413,0.148204
89,10.6388,0.0270256,42.3192,0.111601,14.5666,0.345508,52.851,0.148273
90,10.6382,0.027048,42.3218,0.111615,14.5577,0.3454,52.855,0.148349
91,10.6377,0.0270203,42.3268,0.111669,14.5469,0.344954,52.8606,0.148416
92,10.6374,0.0270046,42.3292,0.111649,14.5388,0.344341,52.8643,0.148443
93,10.6378,0.0269678,42.3325,0.111627,14.5293,0.344052,52.8675,0.148395
94,10.6382,0.0269487,42.3355,0.111593,14.5194,0.343674,52.8713,0.148311
95,10.6388,0.0269573,42.3404,0.111538,14.5148,0.343932,52.8754,0.148233
96,10.6392,0.0269388,42.3429,0.11153,14.5212,0.344196,52.8765,0.148176
97,10.6391,0.0269278,42.3442,0.11151,14.5174,0.344593,52.88,0.148165
98,10.6396,0.0269709,42.3492,0.111515,14.5117,0.344777,52.8871,0.148148
99,10.6397,0.0269737,42.3549,0.111453,14.5072,0.344588,52.897,0.1481
100,10.6398,0.0269336,42.3604,0.111391,14.5017,0.344704,52.9061,0.148016
101,10.6394,0.0269156,42.3654,0.111339,14.4863,0.344322,52.9133,0.147954
102,10.6385,0.0269192,42.3701,0.111331,14.4774,0.344201,52.9202,0.14793
103,10.6386,0.0269307,42.3738,0.111306,14.4716,0.343705,52.9254,0.147911
104,10.6385,0.0269326,42.3769,0.111271,14.4651,0.343346,52.9304,0.147894
105,10.6385,0.0269556,42.3768,0.11126,14.4619,0.342894,52.9293,0.147877
106,10.6381,0.0269816,42.3761,0.11123,14.4569,0.342886,52.9289,0.147837
107,10.6376,0.0270194,42.3752,0.111164,14.4607,0.343065,52.9276,0.147757
108,10.6371,0.0270642,42.3725,0.11111,14.4567,0.342908,52.9243,0.14765
109,10.6373,0.027091,42.3692,0.111076,14.4616,0.342942,52.9198,0.147571
