iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,omega_Cl,omega_V
1,488.35,1,10.3504,52.1651,3.3422,0.259226,0.181093
2,481.138,1,10.8969,58.5177,3.25373,0.231859,0.161975
3,474.226,1,10.8833,60.838,3.17413,0.234786,0.144875
4,473.4,1,11.0968,62.7446,3.12548,0.254752,0.12958
5,469.804,1,10.9541,62.1274,3.11926,0.23069,0.119669
6,468.015,1,11.0397,62.1294,3.14741,0.241912,0.107035
7,467.897,1,10.8125,62.7068,3.13508,0.240124,0.103737
8,470.384,1,10.8504,63.6991,3.12705,0.245041,0.113069
9,469.144,1,11.0783,62.9352,3.0619,0.257767,0.118803
10,477.72,1,11.2036,63.8748,3.21206,0.246552,0.121504
11,466.007,1,11.0846,63.2542,3.13991,0.240577,0.108677
12,470.67,1,11.1763,62.363,3.17772,0.264752,0.0972035
13,464.023,1,11.0021,62.8136,3.10835,0.256753,0.0895927
14,454.035,1,11.0548,62.3493,3.02679,0.239854,0.0805567
15,452.622,1,10.956,62.072,3.03862,0.239789,0.0745924
16,452.521,1,10.9833,63.0417,3.04974,0.247907,0.070112
17,449.711,1,10.9445,62.4357,3.06628,0.222148,0.0681933
18,455.885,1,11.1634,63.5732,3.11534,0.22924,0.0738898
19,450.801,1,10.953,62.9409,3.10743,0.237849,0.0660891
20,448.845,1,11.0515,62.2865,3.05283,0.249927,0.0605671
21,451.459,1,10.9859,63.1065,3.10248,0.241482,0.0616122
22,454.605,1,10.9354,62.9515,3.156,0.246117,0.0601527
23,445.263,1,11.1937,63.0308,3.07473,0.244083,0.0538022
24,443.522,1,11.1135,62.7532,3.09948,0.23967,0.0481222
25,439.909,1,11.0511,62.6301,3.08651,0.224745,0.0454022
26,441.298,1,11.1145,63.0457,3.07207,0.238981,0.0463344
27,435.166,1,11.1288,62.5502,3.04698,0.233563,0.0414428
28,434.518,1,11.1342,62.6857,3.05739,0.232939,0.0385604
29,437.118,1,10.904,62.5244,3.08028,0.229781,0.0407544
30,437.925,1,10.7848,62.7468,3.08427,0.228545,0.0418005
31,442.156,1,10.6723,63.1481,3.0883,0.231894,0.0474905
32,444.217,1,10.9303,62.8853,3.12657,0.230726,0.0472157
33,442.386,1,11.0033,63.4405,3.12697,0.219805,0.0463832
34,435.839,1,10.8924,63.5282,3.08273,0.22562,0.0414864
35,437.065,1,10.9276,63.683,3.07027,0.227932,0.0419337
36,435.845,1,10.8296,63.0777,3.07686,0.222249,0.0405707
37,438.17,1,10.8091,63.0209,3.14148,0.22331,0.0380459
38,435.913,1,10.9319,63.6497,3.10362,0.233714,0.0364445
39,431.962,1,10.9195,63.3928,3.08394,0.245147,0.032597
40,431.472,1,10.84,63.3309,3.04644,0.241344,0.0342122
41,431.711,1,10.8891,63.4603,3.10765,0.239226,0.0306004
42,437.811,1,10.9798,63.1499,3.16291,0.245867,0.0325616
43,432.014,1,11.1047,63.0816,3.04178,0.248956,0.034171
44,430.637,1,10.857,62.8778,3.05585,0.241734,0.0324601
45,429.418,1,10.7261,62.8748,3.0672,0.229788,0.0318719
46,437.106,1,10.9034,63.1731,3.09825,0.246251,0.0365271
47,437.764,1,10.751,63.3401,3.14328,0.236381,0.0352862
48,439.077,1,10.6809,63.1833,3.15934,0.220173,0.0383383
49,431.738,1,10.842,63.0507,3.04742,0.223741,0.0371749
50,438.053,1,10.8114,63.0052,3.12131,0.22705,0.038946
51,437.847,1,10.9076,62.7825,3.1321,0.222864,0.0384654
52,436.072,1,11.0939,62.6977,3.17366,0.228316,0.0344045
53,432.383,1,10.9179,62.7745,3.12528,0.227044,0.031531
54,427.842,1,10.9656,62.5024,3.07906,0.236649,0.0284898
55,427.514,1,10.8843,63.0115,3.07833,0.236636,0.0282058
56,430.513,1,10.7878,62.965,3.09024,0.24732,0.0292532
57,432.664,1,10.9854,63.3246,3.1713,0.245973,0.0265947
58,422.997,1,10.9008,63.1135,3.02487,0.24784,0.0258443
59,425.813,1,11.116,63.3147,3.04585,0.254469,0.0265453
60,425.782,1,10.8111,63.1811,3.0807,0.233222,0.0267605
61,426.797,1,10.8013,63.2,3.10687,0.230903,0.0264473
62,429.258,1,10.6856,63.4581,3.16347,0.22245,0.0264844
63,434.917,1,10.906,63.265,3.21851,0.211254,0.0303268
64,429.776,1,10.9345,63.3229,3.18102,0.219828,0.0271251
65,430.559,1,10.9969,63.2172,3.13183,0.219457,0.0301291
66,425.411,1,10.9059,62.9991,3.07986,0.24001,0.0269482
67,431.666,1,11.035,63.1494,3.15017,0.24664,0.0267948
