simulations,OFV
500,1112.47
1000,1113.44
1500,1112.53
2000,1111.63
2500,1112.13
3000,1112.53
3500,1112.04
4000,1112.11
4500,1112.18
5000,1112.07
5500,1111.97
6000,1112.06
6500,1111.78
7000,1111.94
7500,1111.9
8000,1112.07
8500,1112.27
9000,1112.02
9500,1111.77
10000,1111.75
10500,1111.57
11000,1111.67
11500,1111.73
12000,1111.64
12500,1111.73
13000,1111.72
13500,1111.55
14000,1111.47
14500,1111.41
15000,1111.39
15500,1111.36
16000,1111.45
16500,1111.24
17000,1111.29
17500,1111.44
18000,1111.36
18500,1111.44
19000,1111.35
19500,1111.29
20000,1111.23
20500,1111.17
21000,1111.09
21500,1111.13
22000,1111.24
22500,1111.26
23000,1111.06
23500,1111.03
24000,1111.04
24500,1111.08
25000,1111.09
25500,1111.05
26000,1111.04
26500,1111.03
27000,1110.95
27500,1110.98
28000,1111.04
28500,1111.01
29000,1111.1
29500,1111.11
30000,1111.15
