fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
0.370331,0,3.67881,0,18.6094,0,4.97893,0,3.87546,0.00714286,All
0.443562,0.00714286,4.64796,0.00714286,24.9485,0.00714286,6.43141,0.00714286,4.04169,0.0142857,All
0.443811,0.0142857,4.92307,0.0142857,26.596,0.0142857,6.64257,0.0142857,4.75797,0.0214286,All
0.471564,0.0214286,4.97117,0.0214286,27.1083,0.0214286,7.82185,0.0214286,4.81863,0.0285714,All
0.490975,0.0285714,5.00797,0.0285714,30.4825,0.0285714,8.19507,0.0285714,4.87204,0.0357143,All
0.508456,0.0357143,5.03671,0.0357143,31.2063,0.0357143,8.55489,0.0357143,4.94043,0.0428571,All
0.514894,0.0428571,5.06424,0.0428571,31.2364,0.0428571,9.11696,0.0428571,5.01745,0.05,All
0.521703,0.05,5.18639,0.05,31.2899,0.05,9.13557,0.05,5.46717,0.0571429,All
0.526189,0.0571429,5.19464,0.0571429,31.3082,0.0571429,9.20246,0.0571429,7.01622,0.0642857,All
0.528959,0.0642857,5.2259,0.0642857,31.6191,0.0642857,9.2684,0.0642857,7.23899,0.0714286,All
0.547028,0.0714286,5.42483,0.0714286,32.2273,0.0714286,9.28686,0.0714286,7.66933,0.0785714,All
0.704487,0.0785714,6.34991,0.0785714,32.5243,0.0785714,9.29506,0.0785714,8.2021,0.0857143,All
0.729342,0.0857143,6.36987,0.0857143,33.4674,0.0857143,9.35493,0.0857143,8.41668,0.0928571,All
0.731356,0.0928571,6.43485,0.0928571,33.8413,0.0928571,9.43331,0.0928571,8.66715,0.1,All
0.756141,0.1,6.50597,0.1,34.0835,0.1,9.7671,0.1,11.1696,0.107143,All
0.7588,0.107143,6.53889,0.107143,34.3635,0.107143,9.87627,0.107143,11.8061,0.114286,All
0.759745,0.114286,6.59085,0.114286,35.0762,0.114286,10.0024,0.114286,15.0265,0.121429,All
0.76399,0.121429,6.60385,0.121429,35.5052,0.121429,10.2662,0.121429,16.4928,0.128571,All
0.764454,0.128571,6.61685,0.128571,36.4833,0.128571,10.3463,0.128571,16.8775,0.135714,All
0.769321,0.135714,6.63718,0.135714,36.491,0.135714,10.3717,0.135714,17.5469,0.142857,All
0.774151,0.142857,6.93371,0.142857,37.0372,0.142857,10.4652,0.142857,17.939,0.15,All
0.781269,0.15,7.6536,0.15,37.389,0.15,10.7867,0.15,19.8057,0.157143,All
0.788015,0.157143,8.83807,0.157143,37.6137,0.157143,10.9034,0.157143,20.0441,0.164286,All
0.788794,0.164286,8.83947,0.164286,37.6507,0.164286,10.9946,0.164286,20.4405,0.171429,All
0.790325,0.171429,9.11915,0.171429,37.7365,0.171429,11.3016,0.171429,22.9396,0.178571,All
0.796492,0.178571,9.12048,0.178571,37.8404,0.178571,11.4562,0.178571,23.0111,0.185714,All
0.805231,0.185714,9.2425,0.185714,37.9761,0.185714,11.4822,0.185714,23.2037,0.192857,All
0.809522,0.192857,9.2769,0.192857,38.0357,0.192857,11.4911,0.192857,23.5748,0.2,All
0.811722,0.2,9.28284,0.2,38.3997,0.2,11.5571,0.2,24.0703,0.207143,All
0.821165,0.207143,9.31471,0.207143,38.4216,0.207143,11.6373,0.207143,25.0668,0.214286,All
0.822316,0.214286,9.3175,0.214286,38.4592,0.214286,11.6455,0.214286,25.6322,0.221429,All
0.822446,0.221429,9.34496,0.221429,38.712,0.221429,11.7722,0.221429,25.7794,0.228571,All
0.827742,0.228571,9.36791,0.228571,38.8294,0.228571,11.8758,0.228571,25.8193,0.235714,All
0.827777,0.235714,9.40312,0.235714,38.9451,0.235714,11.9135,0.235714,26.2935,0.242857,All
0.829672,0.242857,9.53096,0.242857,39.0202,0.242857,12.11,0.242857,26.6071,0.25,All
0.834049,0.25,9.5485,0.25,39.0207,0.25,12.1786,0.25,26.7628,0.257143,All
0.839553,0.257143,9.55318,0.257143,39.2783,0.257143,12.2444,0.257143,26.7763,0.264286,All
0.840523,0.264286,9.61685,0.264286,39.3148,0.264286,12.2888,0.264286,26.8497,0.271429,All
0.851985,0.271429,9.61891,0.271429,39.3642,0.271429,12.4251,0.271429,27.3227,0.278571,All
0.852513,0.278571,9.66688,0.278571,39.4444,0.278571,12.4974,0.278571,27.5164,0.285714,All
0.852576,0.285714,9.68187,0.285714,39.7023,0.285714,12.5396,0.285714,27.6128,0.292857,All
0.853642,0.292857,9.68533,0.292857,39.805,0.292857,12.6188,0.292857,28.129,0.3,All
0.856044,0.3,9.69478,0.3,40.1653,0.3,12.6601,0.3,28.6749,0.307143,All
0.856479,0.307143,9.74376,0.307143,40.5464,0.307143,12.7971,0.307143,29.3626,0.314286,All
0.858258,0.314286,9.81884,0.314286,40.5849,0.314286,12.8146,0.314286,29.4742,0.321429,All
0.859084,0.321429,9.84404,0.321429,40.7507,0.321429,13.0366,0.321429,30.1451,0.328571,All
0.862236,0.328571,9.87428,0.328571,40.7687,0.328571,13.1173,0.328571,30.1817,0.335714,All
0.868873,0.335714,9.92283,0.335714,41.1838,0.335714,13.1757,0.335714,30.2964,0.342857,All
0.869558,0.342857,9.95058,0.342857,41.2024,0.342857,13.2023,0.342857,31.0213,0.35,All
0.877493,0.35,9.9942,0.35,41.4706,0.35,13.3408,0.35,31.1681,0.357143,All
0.879054,0.357143,10.004,0.357143,41.5326,0.357143,13.3848,0.357143,33.0435,0.364286,All
0.880153,0.364286,10.0057,0.364286,41.6069,0.364286,13.4582,0.364286,33.7196,0.371429,All
0.8804,0.371429,10.0212,0.371429,41.794,0.371429,13.5825,0.371429,34.1561,0.378571,All
0.882102,0.378571,10.0383,0.378571,41.9475,0.378571,13.801,0.378571,34.2292,0.385714,All
0.883387,0.385714,10.0797,0.385714,42.311,0.385714,14.0133,0.385714,34.3487,0.392857,All
0.883418,0.392857,10.1171,0.392857,42.3276,0.392857,14.1932,0.392857,34.4133,0.4,All
0.884196,0.4,10.124,0.4,42.7622,0.4,14.2092,0.4,35.5251,0.407143,All
0.888464,0.407143,10.136,0.407143,42.9208,0.407143,14.2758,0.407143,36.2246,0.414286,All
0.889534,0.414286,10.148,0.414286,43.2257,0.414286,14.3941,0.414286,36.4983,0.421429,All
0.890242,0.421429,10.1596,0.421429,43.3525,0.421429,14.4572,0.421429,37.0265,0.428571,All
0.892672,0.428571,10.1946,0.428571,43.46,0.428571,14.5834,0.428571,37.4545,0.435714,All
0.897209,0.435714,10.2588,0.435714,43.5097,0.435714,14.6414,0.435714,37.8428,0.442857,All
0.897494,0.442857,10.3248,0.442857,43.6015,0.442857,14.6661,0.442857,38.1728,0.45,All
0.898498,0.45,10.3428,0.45,43.9264,0.45,14.7297,0.45,38.8951,0.457143,All
0.901805,0.457143,10.3452,0.457143,44.1181,0.457143,14.7444,0.457143,39.0345,0.464286,All
0.903398,0.464286,10.35,0.464286,44.2359,0.464286,14.7814,0.464286,39.9185,0.471429,All
0.904757,0.471429,10.3632,0.471429,44.4066,0.471429,14.8456,0.471429,40.3065,0.478571,All
0.916541,0.478571,10.382,0.478571,44.4706,0.478571,14.8501,0.478571,40.9403,0.485714,All
0.916977,0.485714,10.4491,0.485714,44.7062,0.485714,14.9319,0.485714,41.0187,0.492857,All
0.917247,0.492857,10.4809,0.492857,44.7741,0.492857,15.1024,0.492857,41.0601,0.5,All
0.917774,0.5,10.5015,0.5,44.8443,0.5,15.2431,0.5,41.3848,0.507143,All
