parameter,value
Cl_pop,10.5691637940046
beta_Cl_logtCLCRMLMIN,0.656767638494317
beta_Cl_logtWTKG,0.799589503209193
V1_pop,42.9872615211572
Q_pop,19.2604451259075
beta_Q_ANTU_2,-0.576962339455484
beta_Q_logtAGEA,1.65222133172554
beta_Q_logtCLCRMLMIN,1.34544860122903
beta_Q_logtHCM,1.70607808958918
beta_Q_logtSCRMGDL,0.203452269015347
V2_pop,51.3149569748707
omega_Cl,0.176699895988243
omega_V1,0.243568566915616
omega_Q,0.000197208695506645
omega_V2,0.170671418438961
corr_V2_V1,0.999
a1,0.305429187282779
a2,0.0610105626995412
