rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,split,color,filter
1,1,-0.690027,-0.267194,1.13565,All,#4682B4,0
2,1,-0.732639,-0.0177361,-0.175304,All,#4682B4,0
3,1,-0.690241,-0.0317695,0.860504,All,#4682B4,0
4,1,-0.722114,-0.181899,0.233854,All,#4682B4,0
5,1,-0.714036,-0.173652,0.873851,All,#4682B4,0
6,1,-0.698863,-0.127567,0.32647,All,#4682B4,0
7,1,-0.692158,-0.392873,0.900307,All,#4682B4,0
8,1,-0.707446,-0.370485,0.00593655,All,#4682B4,0
9,1,-0.714816,-0.380134,-0.3427,All,#4682B4,0
10,1,-0.768952,-0.100256,0.392263,All,#4682B4,0
1,2,0.265868,0.201919,-0.111006,All,#4682B4,0
2,2,0.229335,0.161724,-0.298984,All,#4682B4,0
3,2,0.254595,0.00922358,0.0174322,All,#4682B4,0
4,2,0.260912,0.112548,0.127946,All,#4682B4,0
5,2,0.29722,-0.257744,1.08134,All,#4682B4,0
6,2,0.216829,0.159095,-0.388466,All,#4682B4,0
7,2,0.289369,0.0983595,0.488907,All,#4682B4,0
8,2,0.245462,0.0760502,-0.0369187,All,#4682B4,0
9,2,0.253913,0.142703,0.0728039,All,#4682B4,0
10,2,0.284309,0.229284,0.0615623,All,#4682B4,0
1,3,0.20017,0.101165,0.249955,All,#4682B4,0
2,3,0.208223,0.119347,0.0971818,All,#4682B4,0
3,3,0.180829,0.016854,0.454225,All,#4682B4,0
4,3,0.14948,-0.0460577,0.139166,All,#4682B4,0
5,3,0.183776,0.0674644,0.349062,All,#4682B4,0
6,3,0.208153,0.168711,0.374412,All,#4682B4,0
7,3,0.205512,0.165691,0.138714,All,#4682B4,0
8,3,0.180463,0.114726,0.152153,All,#4682B4,0
9,3,0.172016,0.111016,0.161194,All,#4682B4,0
10,3,0.167994,-0.00928244,0.113922,All,#4682B4,0
1,4,-0.0597804,-0.0616904,-0.772795,All,#4682B4,0
2,4,-0.0413269,-0.144658,-0.532707,All,#4682B4,0
3,4,-0.0155149,-0.0271575,-0.793251,All,#4682B4,0
4,4,-0.0261457,-0.0469647,-0.930708,All,#4682B4,0
5,4,-0.0630514,-0.102346,-0.860465,All,#4682B4,0
6,4,-0.0343584,-0.104472,-0.467473,All,#4682B4,0
7,4,-0.039483,-0.0691604,-0.512005,All,#4682B4,0
8,4,-0.0169309,-0.0428169,-0.594406,All,#4682B4,0
9,4,-0.0376472,-0.0138795,-0.651652,All,#4682B4,0
10,4,-0.0300029,-0.0790558,-0.712711,All,#4682B4,0
1,5,-0.0774072,0.00946359,0.914059,All,#4682B4,0
2,5,-0.168632,-0.0489033,0.144648,All,#4682B4,0
3,5,-0.123389,0.0880479,0.383727,All,#4682B4,0
4,5,-0.110999,0.166351,0.118836,All,#4682B4,0
5,5,-0.141541,-0.0104261,0.21908,All,#4682B4,0
6,5,-0.116486,0.188384,0.454772,All,#4682B4,0
7,5,-0.163351,-0.0642729,0.84951,All,#4682B4,0
8,5,-0.0837831,0.179664,0.405918,All,#4682B4,0
9,5,-0.0935595,0.0881792,0.308233,All,#4682B4,0
