Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-0.988947,0.00307309,0.0363327,-0.544577,-0.015859,-0.252197,-0.768952,0.134521,0.149487,-0.544577,-0.564169,-0.4688,-0.768952,-0.103417,-0.211833,-0.988947,-0.0453238,-0.0988843
-0.962612,0.0227892,0.0354797,-0.532252,-0.0135517,-0.246505,-0.758183,0.174964,0.147701,-0.532252,-0.593459,-0.457894,-0.758183,-0.125594,-0.20875,-0.962612,-0.0845273,-0.0960644
-0.936276,0.0367023,0.0346267,-0.519928,-0.0112445,-0.240813,-0.747413,0.215406,0.145914,-0.519928,-0.622748,-0.446988,-0.747413,-0.147772,-0.205668,-0.936276,-0.115047,-0.0932444
-0.909941,0.042618,0.0337737,-0.507603,-0.0155689,-0.235121,-0.736644,0.255848,0.144128,-0.507603,-0.629317,-0.436082,-0.736644,-0.16995,-0.202585,-0.909941,-0.133475,-0.0904245
-0.883606,0.0408377,0.0329206,-0.495278,-0.0230753,-0.229429,-0.725875,0.286463,0.142341,-0.495278,-0.624985,-0.425175,-0.725875,-0.18919,-0.199503,-0.883606,-0.140104,-0.0876046
-0.857271,0.0344665,0.0320676,-0.482954,-0.0305816,-0.223737,-0.715105,0.307718,0.140554,-0.482954,-0.620653,-0.414269,-0.715105,-0.205602,-0.19642,-0.857271,-0.139482,-0.0847846
-0.830935,0.0247596,0.0312146,-0.470629,-0.0380879,-0.218044,-0.704336,0.321615,0.138768,-0.470629,-0.616321,-0.403363,-0.704336,-0.21972,-0.193338,-0.830935,-0.13332,-0.0819647
-0.8046,0.0140814,0.0303615,-0.458304,-0.046602,-0.212352,-0.693566,0.330211,0.136981,-0.458304,-0.608318,-0.392457,-0.693566,-0.232151,-0.190255,-0.8046,-0.125203,-0.0791447
-0.778265,0.0032488,0.0295085,-0.44598,-0.0601296,-0.20666,-0.682797,0.314164,0.135195,-0.44598,-0.581983,-0.381551,-0.682797,-0.234071,-0.187173,-0.778265,-0.116071,-0.0763248
-0.751929,-0.00589571,0.0286555,-0.433655,-0.0760153,-0.200968,-0.672028,0.287741,0.133408,-0.433655,-0.545828,-0.370644,-0.672028,-0.231393,-0.18409,-0.751929,-0.108578,-0.0735049
-0.725594,-0.0118034,0.0278025,-0.421331,-0.0919011,-0.195276,-0.661258,0.261319,0.131622,-0.421331,-0.509673,-0.359738,-0.661258,-0.228715,-0.181008,-0.725594,-0.104729,-0.0706849
-0.699259,-0.0163288,0.0269494,-0.409006,-0.108162,-0.189584,-0.650489,0.234897,0.129835,-0.409006,-0.471589,-0.348832,-0.650489,-0.226037,-0.177926,-0.699259,-0.102332,-0.067865
-0.672924,-0.0180858,0.0260964,-0.396681,-0.125638,-0.183891,-0.639719,0.208475,0.128048,-0.396681,-0.427266,-0.337926,-0.639719,-0.223359,-0.174843,-0.672924,-0.102649,-0.065045
-0.646588,-0.0180748,0.0252434,-0.384357,-0.14329,-0.178199,-0.62895,0.182053,0.126262,-0.384357,-0.380948,-0.32702,-0.62895,-0.220681,-0.171761,-0.646588,-0.104348,-0.0622251
-0.620253,-0.0165884,0.0243903,-0.372032,-0.160953,-0.172507,-0.61818,0.155631,0.124475,-0.372032,-0.332988,-0.316113,-0.61818,-0.218003,-0.168678,-0.620253,-0.106782,-0.0594052
-0.593918,-0.0141439,0.0235373,-0.359707,-0.178198,-0.166815,-0.607411,0.129209,0.122689,-0.359707,-0.284177,-0.305207,-0.607411,-0.215325,-0.165596,-0.593918,-0.109269,-0.0565852
-0.567582,-0.0110006,0.0226843,-0.347383,-0.191653,-0.161123,-0.596642,0.102787,0.120902,-0.347383,-0.241223,-0.294301,-0.596642,-0.212647,-0.162513,-0.567582,-0.110995,-0.0537653
-0.541247,-0.00764946,0.0218313,-0.335058,-0.203285,-0.155431,-0.585872,0.0763646,0.119116,-0.335058,-0.201176,-0.283395,-0.585872,-0.209969,-0.159431,-0.541247,-0.111548,-0.0509454
-0.514912,-0.00438995,0.0209782,-0.322733,-0.214917,-0.149739,-0.575103,0.0499425,0.117329,-0.322733,-0.161129,-0.272489,-0.575103,-0.20729,-0.156348,-0.514912,-0.110203,-0.0481254
-0.488577,-0.00169498,0.0201252,-0.310409,-0.22655,-0.144046,-0.564333,0.0235204,0.115542,-0.310409,-0.121082,-0.261583,-0.564333,-0.204612,-0.153266,-0.488577,-0.105896,-0.0453055
-0.462241,0.000176852,0.0192722,-0.298084,-0.238182,-0.138354,-0.553564,-0.0029017,0.113756,-0.298084,-0.0810354,-0.250676,-0.553564,-0.201934,-0.150183,-0.462241,-0.0983562,-0.0424855
-0.435906,0.000969388,0.0184192,-0.285759,-0.249814,-0.132662,-0.542795,-0.0293238,0.111969,-0.285759,-0.0409885,-0.23977,-0.542795,-0.199256,-0.147101,-0.435906,-0.0865138,-0.0396656
-0.409571,0.00176192,0.0175661,-0.273435,-0.261446,-0.12697,-0.532025,-0.0557459,0.110183,-0.273435,-0.000941529,-0.228864,-0.532025,-0.196578,-0.144018,-0.409571,-0.0746714,-0.0368457
-0.383235,0.00228258,0.0167131,-0.26111,-0.268916,-0.121278,-0.521256,-0.082168,0.108396,-0.26111,0.0304329,-0.217958,-0.521256,-0.1939,-0.140936,-0.383235,-0.0614172,-0.0340257
-0.3569,0.00244806,0.0158601,-0.248785,-0.269573,-0.115586,-0.510486,-0.10859,0.10661,-0.248785,0.047066,-0.207052,-0.510486,-0.191222,-0.137853,-0.3569,-0.0455164,-0.0312058
-0.330565,0.00283237,0.015007,-0.236461,-0.264548,-0.109893,-0.499717,-0.135012,0.104823,-0.236461,0.0506948,-0.196145,-0.499717,-0.188544,-0.134771,-0.330565,-0.0291316,-0.0283858
-0.30423,0.00343787,0.014154,-0.224136,-0.257933,-0.104201,-0.488947,-0.161434,0.103036,-0.224136,0.0506904,-0.185239,-0.488947,-0.185866,-0.131688,-0.30423,-0.0125987,-0.0255659
-0.277894,0.0046762,0.013301,-0.211811,-0.251319,-0.098509,-0.478178,-0.187856,0.10125,-0.211811,0.0506859,-0.174333,-0.478178,-0.183188,-0.128606,-0.277894,0.00342132,-0.022746
-0.251559,0.00694152,0.012448,-0.199487,-0.243501,-0.0928169,-0.467409,-0.214279,0.0994634,-0.199487,0.0480871,-0.163427,-0.467409,-0.18051,-0.125523,-0.251559,0.0180811,-0.019926
-0.225224,0.01013,0.0115949,-0.187162,-0.230851,-0.0871247,-0.456639,-0.240701,0.0976768,-0.187162,0.0353518,-0.152521,-0.456639,-0.177832,-0.122441,-0.225224,0.0312431,-0.0171061
