pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.99454,0.0277235,-3.43881,0.00370937,-1.7429,0.104281,All
-1.58123,0.110894,-3.32488,0.00185468,-1.30339,0.364985,All
-1.16792,0.304958,-3.21094,0.00370937,-0.86387,0.495337,All
-0.754615,0.471299,-3.09701,0.00370937,-0.424354,0.364985,All
-0.341307,0.360405,-2.98308,0,0.0151619,0.286774,All
0.0720013,0.471299,-2.86914,0.00927342,0.454678,0.338915,All
0.485309,0.55447,-2.75521,0.0241109,0.894193,0.260704,All
0.898617,0.277235,-2.64128,0.0204015,1.33371,0.104281,All
1.31193,0.055447,-2.52735,0.0222562,1.77322,0.104281,All
1.72523,0.0277235,-2.41341,0.0259656,2.21274,0.0782111,All
,,-2.29948,0.0315296,,,All
,,-2.18555,0.0445124,,,All
,,-2.07161,0.0482218,,,All
,,-1.95768,0.0370937,,,All
,,-1.84375,0.0574952,,,All
,,-1.72982,0.0593499,,,All
,,-1.61588,0.109426,,,All
,,-1.50195,0.129828,,,All
,,-1.38802,0.133537,,,All
,,-1.27408,0.163212,,,All
,,-1.16015,0.191032,,,All
,,-1.04622,0.285621,,,All
,,-0.932286,0.280057,,,All
,,-0.818353,0.409885,,,All
,,-0.70442,0.426577,,,All
,,-0.590487,0.495201,,,All
,,-0.476554,0.489637,,,All
,,-0.362621,0.513747,,,All
,,-0.248688,0.554551,,,All
,,-0.134755,0.448834,,,All
,,-0.0208225,0.456252,,,All
,,0.0931104,0.459962,,,All
,,0.207043,0.402466,,,All
,,0.320976,0.367227,,,All
,,0.434909,0.32457,,,All
,,0.548842,0.280057,,,All
,,0.662775,0.246673,,,All
,,0.776708,0.191032,,,All
,,0.890641,0.200306,,,All
,,1.00457,0.129828,,,All
,,1.11851,0.137247,,,All
,,1.23244,0.100153,,,All
,,1.34637,0.107572,,,All
,,1.46031,0.070478,,,All
,,1.57424,0.0593499,,,All
,,1.68817,0.035239,,,All
,,1.8021,0.0241109,,,All
,,1.91604,0.0166922,,,All
,,2.02997,0.00927342,,,All
,,2.1439,0.0241109,,,All
,,2.25784,0.0166922,,,All
,,2.37177,0.0222562,,,All
,,2.4857,0.00927342,,,All
,,2.59963,0.0204015,,,All
,,2.71357,0.0185468,,,All
,,2.8275,0.0111281,,,All
,,2.94143,0.0148375,,,All
,,3.05537,0.0129828,,,All
,,3.1693,0.0129828,,,All
,,3.28323,0.0129828,,,All
,,3.39716,0.0129828,,,All
,,3.5111,0.0129828,,,All
,,3.62503,0.00927342,,,All
,,3.73896,0.0166922,,,All
,,3.8529,0.0111281,,,All
,,3.96683,0.00370937,,,All
,,4.08076,0.00927342,,,All
,,4.19469,0,,,All
,,4.30863,0.00370937,,,All
,,4.42256,0.00370937,,,All
