standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.36604,0.00714286,-2.40009,0.00714286,-2.02474,0.00714286,All
-2.19048,0.0142857,-2.25823,0.0142857,-1.92348,0.0142857,All
-2.1006,0.0214286,-2.20243,0.0214286,-1.56049,0.0214286,All
-2.07099,0.0285714,-2.13431,0.0285714,-1.45296,0.0285714,All
-2.01158,0.0357143,-2.10717,0.0357143,-1.44239,0.0357143,All
-1.97197,0.0428571,-2.00804,0.0428571,-1.39983,0.0428571,All
-1.91173,0.05,-1.97512,0.05,-1.39557,0.05,All
-1.83149,0.0571429,-1.94618,0.0571429,-1.35005,0.0571429,All
-1.81571,0.0642857,-1.90643,0.0642857,-1.33771,0.0642857,All
-1.60655,0.0714286,-1.86412,0.0714286,-1.29845,0.0714286,All
-1.54685,0.0785714,-1.82595,0.0785714,-1.27529,0.0785714,All
-1.32891,0.0857143,-1.78718,0.0857143,-1.26545,0.0857143,All
-1.13609,0.0928571,-1.76043,0.0928571,-1.25588,0.0928571,All
-1.1202,0.1,-1.73643,0.1,-1.25512,0.1,All
-0.960103,0.107143,-1.54302,0.107143,-1.25446,0.107143,All
-0.927602,0.114286,-1.53642,0.114286,-1.25068,0.114286,All
-0.874144,0.121429,-1.47693,0.121429,-1.21161,0.121429,All
-0.848512,0.128571,-1.37485,0.128571,-1.20661,0.128571,All
-0.806575,0.135714,-1.14732,0.135714,-1.19367,0.135714,All
-0.805855,0.142857,-1.08361,0.142857,-1.18977,0.142857,All
-0.77947,0.15,-1.06664,0.15,-1.18532,0.15,All
-0.721105,0.157143,-1.01927,0.157143,-1.14153,0.157143,All
-0.675591,0.164286,-0.905911,0.164286,-1.09889,0.164286,All
-0.608946,0.171429,-0.823947,0.171429,-1.08088,0.171429,All
-0.604506,0.178571,-0.799251,0.178571,-1.07584,0.178571,All
-0.601641,0.185714,-0.759348,0.185714,-1.06928,0.185714,All
-0.600984,0.192857,-0.756826,0.192857,-1.05792,0.192857,All
-0.584017,0.2,-0.70393,0.2,-1.05488,0.2,All
-0.579769,0.207143,-0.69202,0.207143,-1.05031,0.207143,All
-0.578475,0.214286,-0.68607,0.214286,-1.00437,0.214286,All
-0.575519,0.221429,-0.674103,0.221429,-0.984621,0.221429,All
-0.57548,0.228571,-0.665295,0.228571,-0.967723,0.228571,All
-0.559215,0.235714,-0.638109,0.235714,-0.904549,0.235714,All
-0.534769,0.242857,-0.636218,0.242857,-0.891718,0.242857,All
-0.528532,0.25,-0.538957,0.25,-0.84003,0.25,All
-0.517689,0.257143,-0.535172,0.257143,-0.826138,0.257143,All
-0.506313,0.264286,-0.480202,0.264286,-0.774382,0.264286,All
-0.501146,0.271429,-0.468768,0.271429,-0.758325,0.271429,All
-0.498153,0.278571,-0.442723,0.278571,-0.730094,0.278571,All
-0.497599,0.285714,-0.413729,0.285714,-0.683874,0.285714,All
-0.475689,0.292857,-0.323787,0.292857,-0.681381,0.292857,All
-0.460502,0.3,-0.306327,0.3,-0.468276,0.3,All
-0.457434,0.307143,-0.306083,0.307143,-0.446323,0.307143,All
-0.453941,0.314286,-0.282045,0.314286,-0.43182,0.314286,All
-0.4521,0.321429,-0.269115,0.321429,-0.429373,0.321429,All
-0.418155,0.328571,-0.265314,0.328571,-0.408929,0.328571,All
-0.397717,0.335714,-0.258838,0.335714,-0.388494,0.335714,All
-0.387361,0.342857,-0.246902,0.342857,-0.372582,0.342857,All
-0.386114,0.35,-0.238815,0.35,-0.371349,0.35,All
-0.382481,0.357143,-0.232789,0.357143,-0.340329,0.357143,All
-0.355966,0.364286,-0.17161,0.364286,-0.337172,0.364286,All
-0.355846,0.371429,-0.169391,0.371429,-0.320984,0.371429,All
-0.354474,0.378571,-0.155984,0.378571,-0.312247,0.378571,All
-0.33623,0.385714,-0.149543,0.385714,-0.311878,0.385714,All
-0.331272,0.392857,-0.140152,0.392857,-0.289633,0.392857,All
-0.321926,0.4,-0.0691079,0.4,-0.263183,0.4,All
