standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-2.08898,0.125682,-2.17005,0.134553,-1.82367,0.0384839,All
-1.53486,0.041894,-1.70998,0.134553,-1.42152,0.269387,All
-0.980736,0.139647,-1.2499,0.0840959,-1.01937,0.384839,All
-0.426616,0.572551,-0.789824,0.218649,-0.617227,0.173177,All
0.127505,0.167576,-0.329748,0.353203,-0.21508,0.558016,All
0.681625,0.237399,0.130327,0.470937,0.187068,0.423322,All
1.23574,0.335152,0.590403,0.555033,0.589215,0.307871,All
1.78986,0.18154,1.05048,0.336384,0.991363,0.211661,All
2.34399,0,1.51055,0.0168192,1.39351,0.0577258,All
2.89811,0.0698233,1.97063,0.0336384,1.79566,0.192419,All
3.45223,0.0558586,2.43071,0,2.19781,0.0384839,All
4.00635,0.0279293,2.89078,0.0168192,2.59995,0.0384839,All
