DD,II,Tinf,CLCR,MIC
1500,12,2,100,1.0505050505050515
2500,12,2,100,0.0404040404040376
1500,12,2,100,-0.8686868686868698
4000,12,2,130,0.8484848484848493
2500,12,4,110,-3.3939393939393945
4000,8,4,90,0.34343434343434387
1500,8,2,110,2.06060606060606
2500,8,4,130,3.3737373737373764
2000,12,2,130,0.6464646464646426
1000,8,4,90,1.9595959595959591
1500,6,4,120,2.1616161616161618
2500,24,24,90,-2.1818181818181834
2000,12,4,120,-1.6767676767676751
3500,6,2,100,-0.16161616161616116
2500,12,4,90,5.696969696969699
3000,6,2,130,0.8484848484848493
2000,6,2,150,4.383838383838384
1000,6,4,110,-2.7878787878787845
1500,8,2,100,-3.191919191919188
2500,6,2,100,-1.8787878787878778
4000,12,2,90,-1.6767676767676751
3500,12,2,150,-0.7676767676767665
2500,6,4,120,-1.5757575757575772
3000,8,2,120,-3.494949494949495
2500,8,4,100,3.9797979797979814
2500,6,2,90,0.34343434343434387
2000,24,24,110,5.19191919191919
1000,8,2,90,1.7575757575757585
1500,6,4,100,1.7575757575757585
4000,24,24,130,4.787878787878786
1000,6,2,100,1.2525252525252542
3500,12,2,100,6.0
1500,12,4,130,1.7575757575757585
1500,12,2,150,0.7474747474747476
3500,24,24,90,0.6464646464646426
1500,12,2,150,-0.46464646464646436
3000,8,4,110,5.797979797979799
2500,12,4,130,-1.3737373737373755
1000,12,2,110,4.181818181818182
1500,24,24,110,6.0
4000,8,4,100,1.8585858585858563
2000,12,4,120,1.7575757575757585
1000,12,2,130,5.393939393939396
2000,24,24,130,0.0404040404040376
4000,12,4,100,0.7474747474747476
2000,6,2,100,6.0
3000,6,4,150,-0.16161616161616116
4000,8,2,90,3.7777777777777812
4000,12,4,130,-2.5858585858585887
2000,6,2,100,2.5656565656565666
3000,6,4,150,-0.7676767676767665
3500,8,4,100,-2.4848484848484853
1500,12,4,100,-2.7878787878787845
3000,12,4,100,-2.989898989898994
4000,8,2,110,-3.2929292929292937
3000,6,2,110,2.3636363636363646
4000,8,4,120,-1.4747474747474736
1000,8,4,110,-0.3636363636363631
4000,12,2,150,-2.5858585858585887
3500,8,4,120,-2.3838383838383805
1000,8,4,110,1.1515151515151505
2500,12,4,120,-0.5656565656565646
3500,24,24,120,2.2626262626262625
4000,8,2,110,3.1717171717171713
1000,8,2,150,4.0808080808080796
3500,8,2,110,4.686868686868686
1000,6,4,100,1.1515151515151505
3000,12,2,150,-2.282828282828282
4000,6,2,130,1.5555555555555567
1000,8,2,90,4.9898989898989905
1000,24,24,110,4.686868686868686
1500,8,2,110,-1.5757575757575772
3500,6,4,130,-2.4848484848484853
1500,8,2,100,2.7676767676767686
3500,6,2,90,2.2626262626262625
2500,12,4,90,5.090909090909091
3000,8,4,110,1.0505050505050515
2000,8,4,110,2.06060606060606
4000,24,24,90,1.353535353535352
3500,12,2,120,-1.6767676767676751
4000,6,2,90,1.353535353535352
3500,12,2,90,2.8686868686868676
3500,12,2,120,-2.3838383838383805
4000,24,24,130,2.4646464646464636
3000,12,2,110,0.14141414141414405
4000,12,2,130,-4.0
2500,12,2,110,-2.7878787878787845
3500,24,24,110,0.7474747474747476
4000,8,4,110,5.696969696969699
4000,8,4,90,0.5454545454545494
4000,12,4,100,3.5757575757575735
3500,12,2,150,-0.3636363636363631
4000,8,2,110,-0.8686868686868698
2500,6,2,90,-2.7878787878787845
1500,8,4,90,-3.5959595959595965
1000,6,2,110,-3.494949494949495
2000,12,2,90,1.7575757575757585
3500,6,4,120,-3.2929292929292937
4000,12,4,150,2.7676767676767686
2500,12,2,130,-0.96969696969697
3500,8,2,130,2.2626262626262625
2500,6,4,90,2.1616161616161618
1000,8,4,120,0.7474747474747476
1000,12,4,110,3.5757575757575735
3000,12,4,90,4.585858585858585
3000,12,4,100,2.666666666666667
1500,12,2,150,-1.6767676767676751
2000,12,4,90,4.383838383838384
1500,24,24,130,4.383838383838384
3000,6,2,120,-0.3636363636363631
2500,6,4,130,1.9595959595959591
3500,12,4,120,0.5454545454545494
2000,6,2,130,5.393939393939396
2000,12,4,150,2.2626262626262625
3500,8,4,110,2.3636363636363646
4000,12,4,150,2.666666666666667
1500,12,4,130,5.393939393939396
3500,6,2,100,1.353535353535352
2500,6,2,100,-2.3838383838383805
2500,6,2,130,-1.272727272727274
3000,8,4,110,2.5656565656565666
4000,12,4,100,4.383838383838384
2000,6,4,110,-3.191919191919188
1000,12,4,120,2.1616161616161618
4000,8,4,90,4.383838383838384
3500,6,2,100,0.14141414141414405
3000,24,24,120,-3.3939393939393945
4000,6,2,100,3.8787878787878802
2500,24,24,110,3.6767676767676756
4000,6,2,120,1.9595959595959591
3000,8,2,120,0.9494949494949513
1000,6,4,120,0.8484848484848493
1500,12,4,90,2.666666666666667
3000,6,4,130,1.0505050505050515
3000,6,2,100,-2.282828282828282
3000,6,4,110,-0.6666666666666656
4000,6,4,110,-3.3939393939393945
3000,24,24,100,-0.46464646464646436
2500,8,4,150,2.5656565656565666
2500,8,2,120,-0.16161616161616116
1500,12,4,150,-1.7777777777777786
2500,6,2,90,-3.5959595959595965
3000,24,24,120,0.9494949494949513
1500,8,4,130,-0.96969696969697
4000,8,4,90,1.2525252525252542
2000,12,4,130,3.070707070707071
3000,12,2,110,1.7575757575757585
1500,12,4,110,3.8787878787878802
1000,6,4,100,2.06060606060606
3000,12,2,90,2.1616161616161618
1000,6,4,110,1.1515151515151505
3500,6,4,130,-1.272727272727274
3500,6,2,120,0.5454545454545494
1500,12,2,130,2.2626262626262625
2000,8,4,130,5.898989898989901
3500,12,2,100,-0.5656565656565646
1000,24,24,90,0.9494949494949513
2000,12,2,130,0.14141414141414405
2500,24,24,120,-0.3636363636363631
2000,8,4,100,4.0808080808080796
3000,12,2,100,4.383838383838384
2000,8,4,150,3.8787878787878802
4000,12,2,90,5.696969696969699
3500,12,2,90,-2.0808080808080804
2000,12,2,150,-2.3838383838383805
4000,12,4,100,0.8484848484848493
3000,12,2,150,2.8686868686868676
3500,8,2,110,1.353535353535352
2500,6,4,150,1.5555555555555567
2500,6,4,90,0.14141414141414405
2500,12,2,120,2.2626262626262625
1500,6,2,150,3.070707070707071
3000,6,4,90,-0.46464646464646436
3000,8,4,110,-2.989898989898994
2000,8,2,120,2.4646464646464636
3500,6,2,120,3.070707070707071
4000,24,24,90,-2.5858585858585887
3500,6,2,130,-3.0909090909090944
4000,12,2,120,4.0808080808080796
1000,12,4,120,1.8585858585858563
3000,12,4,110,2.7676767676767686
4000,8,2,120,3.3737373737373764
2000,6,2,130,2.5656565656565666
3000,6,2,150,-0.16161616161616116
3000,8,2,150,5.2929292929292915
4000,6,2,150,6.0
1000,8,2,100,5.393939393939396
2500,6,4,100,-0.16161616161616116
1000,24,24,120,-3.5959595959595965
3000,24,24,110,5.393939393939396
3000,12,2,150,4.181818181818182
3000,24,24,130,5.696969696969699
2000,12,4,120,2.9696969696969697
4000,24,24,110,3.070707070707071
1000,8,4,150,-3.898989898989899
2500,12,4,130,1.2525252525252542
3000,12,2,130,0.5454545454545494
2000,24,24,90,-0.06060606060606013
4000,6,2,90,1.1515151515151505
1000,12,2,150,-2.4848484848484853
1500,8,4,110,-4.0
2500,8,2,100,-0.96969696969697
4000,24,24,120,1.0505050505050515
3000,12,4,100,0.34343434343434387
2500,8,2,120,2.8686868686868676
3000,6,4,110,4.0808080808080796
1000,12,2,90,-1.5757575757575772
1500,8,2,90,-0.16161616161616116
1500,12,2,100,1.9595959595959591
1500,8,4,120,-3.797979797979797
3500,12,2,90,4.888888888888889
2500,12,2,90,-3.191919191919188
2500,8,2,120,0.6464646464646426
3500,6,2,120,-3.0909090909090944
3500,8,4,90,-1.3737373737373755
3500,24,24,120,5.696969696969699
1500,12,4,100,1.9595959595959591
4000,8,4,120,5.393939393939396
4000,12,2,100,-2.1818181818181834
4000,12,2,150,5.494949494949497
1000,8,2,90,-0.6666666666666656
3500,12,4,100,-1.7777777777777786
1000,24,24,100,0.0404040404040376
3000,6,4,150,-2.989898989898994
2500,6,2,90,-0.46464646464646436
1500,8,4,120,-3.3939393939393945
2500,8,2,130,3.9797979797979814
4000,6,4,90,1.5555555555555567
3000,8,4,110,2.2626262626262625
3000,24,24,150,-3.6969696969696964
2500,6,2,100,0.6464646464646426
3500,8,2,130,1.1515151515151505
3500,8,2,150,-3.898989898989899
4000,24,24,110,-3.494949494949495
3500,8,2,110,-2.7878787878787845
3000,8,4,150,5.797979797979799
2000,8,4,90,-1.1717171717171722
2000,12,2,130,1.2525252525252542
2500,24,24,90,3.9797979797979814
4000,6,2,100,-1.5757575757575772
1000,6,4,100,-2.5858585858585887
3500,24,24,100,2.3636363636363646
1500,24,24,100,3.7777777777777812
3000,12,2,120,-2.989898989898994
1000,6,4,90,-1.1717171717171722
1500,6,4,110,1.9595959595959591
3000,12,2,100,3.6767676767676756
3500,12,2,120,1.0505050505050515
1000,12,4,130,-0.7676767676767665
2500,8,2,120,-0.3636363636363631
1500,24,24,90,2.4646464646464636
3500,24,24,130,-0.6666666666666656
2000,6,4,150,3.1717171717171713
1500,8,4,110,1.7575757575757585
2000,6,2,110,-0.3636363636363631
2500,8,2,120,-1.3737373737373755
3000,12,2,120,1.2525252525252542
2000,12,4,120,-0.16161616161616116
1000,8,4,90,-2.989898989898994
4000,6,2,150,-0.8686868686868698
1000,6,2,130,-2.3838383838383805
3500,24,24,150,5.898989898989901
3000,8,4,100,-1.7777777777777786
1500,8,4,120,4.383838383838384
1000,6,4,150,-3.494949494949495
1000,8,2,100,-0.7676767676767665
3000,8,4,130,0.6464646464646426
4000,6,4,90,1.7575757575757585
1000,8,2,130,-1.3737373737373755
2000,8,2,130,3.070707070707071
1500,6,4,150,5.797979797979799
1500,8,2,150,-3.494949494949495
1000,8,4,130,-1.3737373737373755
4000,6,2,150,2.06060606060606
3000,24,24,150,4.0808080808080796
3000,12,2,120,-3.191919191919188
2500,12,4,120,2.7676767676767686
4000,6,4,150,0.6464646464646426
3000,6,4,110,4.484848484848485
3500,6,2,120,-2.686868686868683
1500,8,4,130,-1.3737373737373755
3000,12,4,110,0.6464646464646426
3500,12,2,100,2.7676767676767686
3000,6,4,90,-2.1818181818181834
2500,8,4,150,0.24242424242424673
3500,12,2,120,5.494949494949497
2500,6,4,90,-0.8686868686868698
1500,8,4,120,2.06060606060606
2500,24,24,110,2.1616161616161618
3500,12,2,100,2.1616161616161618
2500,8,2,130,2.5656565656565666
3000,8,2,100,0.6464646464646426
2500,12,4,100,4.787878787878786
1000,8,2,130,4.383838383838384
3500,8,4,150,-2.7878787878787845
4000,8,2,120,-1.9797979797979768
1000,8,4,110,3.272727272727273
3000,6,2,100,5.494949494949497
1000,6,4,120,4.9898989898989905
1500,8,4,100,3.5757575757575735
1000,8,4,90,-0.8686868686868698
3000,6,4,90,-0.3636363636363631
3500,12,4,130,2.5656565656565666
3500,12,4,100,3.070707070707071
3500,12,2,150,1.454545454545456
1500,8,4,90,1.7575757575757585
1000,6,4,100,4.686868686868686
2000,24,24,130,2.9696969696969697
2000,8,2,90,3.070707070707071
2500,6,2,120,0.8484848484848493
2000,12,2,120,2.5656565656565666
2000,24,24,150,2.666666666666667
2000,12,4,100,4.686868686868686
2500,12,4,110,5.090909090909091
1500,12,2,120,2.7676767676767686
2500,12,2,100,-3.3939393939393945
3000,6,2,100,0.0404040404040376
4000,6,4,150,3.272727272727273
2000,12,4,110,1.454545454545456
1000,12,4,130,4.181818181818182
1000,8,4,130,5.393939393939396
1000,6,2,110,2.666666666666667
4000,8,2,150,3.8787878787878802
3500,6,2,120,-0.6666666666666656
2000,6,4,130,-1.9797979797979768
1500,12,2,110,4.282828282828281
1500,12,4,100,4.484848484848485
2500,8,4,110,-3.0909090909090944
4000,8,4,110,-2.989898989898994
2000,8,4,90,5.898989898989901
2500,12,2,150,4.888888888888889
3000,12,4,120,1.353535353535352
1000,12,2,130,-1.6767676767676751
1000,6,2,110,-3.797979797979797
1500,12,4,130,3.8787878787878802
1500,12,2,110,2.9696969696969697
2000,12,4,90,1.454545454545456
2500,6,2,90,5.898989898989901
3000,12,4,110,5.595959595959596
3500,24,24,90,4.585858585858585
1500,24,24,120,2.8686868686868676
2000,6,4,90,0.44444444444444775
1000,24,24,100,2.3636363636363646
3000,12,2,100,2.06060606060606
4000,6,2,100,0.0404040404040376
4000,8,2,110,0.5454545454545494
4000,24,24,150,3.8787878787878802
2500,6,2,150,3.070707070707071
3000,8,4,130,2.3636363636363646
1000,24,24,110,-3.494949494949495
1000,8,4,110,5.090909090909091
4000,6,2,120,3.3737373737373764
2000,12,4,100,-2.282828282828282
1000,12,4,120,2.5656565656565666
1500,8,2,110,3.3737373737373764
2000,6,4,90,2.06060606060606
2000,8,2,110,-2.1818181818181834
1000,8,4,110,0.6464646464646426
3000,12,2,110,5.494949494949497
1500,8,2,150,-0.06060606060606013
4000,8,2,90,1.1515151515151505
1000,12,2,100,0.34343434343434387
3000,24,24,150,4.9898989898989905
2500,6,4,120,-1.7777777777777786
2000,24,24,100,-1.1717171717171722
1500,6,2,150,4.282828282828281
1500,12,4,120,5.494949494949497
2000,12,4,100,-4.0
4000,24,24,90,-1.0707070707070694
3000,8,4,100,-0.7676767676767665
2500,24,24,90,-0.5656565656565646
2500,8,4,110,0.8484848484848493
3000,8,4,130,-2.4848484848484853
2000,6,2,130,-2.3838383838383805
1000,6,4,150,3.7777777777777812
1500,8,2,100,6.0
