standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-0.592518,0.164286,-0.55414,0.164286,-0.981258,0.164286,-1.24514,0.164286,-0.772623,0.164286,-0.819664,0.164286,-1.05627,0.164286,All
-0.582261,0.171429,-0.479443,0.171429,-0.957795,0.171429,-1.18164,0.171429,-0.727553,0.171429,-0.787469,0.171429,-0.972062,0.171429,All
-0.581048,0.178571,-0.428325,0.178571,-0.939055,0.178571,-1.12016,0.178571,-0.725772,0.178571,-0.749192,0.178571,-0.966538,0.178571,All
-0.562051,0.185714,-0.366423,0.185714,-0.931157,0.185714,-1.10646,0.185714,-0.61306,0.185714,-0.742208,0.185714,-0.965847,0.185714,All
-0.538554,0.192857,-0.334542,0.192857,-0.915682,0.192857,-1.10012,0.192857,-0.602365,0.192857,-0.735881,0.192857,-0.937071,0.192857,All
-0.523072,0.2,-0.324624,0.2,-0.904073,0.2,-1.00017,0.2,-0.582917,0.2,-0.732751,0.2,-0.887555,0.2,All
-0.518486,0.207143,-0.234455,0.207143,-0.80464,0.207143,-0.983796,0.207143,-0.54183,0.207143,-0.692873,0.207143,-0.86582,0.207143,All
-0.49109,0.214286,-0.225456,0.214286,-0.800661,0.214286,-0.866711,0.214286,-0.535853,0.214286,-0.664586,0.214286,-0.863794,0.214286,All
-0.454194,0.221429,-0.215204,0.221429,-0.786983,0.221429,-0.814779,0.221429,-0.529695,0.221429,-0.604718,0.221429,-0.860225,0.221429,All
-0.437125,0.228571,-0.21501,0.228571,-0.745945,0.228571,-0.806947,0.228571,-0.528683,0.228571,-0.599039,0.228571,-0.730291,0.228571,All
-0.427428,0.235714,-0.210348,0.235714,-0.716744,0.235714,-0.789486,0.235714,-0.440137,0.235714,-0.585567,0.235714,-0.712203,0.235714,All
-0.403684,0.242857,-0.203255,0.242857,-0.712059,0.242857,-0.77073,0.242857,-0.416033,0.242857,-0.578327,0.242857,-0.687119,0.242857,All
-0.398764,0.25,-0.198295,0.25,-0.701308,0.25,-0.765483,0.25,-0.409552,0.25,-0.558209,0.25,-0.654886,0.25,All
