rep,ID,standEta_fi_simulated,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
0,1,-2.94057,-2.58755,-1.9695,-2.3734,0.464245,0.615098,0.0456973,0
1,1,-2.52954,-2.79584,-1.75658,0.684141,0.760935,1.5504,0.377208,0
2,1,-3.25698,-2.69008,-1.73498,0.850868,0.959953,-0.260006,1.70444,0
3,1,-2.53746,-2.40598,-2.25933,0.278487,0.0289421,1.22952,0.834557,0
4,1,-2.7145,-2.51823,-1.73572,-1.10646,0.262036,0.388575,-0.712203,0
5,1,-2.87576,-2.49938,-2.20155,1.77566,0.27311,-0.135156,2.05676,0
6,1,-2.97838,-2.41825,-1.82816,0.0886418,0.589099,0.193074,-0.134077,0
7,1,-2.77004,-2.36184,-2.35479,-2.61937,-0.338049,-0.889773,1.46342,0
8,1,-2.94796,-2.44686,-2.09848,0.151109,0.288116,-0.0594545,0.806626,0
9,1,-2.88735,-2.57124,-1.7801,-0.288528,-0.035942,-1.37226,-1.06872,0
0,2,0.180585,1.41069,0.142232,-3.29752,0.252865,0.298565,-1.93019,0
1,2,0.1621,0.832842,-0.574402,1.45534,0.534813,0.103247,0.378825,0
2,2,-0.367446,0.650656,-0.0109801,-0.806947,-0.0677515,0.414533,1.06197,0
3,2,0.101134,1.46339,-0.800661,0.414325,0.210442,-0.318342,0.342571,0
4,2,0.372533,1.07211,0.447523,1.022,0.326158,0.614318,-0.418253,0
5,2,0.511629,1.12407,0.0627992,-0.722265,0.0982408,0.0639128,1.12275,0
6,2,0.168993,0.918234,0.1386,2.14201,1.21109,1.05235,-0.30194,0
7,2,-0.19951,0.857064,-0.204661,0.582649,-0.136993,0.749843,-2.23913,0
8,2,-0.329411,0.827478,-0.346087,0.448,0.834979,0.756111,-0.429927,0
9,2,0.236564,0.683133,0.506769,-0.0833778,0.97138,-1.17106,-0.616149,0
0,3,0.122663,0.834774,-0.181807,0.0777214,0.013051,-0.240099,-1.56407,0
1,3,0.320137,0.891108,0.0127388,0.201369,-0.189927,0.925669,-0.61759,0
2,3,0.0160085,0.969077,0.0516234,-0.179598,-0.389576,0.201971,0.633779,0
3,3,-0.356751,0.870117,-0.485005,0.348228,0.924949,0.254017,1.14487,0
4,3,0.185211,0.805035,-0.712059,-1.89557,1.00657,0.76422,-0.102224,0
